	OA_002	OA_003	OA_004	ACUTE_002	ACUTE_003	ACUTE_004	SUBACUTE_002	SUBACUTE_003	SUBACUTE_004
P20742	5278	4154	20300	23500	14805	19850	32105	10880	11010
O00391	44670	41970	72700	73195	48205	52510	91750	82405	89420
Q5R372	8085	8958	12630	16630	12205	11494	20145	14325	13965
Q2PPJ7	504650	216960	1486655	659765	1289550	728110	1825500	1494300	1356950
Q99969	39978	62618	72500	79690	49612	47770	62184	61529	85725
Q8NDT2	44230	43100	63220	51590	47590	42470	78220	69740	69140
P05451	33625	89140	155750	53760	50470	27975	46135	44420	57520
Q8NHV9	158700	214600	497400	190700	256200	154400	190800	192400	267600
P07998	22590	34495	18345	17500	12300	21138	8456	9320	21850
P10153	32060	30060	41650	37680	30630	32490	38380	34250	40300
Q9BY78	20150	23910	35890	46450	34360	14530	30320	50870	36480
P13489	4410	2634	4231	6108	6112	4794	9268	8606	6568
Q8WZ75	17740	19520	27665	26300	23630	21540	34300	28180	25590
Q01973	130900	107000	208400	205300	173700	153200	269500	233800	213000
P62979	37440	57690	52900	37540	35830	35280	41760	41230	43880
P31949	62630	51500	22790	17220	14180	23540	9615	13730	29860
P80511	33120	3083	3175	2057	5314	2020	NA	NA	2435
P26447	208745	243245	184428	261350	178275	144112	220075	235400	198665
P05109	366625	36638	65402	90300	188650	51490	85748	78665	50890
P06702	95728	18540	23495	25790	54028	16322	24392	27180	21355
P0DJI8	8939	8116	10570	144900	55230	19810	59310	37500	10720
P35542	47098	79295	98250	177070	95810	63725	98215	57370	109430
Q9H7N4	63625	43295	75820	61860	63750	59475	72060	70405	89110
Q969E2	NA	NA	NA	8526	NA	NA	3597	4244	4010
Q6AZY7	4922	7847	9846	12150	10480	8230	15445	11290	9275
Q9P0W5	120600	114600	250500	157100	129000	130600	142300	124100	195100
Q9Y5Y9	122900	96240	185300	387100	168800	161300	419100	366300	251200
Q13228	10850	13850	39810	54930	51390	63220	55420	74250	25890
P49908	99525	77030	154200	151100	158400	77580	172400	161350	234600
P14151	53550	60685	141285	119455	74655	58030	100895	91630	89350
P01009	6230	16170	10660	12510	23995	9366	68380	54815	34030
Q9UK55	31540	22744	46282	69590	101355	38475	102675	109985	72040
P01011	36235	35665	56990	67225	41295	31740	81690	54620	54660
P29622	82708	68595	116105	86655	108740	51985	125588	107478	172425
P05154	44665	59610	95430	66602	92560	44920	84312	72155	171050
P08185	18740	23250	64820	75970	69430	59605	169350	123200	93650
P05543	24810	15180	42568	48112	26220	27380	53312	43515	44782
P01008	44670	51955	68130	66560	56170	44750	69570	73395	91780
P05546	23822	25690	36882	31605	28620	21502	49810	39848	48805
P36955	55585	77290	143500	58695	46190	45620	55995	35700	66650
P08697	37525	44100	42250	47835	34005	28338	50090	52620	65280
P05155	25885	51430	94220	90110	112370	88978	199600	143850	210375
Q01105	5510	6058	7270	4124	4855	4071	9400	4978	NA
Q9BYW2	17610	20810	14089	522200	33170	32640	545000	244300	14210
O75368	103900	52210	93620	80840	57390	47540	66050	58380	63100
Q9H299	55860	48180	42360	30910	22775	23180	42380	33238	38605
Q5HYK7	12290	10670	17220	36870	19600	18420	53270	42540	23710
P04278	13265	9697	37655	26705	26905	14045	35080	26270	26500
O60292	8536	10280	25660	105100	77750	117200	19440	67900	13090
Q5TFQ8	43870	53690	49500	67080	40390	61140	86940	62290	63390
P08195	21250	15720	24148	30092	27258	27646	39792	40694	27804
Q8NB12	9654	9646	10620	24400	9615	9913	26250	23430	17850
Q8TER0	25480	34304	41115	49592	32921	38085	66046	51955	42042
P62314	3929	3472	3770	6255	4591	2167	NA	NA	NA
P00441	22840	20720	31350	43990	28760	29760	39475	47215	28380
P08294	6082	15190	9112	20930	16640	26280	22508	20510	11239
P09486	86910	113200	109400	168700	256950	115100	191650	177100	170350
Q14515	14335	19155	36770	29100	31910	12300	67518	34430	30185
P10451	11250	10550	10710	62940	16570	32120	23330	29580	19740
Q13103	21710	26375	49555	116950	56445	41615	99405	49110	39180
Q96SB4	87935	27170	90670	150830	121925	75615	171705	140600	81280
P81877	NA	2857	2758	2233	2317	NA	NA	NA	2918
A1L4H1	12499	27950	15694	10801	6094	12272	17258	14832	18942
O60279	2820	5540	4084	3464	2170	3987	1515	2334	2830
Q4LDE5	NA	NA	1960	5059	2526	2008	5690	5732	4572
Q8IZX4	20770	20520	10930	12050	9225	18500	6898	8800	15220
P26639	17010	22050	27760	24700	25915	22235	30345	25985	26210
Q86TI0	68560	125750	175150	69505	94640	69585	108500	90670	112135
Q8NDG6	28080	30000	48370	82430	70850	53500	166800	118900	85800
Q15582	19565	28200	26500	33780	18425	23285	50110	25030	36830
P07996	12866	14265	25880	62555	87240	57230	53875	54580	34570
P49746	26420	24580	29600	38120	20130	29530	63940	60180	38950
P35443	14115	17688	13395	19545	18160	19565	14570	15845	17820
P04216	8739	6146	8860	11430	7064	9265	14800	15200	12860
Q96H15	8246	7897	14648	16558	7831	10108	20392	17555	13335
P01033	16582	17270	24910	40115	34765	24330	30960	39455	28690
P16035	24845	38435	40830	46395	30995	34185	52450	49695	49405
P29401	14390	7549	9777	9195	10820	10400	15040	14360	8439
Q9Y490	6624	3442	2120	4244	5640	3446	1486	3792	2434
P24821	16670	18092	25270	45830	23375	22778	54312	47635	40245
P22105	30310	28770	39910	53392	57400	43385	65365	69635	52005
P60174	30160	12108	22580	14305	17190	9193	24880	20195	13350
P06753	34132	28886	30400	25912	46575	11666	63245	21290	18637
P62079	11530	13790	26010	21180	18310	13950	34190	17080	23780
Q8NDW8	220600	248500	272050	273750	497650	367850	318850	473550	323000
P02766	40380	55695	95620	73618	68262	42960	118155	99390	101418
Q71U36	11490	15840	11890	11430	10990	12620	6948	9538	12720
P10599	18540	16280	21790	22130	10680	11830	20520	19870	26900
Q6EMK4	8941	35500	15920	12706	8508	7649	18040	12435	11835
P19320	15008	13950	15102	24742	14659	14096	30900	22895	22395
