	OA_002	OA_003	OA_004	ACUTE_002	ACUTE_003	ACUTE_004	SUBACUTE_002	SUBACUTE_003	SUBACUTE_004
P02671	27180	25495	40765	46840	42825	30898	29640	40195	50900
P02675	22170	22646	33955	88825	78055	41130	64648	82592	51550
Q9BYJ0	22180	20175	25860	46830	25680	26890	57880	39860	30870
P11362	11410	12010	17790	15670	15490	11350	29930	21650	20930
P02679	29318	22680	42902	156825	156582	60730	108635	148075	67828
Q14314	2934	3228	4090	6460	7034	5608	8258	13805	6944
A5D6W6	37905	53880	64800	74150	67380	30215	66205	46025	80370
Q13451	154800	135600	132500	89500	49950	157900	42460	39960	114800
Q06828	7963	7074	8032	19950	14480	10289	21500	15880	8939
P02751	31320	36658	26360	42250	22752	31680	49680	35418	44800
P85037	NA	3534	2981	3919	3429	2395	2378	4265	6121
Q5SYB0	63415	97560	94470	202600	121300	105435	233050	156800	178100
Q12841	74330	80990	79560	122550	97695	87735	83110	72090	149500
P02794	20120	30152	22726	37855	22711	55935	19226	19102	47050
P02792	27400	23740	47920	70310	23240	62550	122415	55810	127800
P04406	20860	13300	20255	47380	32875	31125	40930	33435	33010
P02774	36422	41960	48425	54780	33320	27270	73430	36748	63565
Q92820	29385	19630	39005	47570	38945	21805	34620	44040	48700
Q9HC38	9270	19025	9862	8324	5960	8716	5612	6926	11430
P17900	4574	1776	3424	5553	3870	1983	4126	6359	4274
Q9UJJ9	4892	4098	7796	8220	8462	5313	11948	9993	7064
Q8NBJ4	43600	65060	84010	69000	31425	40440	25970	35770	83675
P07359	59918	62750	168200	152958	103588	128668	130245	166025	99648
P80108	21025	17736	27235	31915	44675	21725	58460	87345	36195
P22352	49955	47430	60960	90570	79030	46920	96620	94900	130420
P06396	31918	46035	43340	45865	46970	34832	57640	57900	52638
P48637	6574	7830	6970	5679	2904	9983	1269	2294	6022
P09211	11851	5602	11280	16150	9907	8124	15942	12722	11700
P33402	10330	20460	24920	16850	21520	18590	8490	9258	24020
Q02846	NA	NA	2693	2963	4021	NA	6668	2816	4516
P84243	11590	16690	20960	15230	21940	12650	10080	6426	7656
Q14520	18870	25980	38990	55790	51570	26740	62680	60610	58550
P10915	14310	44760	15580	73445	14050	44610	28510	26215	22060
Q96S86	23050	34320	26440	37150	20830	34510	47100	42420	41780
P69905	6408	12969	11762	70165	56280	50195	15535	55880	8580
P68871	12829	19068	29295	249550	123800	236250	40852	158100	19805
P02042	10743	16680	35250	148080	83195	137300	32230	97470	19130
Q9ULI3	4718	4947	9882	8746	8328	5436	13230	6390	8241
O95714	21330	37130	90430	67270	31800	38550	62030	51220	48050
Q04756	50752	39488	94200	46935	62132	40548	68950	61780	87772
P04908	4948	5496	8626	12380	24195	5191	7972	9254	4610
P62805	87485	73170	179950	136650	492100	63120	135150	87835	42235
P22626	6865	5174	2575	NA	1705	1862	NA	1924	1470
P00738	23050	53060	187800	51310	62210	25990	175500	62760	305300
P02790	82160	72850	119500	103800	79715	68920	147750	118850	163550
P04196	11475	10276	24810	29450	52980	17810	76730	49550	58125
Q86YZ3	3158	9248	5893	8740	3778	6206	2582	9932	7515
P14625	39230	36560	72580	61310	73230	45020	65530	79780	73350
P0DMV8	51910	37710	60590	67720	80920	51940	113400	97640	103700
P11142	29710	35000	37410	26770	20320	27520	18440	19560	31030
P98160	21170	25720	29495	48280	29550	34445	51060	44730	46225
Q92743	5342	10172	15650	14168	24810	16252	9128	19780	22765
P83105	20760	17570	27530	53070	27900	30250	64320	54590	35190
P05362	27900	22178	42450	41608	25622	34842	64145	44405	31195
P13598	11005	8494	21520	17435	15375	9638	24835	23460	17100
O75144	84900	65990	105100	126300	85810	122700	133500	195700	121600
P05019	32105	43880	58010	50100	43055	47610	68190	81110	65345
P01344	169615	156530	356685	240810	211170	233075	254045	334440	275225
P11717	14890	17190	11920	13130	12750	14570	7020	10200	18450
P35858	52370	48598	78292	79185	65005	66590	103200	87755	83682
P18065	23822	37145	78670	53435	35050	27078	52045	44642	48835
P17936	20430	24310	37480	29000	30960	39790	33500	43890	34750
P22692	10870	28650	24085	14790	7870	19880	4131	6639	21575
P24592	16814	46178	40498	24970	15342	21985	22628	26968	44380
P01876	7510	15740	16450	21200	32700	23820	184300	231300	41600
P01857	8080	10470	16745	25685	20390	14615	35855	33365	33865
P01860	6573	7772	15935	11076	14734	13055	17682	19552	13137
P01871	23920	33685	56405	58405	64655	72965	171750	183400	87435
P01834	9760	14520	21250	24190	20622	20045	60555	106100	30235
Q9NPH3	55170	39565	75170	93850	114900	65325	147650	106850	76970
P55103	35965	30650	49460	40450	76010	33615	59475	67450	46890
O14498	12000	7777	15270	20990	16260	11260	32340	23810	18910
P19827	23820	19860	41685	62152	25675	24248	72580	51360	43958
P19823	33175	29770	59565	69685	46210	40400	63380	62920	68145
Q06033	20890	18240	33535	70010	32355	34570	39890	29710	40570
Q14624	24375	32350	44450	60325	23095	29060	52095	45800	55570
Q9BW62	48930	40650	97310	89540	58860	59060	82560	66980	70240
O15054	136800	186800	171200	133650	161600	152850	88695	81780	178450
P10721	38805	44200	49732	89348	47638	53052	112002	109625	59198
P03952	46970	30590	105600	94590	75055	59360	67072	49940	101960
P01042	37175	28722	47812	56290	49735	32085	63620	58750	68890
Q5T749	9397	34050	22920	31350	9909	44680	4705	11963	26595
P11279	108900	152300	160000	159500	129600	112700	176900	162900	193000
P18428	15722	17142	19705	48308	42175	14893	37700	44798	34482
