Gene ID	WKY.adrenals_replicate.2	SHR.adrenals_replicate.1	SHR.adrenals_replicate.2	SHR.adrenals_replicate.3	WKY.adrenals_replicate.1	WKY.adrenals_replicate.3
ENSRNOG00000047393	8.693652495	8.848228358	8.921413896	8.951318557	8.683625441	8.787893176
ENSRNOG00000047446	8.549215743	8.865164593	8.840690218	8.838859437	8.621412668	8.826417426
ENSRNOG00000047457	9.775456651	9.87901393	9.817536261	9.814356961	9.866523514	9.881049519
ENSRNOG00000047459	9.263821511	9.402181754	9.249714923	9.306085158	9.230608852	9.174577333
ENSRNOG00000047466	10.99786006	11.08779158	11.14467079	11.14461759	11.00842138	11.10953378
ENSRNOG00000047493	10.8902228	10.91310232	10.93412186	10.80231402	11.06867561	11.0696565
ENSRNOG00000047503	11.01788411	11.20624675	11.17833464	11.03713375	11.35997948	10.99740316
ENSRNOG00000047545	12.03408777	12.35147398	12.2377849	12.18166696	11.97702303	12.03906217
ENSRNOG00000047553	11.79537448	11.96707988	11.89617722	11.76921748	11.72742899	11.96625926
ENSRNOG00000047574	8.957581977	8.958790219	8.987940618	9.053124235	8.982444724	8.960697898
ENSRNOG00000047611	11.1396146	11.15830329	11.15220399	11.2889508	11.11271953	11.13593325
ENSRNOG00000047647	8.81960296	8.651270029	8.698328499	8.391191525	8.274006917	8.536741375
ENSRNOG00000047653	10.55611123	10.53234767	10.47545433	10.43569992	10.38915088	10.39277909
ENSRNOG00000047656	12.43791036	12.57701123	12.61149503	12.42978421	12.54260044	12.49082016
ENSRNOG00000047673	11.78356376	11.65118156	11.69388879	11.66262792	11.57975257	11.594788
ENSRNOG00000047686	7.270832509	7.457659356	7.544300785	7.508681002	7.407881583	7.565947144
ENSRNOG00000047697	11.14398114	10.96395519	10.99072374	11.08456768	10.83457119	10.97065181
ENSRNOG00000047699	8.773118169	8.910961518	8.717530204	8.721237857	8.748226613	8.892736453
ENSRNOG00000047761	7.274715373	7.185896001	7.328274643	7.318917647	7.893343583	7.661106513
ENSRNOG00000047768	11.40111059	12.04200229	11.83350202	11.99520215	11.31066418	11.34446703
ENSRNOG00000047781	9.775848546	9.74708528	10.03159753	9.811305415	9.852381233	9.603833556
ENSRNOG00000047799	11.39319797	11.26940706	11.00552383	11.32349892	11.48547999	11.21605419
ENSRNOG00000047800	11.8119956	11.90585321	11.8114601	11.93855597	11.58084222	11.90347905
ENSRNOG00000047891	7.631228748	7.700809199	7.695697006	7.680341132	7.462747222	7.733144526
ENSRNOG00000047905	9.406595791	9.547099044	9.552686269	9.299158527	9.470263313	9.545481954
ENSRNOG00000047931	14.03959519	12.83947231	12.69317507	12.89813737	13.54314805	13.1194301
ENSRNOG00000047945	7.052769951	7.235219583	6.976107949	7.064456482	6.91791382	7.216540257
ENSRNOG00000047966	9.111005472	9.241487425	9.272438727	9.045490125	8.736979995	9.127178573
ENSRNOG00000047986	10.89570511	10.78640245	10.62011818	10.7129777	10.60986361	10.8495345
ENSRNOG00000047997	7.666391577	7.74359507	7.636940349	7.48822396	7.433177847	7.544206694
ENSRNOG00000048021	5.828640999	5.699592502	5.653491538	5.791544573	5.719832611	5.598766436
ENSRNOG00000048036	10.93513854	10.74816896	10.73441086	10.85114826	10.61134763	10.94695041
