PG.ProteinAccessions	L1_000101	M1_000106	M1_000127	M1_000139	L1_000142	M1_000142	L1_000236	M1_000236	L1_000316	M1_000316	M1_000366	L2_999004	M2_999006	M2_999007	M2_999008	M2_999009	M2_999014	L2_999017	M2_999017	L2_999090	M2_999090	L2_999092	M2_999092	L2_000255	L2_999015	M2_999015
A0A075B6I0	NA	NA	NA	NA	21037.849609375	50076.625	76128.140625	23632.267578125	3053.8818359375	220718.296875	1809.78576660156	NA	754.884887695313	3374.15112304688	6926.3037109375	NA	4137.580078125	8401.5146484375	10834.7431640625	2398.21875	3328.43481445313	3011.11376953125	4920.17138671875	NA	NA	NA
A0A075B6P5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSY6	25032.431640625	7836.03271484375	20089.955078125	7657.93408203125	42150.6015625	102778.9765625	83885.5546875	33663.5703125	NA	55323.1796875	21026.005859375	207461.140625	NA	19834.724609375	9146.021484375	NA	14854.6923828125	5850.341796875	NA	6828.11572265625	15970.109375	11202.9248046875	5226.44873046875	44892.29296875	20629.96875	10102.048828125
A0A0A0MS15	25191.314453125	NA	5692.8916015625	NA	30864.99609375	47276.4296875	35748.8671875	15262.9267578125	458.064025878906	46351.7421875	10953.205078125	115249.1875	NA	5006.322265625	NA	17255.146484375	10354.8681640625	11412.126953125	10737.50390625	NA	4930.576171875	6624.07177734375	7564.7470703125	18721.984375	5697.80517578125	NA
A0A0B4J1V0	24976.361328125	NA	NA	NA	33497.80859375	57829.73828125	49656.61328125	19679.59375	NA	136659.28125	1563.84423828125	57684.0390625	NA	16152.0908203125	NA	NA	NA	15072.44140625	NA	715.466003417969	1975.25061035156	NA	1190.37255859375	NA	NA	NA
A0A0B4J1Y8	NA	NA	NA	NA	24237.177734375	59445.09375	208249.375	63096.1640625	NA	117725.375	15904.3837890625	93473	NA	NA	NA	NA	9177.333984375	NA	NA	NA	NA	NA	NA	6953.38525390625	NA	NA
A0A0B4J1Y9	11998.1689453125	52021.22265625	268058.8125	5756.39697265625	9254.021484375	1524772.875	1045997.875	306219.40625	31989.025390625	2790407	90672.1796875	1452490.5	NA	90495.234375	78461.09375	NA	118492.6640625	225444.953125	320424.875	51088.6328125	100698.296875	12189.677734375	57083.39453125	456303.875	107481.3359375	56552.66796875
A0A0B4J2D5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2D9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH24	8528.93359375	NA	NA	NA	22428.056640625	48033.015625	16027.6396484375	2391.33984375	NA	NA	NA	34880.34375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH25	74356.9140625	9307.408203125	47362.94921875	NA	115972.3671875	247966.796875	91634.78125	36575.79296875	13112.490234375	936614.0625	24722.521484375	895262.75	NA	16606.408203125	8619.4765625	NA	28120.49609375	28152.37890625	16898.3828125	15050.7802734375	12056.6396484375	NA	11594.4970703125	42516.65234375	13381.900390625	9982.7216796875
A0A0C4DH31	7469.5771484375	NA	NA	NA	6360.26904296875	14194.2021484375	9623.89453125	6977.39111328125	NA	168948.359375	NA	35144.13671875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9538.4013671875	NA	NA
A0A0C4DH38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH68	23399.4609375	2273.81030273438	16409.361328125	3631.30249023438	39007.21484375	118133.5703125	37969.4296875	11972.6474609375	2034.7353515625	186291.359375	15644.9111328125	107409.609375	NA	14000.6611328125	4161.14990234375	NA	9413.7099609375	30836.80078125	53502.6796875	3973.47216796875	11684.388671875	12919.2353515625	NA	20976.421875	NA	NA
A0A0C4DH72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0J9YX35	64149.1015625	NA	20968.69921875	NA	43662.3046875	81251.875	62407.26171875	5064.220703125	NA	NA	6457.439453125	76199.84375	NA	11024.3603515625	NA	NA	16088.802734375	33773.43359375	15035.947265625	5612.33251953125	9076.5654296875	NA	NA	22710.2109375	NA	NA
A1L390	2138086	2617298.75	1915616.5	3794312.25	1922785.25	1782640.25	2154576.5	2465304.25	2997273.25	1369582.5	4277178	854190	5719966.5	5082996.5	4468279.5	3783019	2600653.5	2519746.25	3368467.25	3625572.25	3709127.25	4862771	3251839.25	2917735.75	3214094	2610841.5
A1L4H1	6795.32861328125	2811.83325195313	24772.775390625	NA	40725.2109375	39635.58984375	5237.45068359375	6527.68310546875	3796.86645507813	178314.09375	NA	20025.15625	NA	NA	NA	NA	NA	4550.44189453125	NA	NA	NA	NA	NA	NA	NA	1087.78771972656
A6NMB1	160724.671875	18007.98046875	60234.359375	NA	1282295.75	1255938.75	623895.5	2607998.25	95910.0234375	9650909	6385.1162109375	1469864.875	4459.5595703125	28700.46875	10717.7216796875	NA	17307.896484375	19587.48828125	21208.61328125	11003.4609375	21882.16015625	22415.140625	32582.58203125	99667.984375	13879.1923828125	113969.2890625
B9A064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E9PAV3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I3L1E1	1124.296875	531.622741699219	26023.833984375	39191.10546875	53629.59375	21500.83984375	9652.20703125	86420.6796875	NA	NA	108532.9453125	NA	15140.1181640625	164241.203125	NA	NA	1503.67395019531	68725.375	27556.220703125	NA	21272.845703125	10338.546875	24648.234375	9372.9208984375	113289.5234375	478.918029785156
O00148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00159	10993.15625	4600.40771484375	19698.8125	9730.806640625	23644.31640625	20314.458984375	13117.6669921875	10098.080078125	11312.9091796875	45055.8515625	NA	23795.689453125	2502.22875976563	4059.72973632813	3655.60815429688	NA	5124.8486328125	11544.7021484375	6182.7734375	8032.68408203125	2717.34765625	5886.76611328125	4141.43701171875	5140.64892578125	5516.01611328125	5114.75830078125
O00292	221798.546875	NA	15810.259765625	29997.9765625	39013.03125	28216.830078125	22573.1015625	15668.953125	26060.58984375	49909.8671875	NA	53183.75	NA	NA	NA	17455.55078125	10377.21875	337862.84375	10405.3037109375	8569.5732421875	11201.88671875	29339.044921875	NA	46234.12109375	NA	NA
O00299	39819.6640625	25577.431640625	37194.6640625	44565.890625	38843.8203125	47043.9453125	32153.845703125	38884.65625	36674.01171875	86008.15625	25189.939453125	26947.001953125	19882.796875	58174.1796875	30262.73046875	23047.2421875	25401.85546875	47184.34375	93229.1015625	26728.263671875	36479.87890625	27932.501953125	31883.130859375	18054.6875	59380.30078125	29495.33203125
O00300	17093.84375	51387.21484375	43189.66015625	28241.8984375	2882.5751953125	7633.47021484375	69733.390625	16190.599609375	13903.337890625	42131.97265625	6527.74072265625	39845.109375	3193.93798828125	3059.23974609375	4654.46435546875	26605.408203125	3090.09545898438	29201.166015625	18435.646484375	5799.69189453125	17254.640625	4263.48974609375	4782.3046875	15796.26953125	6181.8857421875	3110.66528320313
O00339	181529.125	30435.197265625	250878.328125	41599.171875	357673.03125	300482.15625	211429.5625	72159.546875	69398.25	216982.171875	10974.8125	987900.625	43666.39453125	25585.3828125	61692.59765625	52511.765625	56442.765625	131789.890625	31842.943359375	79128.78125	53455.64453125	95189.171875	25936.626953125	57724.69140625	34687.03125	11693.595703125
O00391	28507.8984375	13184.083984375	16549.251953125	13120.3017578125	24255.498046875	50413.05859375	70097.1796875	14740.1240234375	8825.0263671875	26105.2734375	9384.41796875	197377.71875	29612.71484375	18399.283203125	10086.6689453125	22808.4921875	10266.259765625	73777.3984375	61901.53515625	12064.3056640625	45138.79296875	23098.142578125	15421.880859375	41737.16796875	8228.3486328125	NA
O00469	NA	3387.85693359375	6285.35595703125	NA	NA	6832.08154296875	4374.326171875	NA	NA	9867.5078125	NA	6560.2333984375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00560	7999.85498046875	NA	7865.68359375	5747	12769.251953125	10124.3203125	13339.1484375	NA	11096.71484375	11777.373046875	NA	8181.0947265625	NA	NA	NA	368.341674804688	8705.958984375	10995.09765625	NA	10554.9765625	NA	2110.03295898438	833.431518554688	9716.705078125	1276.71704101563	696.46630859375
O00622	8302.4697265625	69031.921875	429503.21875	109973.25	NA	11332.603515625	249423.4375	130132.7109375	136843.375	117320.046875	81005.9375	27592.513671875	NA	11935.9560546875	NA	227597.203125	NA	107689.75	138815.828125	NA	16968.609375	44664.98828125	31141.5703125	106255.5625	NA	NA
O14686	92487.359375	74919.9765625	36215.19140625	68785.390625	64012.296875	40131.4375	60597.12109375	56120.9765625	232131.921875	118322.2890625	122529.296875	79694.6171875	39624.578125	97034.328125	84457.8203125	85731.765625	102984.6328125	155032.0625	96476.75	101301.1953125	62520.2890625	88348.0859375	184391.515625	83343.4296875	289511.78125	199173.5625
O14773	10689.591796875	1261.26306152344	34178.453125	6299.01806640625	21265.240234375	46303.65234375	14618.0341796875	8843.1240234375	2949.71899414063	220663.234375	NA	28665.505859375	NA	NA	NA	NA	2474.41650390625	5500.91259765625	NA	NA	NA	NA	1395.80908203125	NA	1542.50842285156	894.522705078125
O14791	7034.3837890625	NA	NA	NA	9968.8486328125	10374.2119140625	19682.96484375	NA	NA	22863.8046875	NA	109915.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14818	3868.94653320313	NA	3021.43505859375	NA	4717.5400390625	4853.8349609375	6031.63671875	4297.80322265625	NA	27734.416015625	NA	2043.57861328125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14960	105917.3125	17142.6953125	77482.53125	28748.037109375	20791.15234375	62913.4140625	49096.32421875	12367.7216796875	32317.419921875	10626.0654296875	5143.6005859375	224400.171875	NA	NA	4759.17822265625	8527.8271484375	7846.7822265625	41379.28125	9254.9921875	6164.7587890625	NA	19819.30078125	12141.380859375	33888.1796875	3596.60473632813	1951.00476074219
O15143	9767.3447265625	2351.14135742188	15564.46875	8123.94970703125	18849.775390625	26983.72265625	13940.021484375	6612.67138671875	3126.1083984375	58498.3046875	NA	33954.25	1870.22326660156	NA	NA	NA	1877.37768554688	5719.2421875	11494.9453125	2319.62524414063	NA	4199.84130859375	1343.99743652344	5820.35302734375	1697.05737304688	1446.28649902344
O15144	5569.0595703125	893.982788085938	10312.2392578125	2701.08203125	9263.5966796875	17084.76171875	7055.31689453125	3649.57397460938	1826.84594726563	58287.34765625	NA	15745.203125	NA	NA	310.773223876953	NA	1536.150390625	1956.85107421875	885.4638671875	700.863586425781	NA	NA	NA	NA	879.144836425781	459.824523925781
O15226	187003.4375	2785.96508789063	166433.125	25536.181640625	22922.60546875	77161.7265625	31484.7109375	6068.4775390625	37631.125	NA	6660.92724609375	108720.109375	NA	6673.29150390625	9374.12890625	5527.10693359375	11798.88671875	124961.59375	48772.1796875	6835.552734375	9672.1181640625	44272.3984375	16732.791015625	111885.9375	16373.6044921875	1059.18029785156
O15230	17465.533203125	8547.5458984375	61833.01171875	8851.080078125	9127.515625	31153.3828125	19862.087890625	12684.4150390625	27486.439453125	39833.77734375	NA	20444.673828125	NA	NA	NA	9821.232421875	5175.32275390625	5183.74267578125	NA	NA	NA	3843.5224609375	3814.89282226563	8232.1484375	NA	NA
O15335	963998.9375	288882.1875	1277336.75	783701.5625	277621.8125	299681.25	521870.53125	87350.8125	875019.875	62978.6796875	137964.515625	653680.5625	102044.3203125	82885.734375	164217.453125	165544.9375	164176.671875	277482.09375	62398.578125	225173.625	160650.171875	500172.8125	161606.53125	427118.8125	82440.46875	67111.53125
O15511	19243.34765625	3970.5986328125	14825.3994140625	7582.11865234375	25809.484375	28365.74609375	9631.21875	8418.4365234375	7112.82421875	94710.046875	NA	27118.197265625	NA	NA	2028.71337890625	NA	3650.70336914063	9136.578125	2005.1064453125	4071.0361328125	NA	1767.068359375	NA	2845.2529296875	2716.90771484375	4772.60107421875
O43143	NA	NA	310.171691894531	NA	235.384475708008	280.742218017578	145.143539428711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43294	706.5810546875	NA	494.352386474609	NA	637.588928222656	453.404815673828	340.687347412109	876.765258789063	NA	2723.17749023438	NA	236.714538574219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43390	2937.93188476563	NA	1503.85363769531	NA	3044.99291992188	2481.97387695313	1731.359375	1291.54858398438	NA	24156.94140625	NA	1092.40930175781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43491	6954.64990234375	NA	8651.58203125	NA	16366.359375	19310.619140625	5096.87060546875	2309.76684570313	2995.232421875	15635.9013671875	NA	8919.140625	1546.32641601563	NA	NA	6976.20947265625	NA	4154.2890625	NA	NA	NA	NA	5638.3037109375	7906.6416015625	NA	NA
O43707	9063.025390625	821.98388671875	13415.03515625	NA	17787.265625	26778.279296875	9818.525390625	5512.4970703125	3887.05517578125	60230.77734375	NA	11143.869140625	NA	NA	NA	NA	1024.30493164063	NA	NA	1086.90014648438	NA	NA	NA	NA	NA	1034.86267089844
O43827	774541.6875	7182.12158203125	180598.484375	71890.296875	520202.03125	637574.625	723948.4375	62883.609375	53900.390625	24757.029296875	64014.3203125	1044467.375	48927.69140625	36988.26171875	52332.1015625	80354.4609375	35220.32421875	586948.3125	149051.09375	209670.90625	747757.3125	177093.6875	29388.81640625	301178.78125	15450.3330078125	3629.42016601563
O43852	6332.220703125	4688.45751953125	10897.265625	NA	9830.109375	20236.23046875	7048.69921875	5796.46728515625	NA	76530.6328125	NA	16399.2265625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43854	13749.4716796875	14249.6435546875	43123.38671875	26527.154296875	11788.154296875	40755.94921875	106352.6796875	18332.005859375	19740.8671875	19116.423828125	3139.11865234375	81876.5859375	8224.7060546875	10044.23828125	10810.853515625	18014.03515625	13007.5244140625	40649.234375	34753.921875	15577.515625	16512.005859375	12136.3642578125	9116.6884765625	59814.46875	7918.17333984375	NA
O60240	8761.73828125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60506	844.29931640625	NA	951.001281738281	NA	6133.119140625	4704.26123046875	1897.59887695313	4806.7353515625	NA	12605.69140625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60565	NA	NA	NA	15840.9765625	NA	3550.9296875	13738.677734375	NA	12912.193359375	NA	8940.80859375	NA	NA	NA	NA	31173.197265625	12647.3515625	NA	8792.91015625	NA	10227.505859375	NA	NA	16613.787109375	NA	NA
O60664	10329.513671875	2452.998046875	4125.99853515625	NA	9271.1767578125	14177.5361328125	5678.47802734375	12267.7744140625	1547.47619628906	25401.783203125	NA	25187.84765625	NA	NA	NA	NA	2090.4189453125	11288.5888671875	NA	NA	NA	1257.7099609375	NA	NA	NA	NA
O60687	100148.3125	139729.03125	145948.03125	82556.265625	79943.15625	299244.15625	136995.984375	131499.4375	65181.3203125	294966.53125	167951.6875	197759.796875	38474.61328125	43252.62890625	52742.55078125	32813.8515625	61519.546875	51650.96484375	32889.2734375	73557.4921875	57775.5625	62818.546875	102744.546875	36940.69140625	56181.140625	117683.375
O60701	9036.23046875	3835.62426757813	17615.25	9648.53515625	12862.7734375	19902.4375	12297.638671875	14923.69140625	6230.14599609375	118701.890625	NA	17307.15625	1647.021484375	1969.19506835938	NA	6003.3046875	3417.79028320313	3553.47094726563	NA	5894.61328125	1956.38696289063	NA	NA	1305.13916015625	NA	2410.74755859375
O60749	2171.2548828125	NA	NA	NA	6240.306640625	5065.51708984375	NA	NA	NA	13129.005859375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60938	64976.91796875	NA	6950.6904296875	NA	24587.611328125	4158.7744140625	4199.23974609375	4413.5029296875	30423.90625	57400.85546875	NA	NA	NA	NA	NA	NA	NA	84374.2890625	NA	NA	NA	NA	NA	3941.4990234375	NA	NA
O75083	10868.041015625	3193.51293945313	20556.654296875	5563.76513671875	15122.642578125	28872.2890625	14592.572265625	11263.640625	4717.482421875	40524.76171875	NA	29486.201171875	NA	NA	NA	NA	2401.90966796875	4741.7392578125	880.07177734375	1373.47912597656	NA	NA	NA	NA	1214.37890625	NA
O75131	12576.4609375	6855.1748046875	22543.541015625	13964.6748046875	10971.390625	25376.169921875	24540.263671875	10113.294921875	7950.8056640625	48738.0546875	4655.5634765625	33592.2109375	NA	5090.4638671875	3008.99169921875	6052.8740234375	5819.71728515625	11901.62890625	9560.046875	5024.431640625	2606.0224609375	7243.001953125	4418.96044921875	15028.8671875	6669.46826171875	7534.646484375
O75339	5420513.5	1475534.625	5925888	1619958.125	2701181.25	2779332.75	2856966.25	1991880.625	2238215.5	4242059.5	523008.4375	26554058	537961.625	870907.125	1210337.125	1956022.375	898220.75	3487796.25	2478070.75	1404538.375	2522873	2485756.25	1023707.5	2393483.5	1552740.125	1032273.5
O75340	6589.4716796875	6621.53369140625	1641.107421875	8445.9033203125	4556.6201171875	7660.1806640625	11561.7587890625	4174.92236328125	8984.15234375	NA	NA	5205.1005859375	1762.71496582031	5205.65625	2794.0185546875	2055.083984375	5135.11572265625	10031.1640625	8278.9990234375	3739.3896484375	NA	4512.95947265625	2783.56518554688	NA	5129.43017578125	2955.04321289063
O75367	8904.771484375	NA	15317.6875	NA	5542.1787109375	5673.41162109375	5820.318359375	5314.79736328125	5440.17333984375	21363.0234375	NA	3402.40673828125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4142.541015625	NA	NA
O75369	19523.154296875	48371.2578125	19472.09375	13654.7734375	14248.779296875	13932.4912109375	36909.328125	45628.99609375	127278.1796875	11026.74609375	35247.4921875	29090.958984375	NA	80719.453125	120790.3203125	100316.3203125	60533.5859375	207653.703125	124278.2890625	92803.6484375	161808.359375	80783.21875	69141.2109375	45544.08984375	NA	NA
O75462	9397.62109375	13649.2060546875	12432.59765625	15071.634765625	NA	9312.541015625	36422.48046875	52300.65234375	13547.4130859375	120524.96875	1278.47375488281	14742.3916015625	NA	5380.9658203125	993.560485839844	8221.30078125	5182.1015625	15447.9287109375	16888.224609375	4449.685546875	20693.15234375	2967.1396484375	10397.416015625	2465.70336914063	2539.65771484375	6182.75927734375
O75596	13609.546875	71995.140625	2832282.75	80459.6796875	5273.20556640625	44925.18359375	22345.10546875	6001.7490234375	24815.673828125	NA	37000.80859375	16288.8935546875	5097.8310546875	4814.36767578125	4538.57080078125	20898.40234375	9281.470703125	13640.3291015625	20054.80859375	3286.62353515625	13250.826171875	12079.54296875	13607.26953125	77436.4453125	6297.138671875	4710.537109375
O75636	2725.7197265625	NA	NA	NA	2421.2431640625	NA	2051.33056640625	939.778686523438	NA	NA	NA	4326.67529296875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75874	28860.802734375	3426.86791992188	14925.318359375	10841.6640625	26434.884765625	13580.763671875	19873.4609375	9731.0078125	8282.36328125	17066.580078125	NA	12279.994140625	1449.13342285156	5550.5830078125	4036.16088867188	5734.29296875	8417.7841796875	12874.5947265625	4240.029296875	7640.65087890625	3175.19189453125	7280.9150390625	4913.92431640625	5633.02880859375	3533.73901367188	2730.78564453125
O75888	60581.75390625	4605.7060546875	20743.009765625	16066.673828125	22404.0234375	29832.501953125	75697.6796875	8841.138671875	11302.58203125	35961.9453125	8589.4794921875	136805.15625	NA	10627.91015625	4269.845703125	15000.0478515625	8377.0859375	31883.224609375	17715.17578125	7794.560546875	8426.8203125	17800.8828125	9877.0400390625	28250.064453125	6903.83154296875	NA
O76076	16502.9609375	4483.0810546875	8627.3779296875	NA	16704.125	50621.42578125	20464.837890625	36730.4453125	6921.7060546875	244085.234375	2715.08447265625	95513.5625	NA	4780.90380859375	1902.98876953125	NA	2885.353515625	17130.341796875	20533.44921875	2765.6728515625	6729.1201171875	NA	3365.25561523438	NA	7293.5185546875	14698.6318359375
O94769	18512.666015625	7359.5830078125	54979.3515625	17034.6875	12881.9912109375	45536.05078125	33765.47265625	9136.484375	14638.0185546875	20920.181640625	9496.3642578125	116800.5546875	4561.5263671875	4084.00170898438	8325.455078125	15951.9462890625	14200.0341796875	38861.828125	31047.62890625	7835.3671875	35607.01953125	16370.2041015625	11481.3173828125	21328.7109375	4930.19140625	1132.43115234375
O94832	7176.0859375	1479.48706054688	9695.177734375	8051.138671875	13832.4267578125	12987.005859375	9697.150390625	4921.19140625	5342.00048828125	17680.197265625	2625.0546875	13909.0185546875	NA	4043.14599609375	NA	9057.392578125	3357.59594726563	10147.47265625	10462.4921875	3823.63061523438	2718.07983398438	6798.283203125	2598.31689453125	5696.73046875	6815.81787109375	1696.75939941406
O95340	3992.30883789063	11187.091796875	30317.373046875	10849.611328125	1027.19616699219	9706.5908203125	29620.4921875	20330.013671875	10317.6201171875	46403.23046875	NA	23631.078125	NA	NA	NA	NA	7880.65234375	8453.1845703125	NA	3506.12841796875	NA	NA	NA	NA	NA	NA
O95445	5753.15771484375	NA	NA	NA	3781.02294921875	NA	3389.07202148438	NA	NA	NA	NA	25594.78125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95631	8815.3466796875	7820.45703125	64453.21875	21904.748046875	66016.875	43599.79296875	119761.8515625	8914.392578125	6478.72998046875	100384.078125	NA	90913.03125	NA	NA	NA	NA	NA	25984.314453125	16850.087890625	NA	NA	NA	7877.517578125	8467.66796875	3587.75	NA
O95810	NA	NA	NA	NA	556.54345703125	83.7011032104492	NA	NA	NA	193.089096069336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95967	7054.767578125	6500.8662109375	13585.037109375	NA	18377.28125	33674.80078125	17030.197265625	13033.333984375	5453.02490234375	11582.9296875	3817.12084960938	77852.34375	1181.8837890625	NA	1373.03112792969	NA	3929.40673828125	12501.6875	1345.47229003906	2004.28515625	2756.35888671875	1835.75280761719	NA	9079.8984375	NA	NA
P00325	37260.51171875	NA	NA	NA	6275.75390625	NA	2189.12329101563	4384.41455078125	883.962585449219	39402.0703125	NA	2818.40673828125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00338	295274.1875	155762.921875	176437.09375	180602.234375	211080.5625	333565.34375	314327.4375	185808.890625	175484.5	603924.125	36942.8515625	749185.0625	21462.501953125	59593.3828125	81108.6953125	110216.96875	116071.171875	250279.21875	78505.4296875	103830.3125	57223.83984375	101946.9453125	34786.8046875	152164.578125	64941.52734375	87655.703125
P00367	7911.0244140625	NA	1463.09606933594	NA	5315.41748046875	9504	1209.89379882813	11192.109375	6397.23291015625	88565.609375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00387	32757.025390625	5987.6904296875	47818.33984375	8301.712890625	21588.044921875	22562.458984375	20327.66015625	21464.05859375	28022.6640625	136063.734375	5814.59423828125	34139.203125	NA	10202.396484375	8833.92578125	7677.6962890625	7948.10595703125	16029.984375	6612.13037109375	14668.44921875	11355.162109375	28080.421875	10242.328125	9269.533203125	9452.6513671875	3398.45483398438
P00441	68748.75	21498.40625	55520.6796875	26091.521484375	45785.34375	39036.25	50959.421875	36391.5078125	33410.54296875	103551.59375	26686.20703125	49492.890625	20092.341796875	36524.41796875	29337.046875	46796.92578125	43814.3515625	29455.68359375	32950.11328125	54624.19921875	24894.591796875	27141.69921875	25149.61328125	26469.69140625	29363.22265625	25100.265625
P00450	72074.859375	22783.82421875	18094.3125	5728.87109375	109753.71875	122667.9921875	83572.15625	80884.578125	25274.482421875	363683.125	36934.296875	183945.1875	23115.05859375	74618.6953125	42193.5234375	14253.859375	52855.1953125	25228.822265625	79486.9921875	26519.666015625	20743.978515625	17823.07421875	38875.234375	48517.08203125	70729.625	78554.640625
P00488	33874.44921875	NA	1028.12817382813	NA	18070.185546875	6168.86328125	2406.3095703125	17233.541015625	6431.5869140625	71367.2265625	NA	13822.154296875	NA	NA	NA	5458.9931640625	NA	27264.880859375	4155.86328125	4076.39013671875	10431.5654296875	15053.068359375	NA	6269.0126953125	NA	8297.9423828125
P00491	385523.53125	310939.5625	585651.9375	915366.0625	188369.984375	211833.96875	364287.4375	208612.921875	1295773.875	2626388	1699285	19476062	3513493	5226800.5	16525799	1589139.25	743299	2422673	2627887	17708724	2608957	1296059	6944148	782859.375	1217198	6435987.5
P00505	NA	NA	9060.755859375	NA	NA	NA	NA	4204.5146484375	NA	56654.890625	NA	NA	NA	NA	837.413391113281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00558	153433.59375	75839.6484375	163851.125	65343.78125	104697.4375	215997.875	305386.9375	232515.09375	85830.6328125	237104.4375	61439.5703125	141775.96875	24555.435546875	87131.0625	70346.796875	75057.578125	134687.703125	112689.703125	54635.3046875	130945.8125	50156.87109375	66993.5625	78101.453125	68872.9765625	64797.7421875	71656.0234375
P00568	62086.56640625	16396.185546875	92304.2578125	30398.537109375	57603.4453125	93760.53125	50455.95703125	38090.515625	23707.970703125	288378	9954.751953125	95482.28125	3445.56640625	10755.09765625	7896.89892578125	15068.208984375	14638.0576171875	23485.00390625	12860.2861328125	12351.4609375	7706.4140625	17264.02734375	8481.0361328125	21929.150390625	11454.4833984375	11512.310546875
P00734	23587.783203125	13542.451171875	34519.87109375	13436.3212890625	80618.1171875	128826.5390625	102867.296875	67755.6796875	9420.9296875	304253	30200.3203125	179179.75	16313.63671875	63807.98828125	20015.10546875	32107.611328125	50401.05859375	14853.712890625	27044.55859375	18203.95703125	24576.08203125	20285.22265625	32200.359375	60805.90234375	39806.09765625	22229.421875
P00736	12169.642578125	2022.6767578125	2541.19140625	NA	46368.87890625	53016.8046875	23390.0703125	16670.783203125	3948.74438476563	104479.4921875	2716.3857421875	43182.625	NA	962.269714355469	2306.71875	NA	5002.20263671875	9062.392578125	NA	2291.54077148438	NA	1362.64465332031	NA	7242.11572265625	18041.892578125	2280.65258789063
