PG.ProteinAccessions	L1_000101	M1_000106	M1_000127	M1_000139	L1_000142	M1_000142	L1_000236	M1_000236	L1_000316	M1_000316	M1_000366	L2_999004	M2_999006	M2_999007	M2_999008	M2_999009	M2_999014	L2_999017	M2_999017	L2_999090	M2_999090	L2_999092	M2_999092	L2_000255	L2_999015	M2_999015
A0A075B6I0	NA	NA	NA	NA	21037.849609375	50076.625	76128.140625	23632.267578125	3053.8818359375	220718.296875	1809.78576660156	NA	754.884887695313	3374.15112304688	6926.3037109375	NA	4137.580078125	8401.5146484375	10834.7431640625	2398.21875	3328.43481445313	3011.11376953125	4920.17138671875	NA	NA	NA
A0A075B6P5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6UX71	11577.748046875	1708.29333496094	12762.4892578125	4735.53271484375	21007.171875	21079.29296875	11216.6044921875	7735.45068359375	5735.5244140625	10179.267578125	NA	16857.58203125	1489.26184082031	4545.2705078125	2679.13305664063	5704.5546875	6116.57666015625	14185.0859375	16328.9228515625	5981.01708984375	6387.72900390625	6678.56494140625	1643.2548828125	13331.271484375	2736.90942382813	2112.5634765625
Q6UXI7	5477.32666015625	NA	NA	NA	5239.1015625	NA	NA	NA	NA	46367.3125	NA	23205.984375	NA	NA	NA	NA	NA	9330.1708984375	NA	NA	NA	NA	NA	NA	NA	NA
Q6UXX5	93142.40625	58779.2421875	77862.484375	68135.40625	25196.025390625	78529.2265625	95686.8125	27746.392578125	60220.3359375	NA	45721.03515625	218090.625	4303.42529296875	56360.453125	30254.400390625	48857.58203125	47378.19140625	77909.3671875	93352.296875	48712.91796875	41429.30078125	80556.5390625	72609.640625	81119.171875	61083.21875	39078.03125
Q6UY14	21073.6171875	2627.0986328125	21598.158203125	9417.876953125	31349.40234375	20462.31640625	26692.916015625	22303.302734375	8423.0185546875	44209.63671875	NA	36287.46875	NA	6598.34912109375	7069.5537109375	2117.50952148438	5790.9423828125	15520.05078125	7277.943359375	5030.884765625	NA	7518.83544921875	1344.14050292969	NA	7806.84912109375	NA
Q6YHK3	49643.390625	19480.90234375	43067.8359375	25811.724609375	36660.26953125	40293.36328125	61403.01171875	31469.802734375	29050.4453125	38070.71484375	7666.072265625	35888.31640625	10067.76171875	6183.53125	17372.791015625	36778.9140625	28097.73828125	66917.3359375	24233.240234375	37127.890625	22578.7578125	23142.4453125	7641.8876953125	28849.3671875	10547.2734375	8190.5625
Q76M96	36786.609375	23271.427734375	30894.810546875	18598.033203125	19486.11328125	61241.46875	19798.43359375	17663.708984375	24127.212890625	22708.400390625	9499.1044921875	17742.599609375	NA	2297.9052734375	1050.55920410156	4774.6611328125	5515.8623046875	38139.99609375	19701.6875	4942.58056640625	2297.90356445313	10930.4990234375	13184.771484375	15478.7041015625	1195.75659179688	778.449096679688
Q7KZF4	2300.30078125	3343.50708007813	4997.3369140625	NA	6558.0341796875	7975.32275390625	4232.73779296875	3316.5830078125	2499.24145507813	18271.193359375	NA	5212.00048828125	NA	NA	NA	NA	4687.646484375	2814.37866210938	NA	2651.10302734375	NA	NA	NA	495.980438232422	NA	5680.1337890625
Q7L576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q7Z304	234563.921875	11877.087890625	509163.40625	67721.984375	310319.9375	589848.375	264286.71875	99596.828125	50456.421875	693009.0625	6362.8115234375	322061.96875	37043.2109375	4277.63525390625	14576.3427734375	21448.12890625	15374.962890625	187657.765625	12244.61328125	46452.765625	6175.50341796875	49588.74609375	6653.33203125	29524.728515625	35123.6328125	22530.212890625
Q7Z794	47646.56640625	58555.359375	378944.875	62143.7890625	189236.6875	176913.859375	358192.8125	63359.05078125	31316.228515625	1830899.75	28463.666015625	644935.1875	40466.48046875	32251.712890625	17682.9765625	48796.50390625	52694.24609375	46210.484375	75665.5390625	53724.7734375	29867.205078125	57458.19921875	16257.0478515625	64525.23828125	31549.619140625	26887.294921875
