Gene ID	wild.type.genotype_1	Hunk.knockout_2	Hunk.knockout_3	wild.type.genotype_4	wild.type.genotype_5	Hunk.knockout_6	wild.type.genotype_7	wild.type.genotype_8	Hunk.knockout_9	wild.type.genotype_10	Hunk.knockout_11	Hunk.knockout_12
ENSMUSG00000000001	9.089421293	9.417605443	9.350523001	9.323141287	9.287527623	9.263288916	9.411306494	9.040312709	9.10726317	9.197342772	9.247675233	9.015790947
ENSMUSG00000000003	4.044669346	3.861941681	3.955381131	4.010582572	4.011971808	3.889627842	3.944639773	3.876109975	3.836525366	3.954487976	3.990439599	3.960641493
ENSMUSG00000000028	7.232898365	7.059020218	6.964019333	6.816420079	6.886223195	7.006565269	6.616180268	7.132629835	6.879919168	6.787785619	6.889605408	6.701107819
ENSMUSG00000000031	10.52773678	5.628879257	6.366482588	5.956760786	7.683658092	7.013200166	6.371757381	7.386876573	7.708134793	7.329545941	7.118635447	6.435807543
ENSMUSG00000000037	5.611589157	5.376896182	5.396933278	5.543519296	5.688444168	5.50512574	5.671360457	5.585074872	5.772156784	5.699652213	5.506044617	5.596966645
ENSMUSG00000000049	7.522570849	7.345688195	7.297875949	7.243213006	7.242615262	7.227928814	7.252812853	7.324549746	7.300382756	7.250050846	7.196008741	7.266360099
ENSMUSG00000000056	8.401213602	8.585287942	8.437547703	8.540332719	8.509537467	8.478816658	8.479433864	8.628338354	8.586077825	8.351416063	8.437320056	8.692109987
ENSMUSG00000000058	6.880966774	7.339245974	8.36199478	8.047498078	8.221159962	7.499884065	9.107079477	7.172375007	8.105363845	8.727311591	7.518252941	8.717834839
ENSMUSG00000000078	7.501338215	7.208797295	7.659289693	7.453527057	7.514016753	7.505493097	7.324038347	7.53013427	8.312860114	7.413002441	7.581228136	7.666051086
ENSMUSG00000000085	7.506432939	7.642051099	7.461590235	7.634619656	7.845246652	7.696631032	7.938911729	7.618202615	7.859994018	8.339316427	7.611111546	7.554589684
ENSMUSG00000000088	11.05215515	10.74584026	11.01413479	10.59610065	10.68139353	10.57293669	10.69490762	10.67148313	10.04790091	10.67684886	10.7408568	10.17988981
ENSMUSG00000000093	4.889865791	4.82482589	4.889194186	4.727828762	4.834323916	4.718538221	4.733274218	4.757969695	5.04467241	4.760556313	4.804819888	4.822597343
ENSMUSG00000000094	5.945410364	5.495949767	5.827537339	5.728141682	5.778003226	5.682722671	5.482636702	5.819666157	5.916534546	5.591820408	5.742756279	5.716800187
ENSMUSG00000000103	3.938789809	3.708310733	3.732760526	3.675459036	3.862277263	3.818181783	3.83408172	3.850881339	4.155124631	3.760215118	3.738573947	3.81504264
ENSMUSG00000000120	6.363220073	6.343647161	6.42152081	6.545424618	6.413764233	6.562092517	6.314538315	6.383766988	6.625953804	6.269720636	6.380985795	6.567965388
ENSMUSG00000000125	3.453985996	3.398697666	3.284023321	3.316685779	3.404474369	3.453428214	3.366541524	3.410851646	3.408149596	3.368601537	3.428244065	3.346116205
ENSMUSG00000000126	5.573238837	5.873415723	5.722408719	5.653655054	5.623888313	5.973404223	5.59274733	5.541700864	5.603025392	5.539313526	5.659362727	5.44051851
ENSMUSG00000000127	5.484724558	5.586459316	5.439031433	5.512344738	5.348657338	5.481504325	5.41415001	5.428655046	5.402598001	5.349318307	5.379253398	5.634336339
ENSMUSG00000000131	8.146422055	8.079246449	7.954666641	8.100436	8.100270427	8.036502214	7.632898035	8.051421588	7.900987321	8.027705696	8.054335817	7.9745694
ENSMUSG00000000142	6.468871758	6.497724868	6.564257301	6.626507373	6.573957458	6.58845063	6.547891042	6.682933234	6.657934005	6.546008788	6.633886678	6.848815104
ENSMUSG00000000148	8.647580389	8.207124745	8.43916872	8.490605283	8.358968537	8.371282826	8.475456293	8.379212131	8.387685814	8.162331813	8.427866788	8.472128797
ENSMUSG00000000149	7.884508261	7.863464537	7.659647484	7.91979331	7.85924044	7.882835845	8.031967273	7.834333876	7.759910139	7.808078585	7.895227766	7.916029425
ENSMUSG00000000154	8.303452061	8.554345691	8.352852762	8.33013902	8.252490285	8.336258574	8.331722175	8.234698589	8.610728503	8.27341454	8.267348357	8.390733458
ENSMUSG00000000157	6.261790991	6.019279378	6.312775896	6.129088097	6.161434448	6.383376458	6.193002384	6.056589835	6.183740664	6.141295178	6.163321572	6.237362067
ENSMUSG00000000159	6.175411604	7.379251435	6.700908043	6.323312019	6.155033871	6.66162715	5.956591589	5.927723338	6.670264314	5.804654083	6.72536822	6.843813017
ENSMUSG00000000168	7.833396908	7.626967477	8.257917491	7.598821474	7.795263947	7.809809314	7.880786255	7.824825389	7.383194437	7.79939053	8.028404668	7.888357455
ENSMUSG00000000171	10.05979339	9.693897896	10.55036896	9.855048822	10.08597985	9.96893759	10.3247679	9.933750812	9.747812095	9.823297491	9.798755295	9.738244347
ENSMUSG00000000182	5.644034735	5.716359315	5.63788471	5.670402652	5.681505427	5.639064565	5.507403236	5.604358888	5.723596443	5.621406447	5.533751577	5.742504453
ENSMUSG00000000183	6.47656595	6.342075496	6.304546055	6.127612646	6.301165682	6.414941243	6.248680191	6.389032033	6.70307992	6.367164499	6.365052811	6.332118822
ENSMUSG00000000184	7.503793826	7.418889669	7.250468803	8.153966375	7.407149741	7.496155348	7.472355102	7.510322726	7.806210517	8.068971608	7.530001547	7.435906061
ENSMUSG00000000202	4.509000534	4.35985336	4.404235143	4.529147994	4.544346978	4.519101535	4.489069832	4.578057608	4.59078235	4.669247346	4.484306739	4.501669701
ENSMUSG00000000204	7.017498761	5.190902983	5.607635914	5.251891393	5.225789089	5.20084279	4.970225326	5.57653951	5.938060234	5.344846843	5.423070988	5.781706673
ENSMUSG00000000214	7.69113298	7.512865263	7.493708007	7.622414481	7.50895672	7.738962303	7.449424844	7.642392562	7.811232596	7.465826655	7.671923971	7.63441363
ENSMUSG00000000215	6.766464391	6.497616907	6.538166927	6.610480134	6.537954563	6.417316355	6.530470189	6.564418103	6.536582653	6.551933431	6.548470419	6.705126105
ENSMUSG00000000216	6.467707803	6.400933364	6.596191539	6.515176417	6.4973422	6.482814095	6.301567543	6.520234831	6.651438828	6.392376196	6.604637026	6.661172779
ENSMUSG00000000244	5.275362586	6.030128722	5.156105269	5.168706386	5.221126175	5.37295339	5.241621179	5.206191152	5.381960631	5.095521258	5.255986764	5.277406963
ENSMUSG00000000247	4.734272183	4.708742645	4.769663284	4.577451435	4.625681407	4.710165683	4.542348182	4.80447693	4.886424052	4.546711284	4.677153311	4.782731324
ENSMUSG00000000248	3.781592465	3.854280059	3.882841155	3.78794784	3.750743501	3.953300246	3.846069493	3.727702197	3.920634816	3.811491061	3.935066663	3.893363314
ENSMUSG00000000253	6.269328875	6.336899092	6.559190878	6.37638144	6.389962961	6.454917638	6.181572884	6.399047306	6.821229249	6.425471299	6.269194418	6.731499686
ENSMUSG00000000263	5.990662512	5.901451568	6.076864306	6.010096938	6.040313369	6.035677346	5.948285992	6.066120485	6.16472932	5.887427185	6.128317997	6.109873034
ENSMUSG00000000266	5.988595249	6.14504668	6.143453683	6.180330477	6.160172612	6.242068455	6.199543652	6.195643774	6.278783558	6.168976046	6.296264131	6.26198965
ENSMUSG00000000275	8.668926215	7.790848571	8.537611472	8.166346019	8.12607615	7.911706522	8.14453907	8.814299288	8.536626493	8.706978321	7.9290313	8.680309526
ENSMUSG00000000276	7.289251389	7.075425804	7.126829984	7.27296472	7.215807704	7.333148748	7.241666405	7.397575163	7.512980231	7.268687025	7.319388898	7.430201336
ENSMUSG00000000278	8.972626868	9.270030435	9.370307693	9.352307017	9.133494075	9.413403831	9.64849012	9.370571461	9.075832903	9.501813827	9.441225414	9.413212134
ENSMUSG00000000282	7.666057937	7.303226137	7.484753018	7.348350332	7.44774018	7.827812603	7.422211318	7.443586143	7.5730417	7.853729302	7.677860313	7.739768523
ENSMUSG00000000290	6.936567102	6.641335572	6.582246769	6.670055566	6.727945235	6.251346599	6.570454175	6.769156197	6.829021231	6.667816952	6.534344477	7.172208288
ENSMUSG00000000295	7.032346132	6.849483925	7.538263193	7.037471574	6.86100304	6.467977142	7.145210515	7.04799986	7.109168919	7.06152539	6.728275425	6.776680389
ENSMUSG00000000296	5.39206247	7.566627279	5.917381266	6.618143545	7.00790666	5.648308355	7.356953542	5.853923949	5.068237842	6.563105685	5.576044629	5.335171084
ENSMUSG00000000301	7.416222533	7.47034677	7.329080673	7.337843099	7.48754093	7.381137248	7.351088019	7.373066369	7.611026039	7.310869164	7.251165084	7.330801836
ENSMUSG00000000303	8.402261076	8.640742135	8.738666845	8.501139893	8.438213593	8.125305651	8.423593566	8.546768156	8.654288882	8.417739563	8.748781231	8.537439155
ENSMUSG00000000305	4.936987316	4.765755641	4.80865074	4.924143673	4.794304365	5.106123481	4.659787452	4.660944432	4.975701176	4.826934491	4.771126521	4.896849257
ENSMUSG00000000308	5.885356022	7.80011234	7.710757804	6.997605982	6.792423043	8.169239079	6.934313468	6.589052121	7.739108499	7.110639946	8.360618837	7.547741558
ENSMUSG00000000317	6.112720899	6.237958174	6.040374353	6.136770582	6.241700542	6.263225092	6.268056145	6.0365215	6.41732916	6.049122512	6.107815174	6.189525147
ENSMUSG00000000318	6.698350363	6.676297667	6.716295453	6.870949297	6.656328162	6.957983885	6.496274472	6.70125897	6.97419613	6.609945831	6.794908815	6.741256756
ENSMUSG00000000320	6.289847668	6.349519234	6.406606542	6.527569755	6.385562119	6.293014032	6.393943638	6.366133524	6.66025278	6.349422599	6.422525467	6.689742549
ENSMUSG00000000325	6.925399534	6.789394075	6.879429199	6.967145877	6.791486764	6.91388366	6.790717787	6.917695227	6.999304297	6.904486714	6.832286655	7.064875111
ENSMUSG00000000326	8.932469896	8.923698902	9.137294561	8.950381369	8.61909069	9.088169975	9.296881403	8.82569111	9.323838809	9.078257118	8.783708357	9.753523877
ENSMUSG00000000339	7.270917137	7.327481645	7.216739817	7.265803288	7.118022963	7.407645806	7.111575364	7.24407805	6.853593331	7.42544148	7.154154126	6.833592204
ENSMUSG00000000340	6.44130828	6.966294379	6.703415609	6.75793337	6.84417403	6.752828804	7.208921537	6.571683781	6.349806171	6.744791116	6.905833935	6.524644543
ENSMUSG00000000346	9.130974948	9.899246674	9.332184892	9.132356638	9.625532471	9.301170512	9.381686082	9.679243968	8.962715748	9.833613108	9.155753569	9.174433464
ENSMUSG00000000355	8.039789842	7.913830069	8.926385736	8.354590955	8.095475047	8.513115516	8.722818458	8.128297552	8.260772589	7.997916125	8.793509324	8.375818439
ENSMUSG00000000359	6.720205047	6.62443658	6.508895975	6.739790627	6.651051654	6.774759957	6.78606001	6.692122843	6.807632088	6.643691173	6.599279672	6.751598175
ENSMUSG00000000365	5.843403268	5.752830966	5.889223323	5.762506606	6.007732931	5.981284842	5.690964731	5.761667268	6.320012395	5.791019078	5.879125273	5.951811897
ENSMUSG00000000374	7.581222385	8.274735241	7.550202002	7.701022224	7.685063877	7.896740365	7.442581411	7.752423839	7.21812399	7.589231651	8.026475816	7.524984953
ENSMUSG00000000378	7.852455921	7.895397685	8.027926851	7.758747912	7.834316344	7.870688392	7.710250376	7.849590386	7.728400146	7.810085471	7.818556368	7.819167856
ENSMUSG00000000381	6.992564922	6.82804494	10.45982708	7.340663022	6.880302403	6.869199364	6.472789017	7.011008804	10.67391294	6.541038071	6.698492019	11.79937846
ENSMUSG00000000384	9.481693226	9.269777965	9.406719551	9.345633139	9.404132039	9.48047254	9.16472552	9.504567306	9.35988809	9.496076905	9.393325839	9.241771545
ENSMUSG00000000385	7.500015473	7.983235416	7.547650412	7.060934196	7.029286115	7.643894335	6.792539457	7.416798531	7.8038876	6.886303027	7.911892332	7.968446537
ENSMUSG00000000386	5.405092695	4.686359404	4.818557066	4.803417052	4.97674207	4.759307496	4.74234431	5.297378112	4.807451049	4.891291592	4.862620233	5.013361001
ENSMUSG00000000392	5.772899759	5.576856802	5.858664714	5.811180423	5.818000757	5.990792585	5.834269105	6.078697364	6.200426944	5.897842015	6.187182385	5.863350502
ENSMUSG00000000394	4.777389945	4.77031484	4.809073232	4.651760269	4.731713233	5.028959968	4.748119761	4.777040839	5.056737652	4.723648935	4.930161976	4.773434438
ENSMUSG00000000399	9.071058233	9.294181706	9.654873048	9.51318504	9.43172227	9.482567282	9.852400865	9.183684914	9.060194857	9.685680603	9.509905214	9.086851813
ENSMUSG00000000402	4.916204913	4.907756263	5.127294858	4.93790704	4.948190322	5.075383933	4.903035438	5.048233811	5.035614972	5.035388879	5.077723626	5.038902276
ENSMUSG00000000409	6.621766632	5.944443813	6.260721432	6.290760503	6.386496855	6.268392906	6.457448581	6.363826663	6.389198151	6.436893566	6.286844963	6.192566582
ENSMUSG00000000411	4.733449182	5.010212419	4.977311932	4.851658958	4.692509499	4.595684886	4.582018935	4.514500534	4.962380192	4.770649043	4.889579865	4.683027991
ENSMUSG00000000420	8.844391307	8.227821012	8.567205781	8.312062238	8.590632219	8.895554438	8.469539541	8.570122501	8.7363849	8.533668098	8.791654437	8.447809397
ENSMUSG00000000435	3.295590793	3.291304771	3.320648758	3.365221693	3.261991464	3.316219704	3.26348727	3.313741063	3.458298019	3.281407865	3.377225506	3.378937051
ENSMUSG00000000439	8.56950499	8.252426432	8.516971675	8.520582767	8.52121792	8.283973272	8.737854997	8.549242383	8.572769898	8.537559257	8.351162601	8.506033838
ENSMUSG00000000440	5.548032848	5.14716609	5.602122766	5.28664866	4.959608139	5.200182438	4.857938439	5.042770274	5.566807378	5.079768012	4.836686617	5.817009855
ENSMUSG00000000441	8.668500457	8.867410517	8.729831135	9.034618427	8.618820851	8.930069722	8.901379704	8.640045929	8.314546199	9.001690133	8.828940292	8.432952417
ENSMUSG00000000486	7.294152036	7.034106851	7.133704714	7.218853381	7.123923431	7.182848483	6.944299339	7.255772425	7.401662449	7.220094919	7.308097121	7.313536262
ENSMUSG00000000489	8.235506159	8.286998533	8.168477526	8.189689247	8.305439808	8.286837562	8.291473721	8.448057669	8.296644208	8.806877258	8.28091143	8.531189221
ENSMUSG00000000530	6.657101927	6.789264757	6.725289001	6.740443563	6.704861866	6.637419356	6.561984151	6.703133758	6.921983839	6.544544178	6.685918281	6.792865019
ENSMUSG00000000531	7.80285229	7.068993363	7.154000458	7.195404475	7.261195384	7.295789975	7.392068767	7.398605275	7.201228892	7.572713508	7.377824993	7.078168203
ENSMUSG00000000532	7.972280799	8.629506849	8.068036983	8.334399775	8.657939508	8.190588412	8.573737605	8.734256565	8.160860316	8.850566453	8.326530323	8.385422719
ENSMUSG00000000538	6.952265699	6.752046917	6.807512553	6.842476733	6.923279041	6.743302235	6.883172429	7.04923909	6.931067645	6.845038668	6.72919788	7.014264412
ENSMUSG00000000544	7.090475791	6.922777029	6.989776599	6.953143032	6.874923805	7.004470462	6.929889501	6.898191973	7.350196065	6.866268937	7.044594984	6.973003445
ENSMUSG00000000552	7.75656611	7.727445576	7.793146506	8.146124014	7.826251647	7.782171707	7.626694776	7.754427123	7.985150307	7.81953121	7.831012305	7.859217473
ENSMUSG00000000555	6.840834432	6.977582115	6.889602332	6.872326344	6.800542681	7.333263774	6.786838944	7.030835634	6.960328141	6.948968009	7.253183789	6.988915268
ENSMUSG00000000560	4.046733057	3.941115813	3.982490539	4.161998137	3.835879433	4.198246691	3.913836105	4.184164805	4.20493932	3.978749326	4.095594241	4.118211609
ENSMUSG00000000561	8.256187938	7.82163672	8.480068983	8.242580526	8.142684468	8.109681422	8.256806918	8.236122801	7.959071216	8.079360273	8.171731425	7.958660167
ENSMUSG00000000563	9.547236909	9.702504596	10.55241651	9.64026046	9.618571619	9.402127081	10.09756467	9.736877116	9.191734322	9.195709193	9.745798459	9.460529798
ENSMUSG00000000567	6.269814133	6.589784289	6.271634611	6.398919692	6.364610741	7.188334673	6.306669732	6.333131309	6.357422245	6.196813361	7.158079271	6.328731917
ENSMUSG00000000568	8.147667076	7.286211502	7.604413005	7.767089637	7.152670307	7.422919887	7.076181078	7.553610012	7.146835394	7.800554986	7.705450502	7.236612656
ENSMUSG00000000581	7.025867388	6.838380494	7.554527812	7.10479536	7.597001134	6.7367149	7.624656861	7.330722405	6.217573139	7.006587792	7.149950077	6.755224465
ENSMUSG00000000594	7.484034272	7.917005374	7.597867438	7.527827562	7.588009367	7.705812231	7.570702995	7.852298599	7.664055866	7.643496958	7.579930164	7.703675546
ENSMUSG00000000600	4.400599991	4.325875111	4.359837424	4.258263128	4.41261873	4.351696308	4.277610565	4.236594899	4.149197754	4.301128239	4.391945073	4.386889899
ENSMUSG00000000605	8.022771994	8.083839628	8.419741054	8.086992085	8.404469688	8.564283672	8.161140201	7.880726121	8.274220614	8.190209674	8.619743346	8.045287671
ENSMUSG00000000606	5.290439885	5.232106593	5.25789046	5.291741125	5.271728194	5.153615194	5.374078424	5.362361804	5.170122398	5.157418417	5.333284166	5.468887376
ENSMUSG00000000627	7.483122319	7.167754354	7.258929196	7.294155338	7.304074249	7.343056344	7.252590057	7.397667394	7.291230508	7.301350052	7.208754297	7.363579643
ENSMUSG00000000628	8.725250425	8.803689348	8.768821602	9.2523471	8.499825822	9.068638645	9.079031139	8.878339925	8.327657868	9.226253875	9.158391344	8.690741719
ENSMUSG00000000631	8.354237042	8.209364685	8.125096529	8.493936592	8.474478552	8.118398978	8.418147987	8.405536544	8.215896843	8.450439623	8.109604234	8.365321076
ENSMUSG00000000632	7.9937314	7.874822861	7.77760748	7.834950851	7.971116532	7.871976874	7.750114929	7.922362859	8.163588536	8.025874488	7.898821749	8.140909104
ENSMUSG00000000673	7.617430476	7.37723922	7.419343496	7.496767197	7.424158066	7.578774956	7.51259414	7.601485472	7.559941703	7.380706064	7.505714088	7.555503904
ENSMUSG00000000682	7.040947992	6.575215762	6.390016387	6.519728903	6.658859681	6.347259508	6.409591486	6.767965448	6.384978586	6.252000324	6.268807745	6.589129593
ENSMUSG00000000690	6.085794675	6.121444135	6.101279053	6.111228421	6.085659347	6.183838868	6.04115595	6.093188028	6.04170829	5.945670455	6.138416908	6.132834329
ENSMUSG00000000693	7.201613932	6.907878964	6.888015243	7.312168659	7.251120321	7.269703017	7.910674009	7.289984113	7.330605411	7.427081709	7.188463597	7.114225024
ENSMUSG00000000706	8.8788621	6.995563184	7.157882647	6.714524207	6.76206083	6.950292216	6.599993858	7.104041998	7.879181582	6.821118886	7.071276573	7.984152389
ENSMUSG00000000708	7.130758341	9.013990129	7.972256908	6.864072673	7.028322824	7.802469804	7.41773124	7.111348958	7.369953045	6.77888797	7.824708536	7.37024326
ENSMUSG00000000724	5.547820857	5.440078314	5.487507105	5.508423771	5.472366452	5.671050549	5.507327455	5.67681353	5.839463576	5.648921012	5.583484035	5.698253126
ENSMUSG00000000730	6.148206181	6.04909329	6.118991687	6.062380091	6.079116018	6.131903614	5.900693596	6.121298471	6.131063526	5.960833765	6.100401579	6.185875009
ENSMUSG00000000731	6.901519754	6.869044838	6.921805753	6.930062138	6.819173638	7.049754185	7.011714109	6.927581569	7.076160225	6.7870235	7.033184946	7.273138811
ENSMUSG00000000732	7.19132577	6.880062129	7.031247266	6.948869412	7.070514949	7.044435257	6.978916055	7.030029934	7.283594019	6.943952228	6.940767429	7.228917699
ENSMUSG00000000738	7.5738634	7.561933138	7.613729236	7.725242665	7.556772322	7.771601094	7.530498979	7.586580288	7.747462012	7.79451837	7.614400926	7.604550551
ENSMUSG00000000739	6.366615299	6.119588059	6.230042688	5.942662811	6.148804815	6.247319583	6.184746798	6.19258401	6.560458952	6.095551353	6.106524197	6.218053572
ENSMUSG00000000743	9.405733689	9.253382076	9.671922894	9.316937283	9.348006937	9.380305853	9.402882573	9.262942697	9.611922295	9.39183128	9.429703677	9.455834306
ENSMUSG00000000751	9.525836546	9.994332907	9.542201561	9.31584431	10.05532645	9.642324829	9.485213152	10.22609331	8.931370158	10.00708692	9.701384383	8.824898618
ENSMUSG00000000753	8.793920338	8.705628283	8.777567546	8.581723328	8.691557061	8.844435665	8.616155159	8.805278274	8.989376568	8.701688312	8.75339766	8.689033985
ENSMUSG00000000759	6.038643061	5.478882129	5.744304886	5.649901088	5.717189397	5.543908448	5.947678622	5.812482028	5.682487149	5.539313526	5.676628032	5.499438665
ENSMUSG00000000766	7.838376353	7.651792935	7.808620925	7.82783997	7.929653714	7.804213814	7.810987025	7.827619256	7.983202448	7.59154702	7.769831095	7.897093642
ENSMUSG00000000776	8.279471134	7.989565616	8.104793015	8.168227774	8.013387873	8.035051536	7.928212543	8.065054778	8.360605548	8.052767091	8.236925375	8.175579582
ENSMUSG00000000782	6.538415685	6.411331651	6.303460693	6.483962771	6.517108109	6.53755861	6.223705555	6.438190999	6.508711578	6.470539363	6.253497196	6.552736261
ENSMUSG00000000787	10.04104963	9.653674689	9.27355921	9.630363471	9.721014557	9.979306467	9.330550853	9.990049535	9.592821338	9.673097218	9.869711913	9.454508786
ENSMUSG00000000791	5.968885314	5.900618629	5.954313683	5.936363244	5.967906769	5.876545074	5.789609362	6.024766607	6.258819185	5.942864238	5.933068011	6.186489329
ENSMUSG00000000792	8.159709922	8.070920047	7.98924283	8.102783794	8.046480175	8.051526822	7.938640125	8.018210757	8.481223445	7.971135186	7.982270069	8.106945623
ENSMUSG00000000794	7.785761539	7.604378877	7.611548816	7.620655071	7.515294452	7.951080023	7.479628053	7.676464867	7.970199053	7.652198113	7.656425291	7.775348925
ENSMUSG00000000805	5.121041434	4.866260124	5.117292608	5.12711606	4.88380031	4.952517849	5.044070376	5.052876582	5.366457699	4.962504705	4.875427561	5.108712459
ENSMUSG00000000811	8.058879456	7.71354792	7.987561881	8.240249666	8.015434025	8.142885985	8.055474647	7.897773028	8.127882401	8.220231479	8.067674547	8.336064687
ENSMUSG00000000817	6.759011681	6.588438288	6.655300858	6.727422254	6.704559397	6.693668808	6.695803202	6.804225908	6.762181661	6.437367358	6.705567091	6.858591852
ENSMUSG00000000826	8.101590215	8.23557134	8.268327234	8.170962268	8.041960481	8.196246717	8.000139495	7.946876837	8.235175044	8.55120824	8.417369622	8.214820813
ENSMUSG00000000827	7.596230247	7.899016086	7.764452531	7.88979935	8.016137579	8.079656814	8.131903419	7.797986571	7.605632379	8.418534183	7.792323733	7.873639748
ENSMUSG00000000838	8.860829191	8.724140151	8.79496457	8.766128365	8.890121008	8.8027035	8.789408547	8.802527023	8.94102046	8.771940379	8.711209131	8.941582556
ENSMUSG00000000861	7.8248922	7.183833572	7.364402985	7.390864176	7.409202269	7.529452572	7.204358915	7.672094575	7.072749094	7.814605904	7.582240767	7.458739942
ENSMUSG00000000869	6.946730567	6.442057025	6.822747219	6.802900553	6.702540854	6.824545658	6.550488004	6.668125843	6.824204013	6.532748916	6.768528128	6.806409788
ENSMUSG00000000876	7.934623028	8.136232297	8.238263291	8.239004939	8.148920845	8.076699635	8.197285582	8.100019549	8.585561958	8.167232711	7.951584816	9.267451664
ENSMUSG00000000881	7.814766045	7.421113435	7.412893676	7.463978364	7.384596403	7.649364843	7.397274173	7.548284751	7.509554328	7.242550846	7.58213937	7.385944023
ENSMUSG00000000884	6.621331609	6.147123839	6.480012163	6.373622445	6.450527239	6.297898246	6.480383864	6.536239307	6.081671762	6.263754222	6.339326776	6.321036731
ENSMUSG00000000889	7.918169159	7.958821879	7.856767415	7.98240929	7.95131576	8.052517646	7.806343636	8.041940086	8.170119867	7.925560255	7.890732815	8.101822717
ENSMUSG00000000901	4.816655669	4.713445467	4.781812679	4.814929131	4.916021964	4.836351307	4.897525497	4.897083537	4.927440577	4.82018184	4.761470768	5.077535748
ENSMUSG00000000902	8.370997522	8.315813951	8.335714482	8.262391976	8.442196937	8.813366503	8.230020745	8.478618871	8.352718201	8.770412542	8.59339502	8.342124543
ENSMUSG00000000903	8.261250209	8.167952731	8.104680714	8.195219547	8.207386313	8.21067889	7.999667734	8.198953657	8.303996081	8.071532592	8.096407346	8.341131568
ENSMUSG00000000915	8.3799319	8.298194165	8.293760271	8.23555677	8.189081536	8.506609105	8.174537762	8.257925464	8.356727321	8.333239897	8.672632745	8.404905466
ENSMUSG00000000916	7.039947479	7.064645329	7.109952412	7.007248218	7.045151492	7.440826119	6.993694913	7.020486382	7.319317122	7.188130445	7.285076062	7.007347181
ENSMUSG00000000934	6.776276025	6.806056316	6.638934877	6.756450329	6.953461951	6.743276636	6.608950675	7.2114775	6.73428976	7.340599479	6.670431041	6.815904732
ENSMUSG00000000938	4.114402804	3.8560449	4.063501463	4.004352557	4.076772245	4.148600332	3.911178617	4.011119556	4.02011387	4.019255037	3.899557959	3.968385642
ENSMUSG00000000942	3.900612528	3.845276211	4.059076544	4.010497979	3.835925891	3.930384394	3.8353849	4.078443263	4.045502899	3.786515523	4.09430839	4.07234768
ENSMUSG00000000957	7.17587359	7.147435299	6.932916304	7.352916112	6.981987557	8.076408831	6.980087341	7.122243665	7.138649042	7.514542842	7.877231901	7.262446749
ENSMUSG00000000958	7.631626228	7.995289882	7.48490194	7.477712743	7.871727946	7.885988213	7.980701451	7.645646426	8.007326645	8.177602078	7.905662627	7.785284653
ENSMUSG00000000959	6.893914968	6.760838838	6.825281733	6.738085534	6.687104573	6.812798957	6.732868074	6.851262484	6.989008023	6.814177276	6.777731131	6.913958887
ENSMUSG00000000976	8.247883764	7.998538883	8.103119741	8.111442889	8.39527578	8.257184585	8.042833701	8.424244215	8.093200886	8.355281767	8.19074315	8.041818136
ENSMUSG00000000982	6.003150133	5.681982025	5.784495859	5.801460102	6.00211148	5.847893211	5.742557716	5.690816048	6.164738544	5.805612684	5.791896445	5.87373939
ENSMUSG00000000983	13.27805322	12.65454058	13.05363629	12.07735246	12.54004146	12.35770236	12.07196579	12.98311147	12.61793317	12.78519273	12.40347677	12.99822092
ENSMUSG00000001014	6.387441116	6.216250647	6.025010876	6.326101559	6.244383917	6.533021329	6.144552595	6.302743047	6.686528149	6.026047901	6.402049187	6.609071694
ENSMUSG00000001016	8.257339764	8.08350618	8.378652293	8.198668016	8.250343126	8.133114012	8.379738926	8.33566561	8.062727699	8.29113831	8.314213965	8.049203878
ENSMUSG00000001017	8.667085726	7.928203434	8.622569871	8.229300995	8.221594914	8.329458406	8.623407323	8.169907749	7.44331627	7.893628374	8.41738835	7.701964598
ENSMUSG00000001018	7.051967523	7.10199652	7.298698977	7.228095691	7.172329022	7.313613711	7.485498336	7.186274837	7.28129647	7.249763843	7.307113058	7.229163415
ENSMUSG00000001021	5.609995697	5.550947305	5.774794228	5.627790078	5.684640915	5.753041933	5.661541219	5.721394837	5.925368241	5.65104804	5.85555851	5.858019221
ENSMUSG00000001023	7.507719979	7.34011895	7.311462402	7.369468065	7.506566587	7.523238791	7.305329089	7.466341336	7.804645703	7.371631075	7.436530258	7.583708431
ENSMUSG00000001025	6.72102654	6.8404745	8.15115635	9.198073174	8.047314238	9.119811527	8.394048499	7.316085077	8.836490017	9.801149244	9.172481561	7.635258357
ENSMUSG00000001027	6.339999578	6.437097552	6.352512575	6.505011881	6.367925143	6.48065202	6.287219001	6.54303161	6.69999508	6.365212216	6.288539847	6.511480833
ENSMUSG00000001029	6.275064242	5.931053356	6.059454886	5.900516658	6.009908933	6.029053876	5.945476523	6.068871702	6.126346773	5.83161147	6.118715618	5.997620681
ENSMUSG00000001034	6.766097344	6.947202461	6.631968459	7.042122085	6.97899283	6.858677733	6.91792204	6.973123261	7.00319147	7.013686537	6.68196586	6.953661775
ENSMUSG00000001036	6.730225308	6.53312449	6.901893713	6.704931542	7.030980381	6.828231835	6.830110802	6.875645271	6.858614349	7.35581539	6.720866699	6.934536183
ENSMUSG00000001039	6.916958198	6.97209088	7.165927193	7.034201542	7.065007444	7.181825587	7.334079264	7.18878721	6.840807037	7.160093411	6.926141958	6.945973551
ENSMUSG00000001052	7.380489626	7.188423524	7.192665396	7.39797258	7.225200837	6.884246676	7.242702858	7.299924334	7.201035012	7.122761201	6.942165857	7.356316528
