Gene ID	wild.type.genotype_1	Hunk.knockout_2	Hunk.knockout_3	wild.type.genotype_4	wild.type.genotype_5	Hunk.knockout_6	wild.type.genotype_7	wild.type.genotype_8	Hunk.knockout_9	wild.type.genotype_10	Hunk.knockout_11	Hunk.knockout_12
ENSMUSG00000029676	7.157008146	6.660371476	6.989193356	7.023937743	6.998105562	6.708267557	7.413988948	6.927280164	6.699566181	7.067201498	7.097775968	6.654156976
ENSMUSG00000029681	5.484206766	5.422118427	5.446803163	5.458714171	5.441820182	5.376986461	5.341721903	5.355189966	5.412149105	5.515726654	5.26927859	5.370254789
ENSMUSG00000029682	4.462810745	4.331005982	4.226079822	4.38184097	4.368537384	4.47681436	4.324092808	4.469918581	4.62880322	4.266724526	4.267741877	4.431437863
ENSMUSG00000029683	5.666538884	6.609470444	5.5022889	5.444428144	5.60254453	5.670830159	5.599257501	5.697086524	6.12293383	5.559166942	5.825411835	5.6276246
ENSMUSG00000029684	7.433717771	7.923050363	7.3676263	7.651456705	7.510959009	7.580820603	7.606358591	7.513242808	7.210865828	7.691632069	7.640936884	7.450740039
ENSMUSG00000029685	5.11756492	4.990397625	5.14160716	5.195408272	4.939971318	4.983238072	5.003427631	5.15625392	5.177906733	4.999028601	5.030372474	4.829983596
ENSMUSG00000029686	7.141306878	6.995018182	7.05337626	7.397326132	6.936549203	7.092256846	7.536669024	7.092368791	6.687633038	7.505531642	7.057101553	6.65084778
ENSMUSG00000029687	7.297097858	6.382792396	6.495649793	7.105263059	6.72363849	6.795866978	7.216843692	6.783470182	6.429925447	7.19148453	6.80597057	6.473116833
ENSMUSG00000029695	5.067256829	6.043061937	5.191647544	5.705822486	5.368860279	5.229437596	5.900170746	5.277459482	5.202654126	5.031516462	5.171396735	5.228049789
ENSMUSG00000029700	5.524592842	5.231140922	5.600866168	5.419291183	5.459979889	5.437308563	5.283990393	5.470367734	5.63116213	5.450925686	5.456812676	5.307610278
ENSMUSG00000029701	8.527522483	8.05145248	8.089797016	8.552958853	7.914623677	8.821571933	7.690687885	8.164945829	8.382893981	8.409103485	8.51713438	7.769737847
ENSMUSG00000029703	8.252711379	7.708178769	7.751740597	7.901385964	8.034588298	8.066380545	7.833741169	7.934287305	7.682842223	8.070401092	7.891712976	7.789754367
ENSMUSG00000029705	7.57511747	7.48439305	7.501125926	7.473012491	7.447453989	7.450496892	7.470574525	7.613435383	7.776197054	7.493776341	7.521030653	7.792757538
ENSMUSG00000029706	5.919510936	5.733383136	5.894181102	6.0293111	5.945029304	5.722696886	5.795763069	5.911815391	5.92764375	5.840324668	5.816140526	5.889223323
ENSMUSG00000029707	7.094712429	6.859596689	7.001024773	6.950256247	7.038772099	7.19350267	6.956040051	7.047949081	7.383588803	7.040522498	7.075952589	6.97785686
ENSMUSG00000029708	6.195381084	6.147317624	6.192970379	6.279048267	6.17526677	6.143347741	6.151358067	6.127379817	6.166331078	6.148914248	6.174059246	6.256793731
ENSMUSG00000029710	8.403408608	7.971549173	7.971325871	8.422638655	8.296834301	8.120707118	8.34001231	8.268098115	8.259278265	8.271174894	8.0850312	8.076365084
ENSMUSG00000029712	6.068784812	5.963399319	6.031993445	6.070753974	6.053799924	6.050431594	6.048496308	6.069385679	6.109030784	5.979917905	6.115841462	6.124615948
ENSMUSG00000029714	7.380423028	7.068256793	6.998751019	7.068097691	7.075859578	7.300459056	7.059608969	7.145710618	7.077651806	7.223711837	7.009038582	7.01865076
ENSMUSG00000029715	8.103479973	7.693579319	7.93518319	7.802590002	7.554931428	7.84319368	7.609443601	7.781525922	7.644599708	7.794220669	7.685653742	7.60460056
ENSMUSG00000029716	7.278296315	7.130025981	7.284045796	7.236435383	7.334466347	7.274639876	7.212555759	7.281135363	7.598802187	7.128941992	6.981234542	7.169473073
ENSMUSG00000029718	7.336231308	7.392271753	7.43936489	7.387167323	7.233538798	7.847473921	7.401468281	7.5085985	7.652015856	7.432784152	7.657349238	7.485465144
ENSMUSG00000029722	6.655970724	6.514575843	6.540138104	6.547119395	6.557727124	6.661985156	6.454819341	6.52696029	6.640982571	6.497447919	6.695665355	6.795932891
ENSMUSG00000029723	8.5049786	9.282021346	8.582804213	8.760348505	8.463548818	8.886301621	8.519188143	8.635291161	8.723357807	8.700422257	8.88290782	8.879994474
