Proteinname	B_395	B_401	B_414	B_421	B_439	B_444	B_449	G_12	G_14	G_2	G_39	G_40	G_41	G_42	G_50	G_51	G_52	G_6	G_9	G_92	L_399	L_402	L_403	L_406	L_420	L_431	L_432	L_433	L_434	L_437	L_441
P00751	4301259.25	18197100.5	2852338.375	9284261.375	4810109.25	5543526.75	1353036.75	1820477.75	1368425.271	2682762.99	2127007.375	2745470.563	2905117.625	5403749	2921609.625	2526352.75	1754804.406	4559410.875	4053248.375	3475423.625	1399163.938	762990	4116446.5	2603961.5	3353933.375	1770221.844	3627474.75	3617248.5	4489920.688	3417310.125	11925563
P00915	77818.06152	3669209.5	10434.20044	1197194.55	31161.90723	125534.4375	6867.602112	61473.84912	7022.322266	579502.4165	37743.26892	133857.4063	31874.51367	589271.7344	473972.2539	35836.47998	173616.4502	1173867.811	835269.0938	26040.93848	10631.24451	1013.449921	328974.0938	241720.3828	14230.17175	53063.5686	27770.0625	485410.9609	71236.82819	95928.46484	476077.75
P00918	15042.34521	 	 	 	 	 	 	15761.27703	1091.527905	26712.93182	38698.67389	31065.88574	11264.38525	167476.9297	42748.63687	3380.757568	74137.70508	122936.4491	259223.4297	36829.48819	39.97320271	 	91734.24219	45420.7832	 	10059.256	 	160564.9482	8568.307729	17715.44434	128505.0703
P01008	4975906.052	39694797	1460688.953	16224393.27	8431731.5	4698762.875	693066.9375	2499449.5	425908.1439	3074576.604	3361162.313	3791818.375	4516375.125	8751545.5	4426915.844	794555.0313	3978102.125	8094854.957	17684809	4226448.063	595831.7656	369325.2656	4458196.25	3717277.375	2094482.313	1670828.641	6005346.5	4045061.125	3131208.375	7218355	10950053.5
P01009	29916.01367	992985.0625	81584.30762	383596.8694	13959.69482	34427.8291	2206.647461	25770.53162	10368.36945	167297.5472	21851.32336	53298.36914	29668.6582	36708.78418	19658.0304	3758.081909	17607.50635	291046.2676	370981.1719	14038.61182	2909.491455	1930.085266	14305.39209	10705.10254	5463.270691	6295.864685	45494.86523	11845.89893	8918.865356	25057.00293	61079.68164
P01011	5147218.417	25134087	1941551.5	10156134.94	3439725.375	7018670	2050863.313	3274833.75	3695415.87	6617008.583	8839915.5	6900418.75	6095199	8372024.5	6914490	12206481.5	8831317.5	15685185.5	6599740.25	2595615.5	2177047.375	1920040.875	2553067.125	1660347.75	2660551.125	1883388.625	6248639	4150982.25	4289193.125	4395180.125	7575683.75
P01019	1883052.25	9107493	756792.9844	3654746.188	2264934.75	1461369.313	765111.2813	976058.3438	502789.7415	2453899.375	1617597.438	1437103.438	1549952.875	2481756.5	1282917.5	1007573.531	1641601.813	9546623.875	5778953.5	1171867.719	654962.375	419053.8281	1138169.25	1237047.563	957466.6563	596663.8281	1640319.313	549714.9219	1337970.031	1883836.625	2272801.25
P01023	2039585.01	12454301	3283402.844	9188170.125	7535831	5520269.875	958965.875	1271081.813	293722.2969	4285019.483	1649077.844	2649164.875	3578427.75	3702021.5	2862603.906	706982.0938	1816629.063	13043086.75	5401555.5	1367231.859	546634.75	516653.875	5675717.25	11135378.5	2108547.859	1666432.094	5082795.625	2050660.031	6541020.875	4113662	3158090.25
P01024	8177940	27873513	3861760.875	15453476.22	7841819.25	6475042.375	2951011.375	2813303	1575658.458	3288834.135	3037035.875	4269318.25	4353693.25	6916602.75	3279341.25	2933614	2567704.5	2655790.852	3771172.625	4812507.688	2048014	2751655.625	4094699.375	4073963	4906505.375	4336971.125	7097715.5	5779247.375	9244316.5	4520105.625	9991704
P01031	1301606.854	7060902.5	547270.9883	4049879.268	1685438.5	1334598.742	168862.1953	349232.9688	232307.6563	690432.3203	389278.8906	955017.0313	766896.75	1517664.438	1101717.344	133052.5195	477886.8086	1450408.471	1961662.375	598401.5078	187122.1719	104532.3789	811792.5313	1043860.5	732555.7773	609496.9414	1263640.375	941752.9063	1174277.016	1124265.094	2281035.063
P01033	214141.069	524445.4375	85360.74219	1876045.234	166623.3359	92565.8255	10818.89111	73895.37939	4640.993225	248409.9106	87808.90527	312782.7656	114457.7617	320891.9219	95394.7738	1313.959633	69161.65747	181942.7133	2804365.75	59945.36206	14776.46875	4957.064453	282213.7344	144706.1719	71411.15869	56141.73218	290610.2969	170378.2402	164060.1533	149491.8828	205891.75
P01034	448025.2158	4239449	278705.1309	1874599.883	510954.5313	254968.834	44449.38281	387914.9883	646382.5156	1636655.333	262355.2773	1501212.813	668667.4375	2756608.25	967618.7578	74404.88867	1319658.797	1918878.359	4787134	292603.9043	30769.9541	39215.97461	505845.7188	461937.4063	280427.7344	217953.5195	1778275.938	281736.4375	374303.1621	557983.9688	655930.875
P01042	2196116.104	15278293.5	2161863.063	5960586.656	4736682.5	1713843	1223039.75	1155550.594	522084.3542	1469444.5	994513.5625	1429082.875	1335360.563	3514771.25	1135142.313	1033717.344	1467105.844	1156519.469	1592546	1935430.75	980189.3438	813094.5313	3018830.125	3393772.25	2379405.5	1681887.469	6193165.25	2655671.531	2510133.094	4676183	6066698.25
P01344	199379.9735	2441173.5	210501.7813	1560376.041	632940.1875	225436.4875	37062.4668	86174.86035	26007.89893	332876.2122	76598.81543	177877.7578	157374.8125	584024.5938	62730.31006	10621.94067	236767.8125	502989.375	1231596.125	222802.6172	35443.7666	17059.58008	255891.2969	152817.6953	202696.2461	146531.5371	569829.875	148368.877	92108.64551	315358.3281	715312.8125
P01591	17284.89893	388653.1875	 	 	 	3838.473389	 	108.1933365	34.22227478	 	 	1177.575684	 	 	 	 	1412.566174	 	 	 	48.45656013	 	 	 	 	37.11923981	3380.913818	 	 	3969.929321	3889.704102
P01834	60625.44757	4023441.25	4480633.383	1784271.75	4535.38916	5617.037598	 	18891.52295	39428.26611	 	29709.34839	31422.76953	5964.539551	10626.70984	196661.5742	11362.14709	92912.23438	 	539273.25	19323.50513	358663.9766	70697.99609	6604.040039	4183.662231	81324.04297	88685.11816	23602.45313	156581.8345	42965.98608	25277.07324	21618.06885
P01857	63239.60334	4358988.5	21882.18164	489538.5237	20395.63867	26615.71118	7607.24707	11934.94702	701.692337	37292.35962	17169.23389	49215.61133	24471.24609	19579.34766	28847.57715	2809.662842	14142.80908	116276.0507	179386.5547	7740.034546	39689.4314	5131.223511	20625.83301	12455.521	9128.71582	17570.84802	66533.66211	35461.63086	19513.64355	40465.94727	119202
P01859	129248.0794	3573974	21053.77344	3670.128418	 	1889.122681	 	49628.30859	 	 	 	 	 	 	6121.527832	 	 	 	 	 	375516.5938	48892.20313	 	 	25404.95703	12810.97461	 	13024.81909	 	211577.5156	756805.8125
P01860	207116.1868	1366379.75	67986.46875	988189.5625	77704.8125	2550.948975	7770.223114	59460.51367	39.11745167	98940.71643	42250.35229	160405.1641	124580.1914	373137.0234	88076.11426	6858.843628	72613.85254	161412.7527	299752.875	161267.6943	42331.0332	13537.76221	301652.4375	107127.0508	78272.19922	44053.00024	104566.0703	49691.67578	10177.7417	134018.168	255075.3516
P01871	29195.9647	436403.0938	11547.01196	4769.036621	12789.33032	7979.665894	162.9891529	27286.37964	24409.76782	501.0145569	34642.71484	60244.63672	23024.08447	36360.49951	6051.696289	10901.17676	64044.73828	 	48539.45703	163.8072968	9564.200768	18221.29883	51968.46191	57330.27344	43058.63281	41869.96973	14202.1543	31416.2373	3996.831055	58356.26953	80009.53125
P01876	50811.41797	271542.7188	54146.05566	152910.6406	 	308.9471741	15650.57324	 	310.2042847	 	2351.769531	5994.375	26292.15341	4434.283691	3507.928192	 	 	 	 	340.3139038	3026.577148	497.5419312	 	 	16396.44531	10260.78809	 	 	253.0926514	26086.24707	9804.531738
P01877	134675.7596	2807816.5	37343.67383	1494364.125	103713.25	61448.16882	414.1210327	6454.574493	262.6673145	14486.15585	5232.541172	48856.54492	11418.3562	49630.47656	16935.38605	54.44768906	4108.530396	 	137339.2734	9888.525019	1482.842047	1131.635193	26408.58594	30850.29492	43123.8371	21618.60063	24316.89355	12362.23425	16723.75	47886.875	137082.9219
P02042	 	 	 	2105986.677	 	 	 	43054.50391	 	179132.3984	 	43135.74609	 	126295.1367	48332.45898	89540.58691	144.2232857	 	 	 	 	 	228820.1797	95890.78125	984.8085327	23499.67383	 	136717.7969	 	 	104397.2305
P02144	205792.3581	 	48660.34082	 	247069.8438	 	39461.55859	57130.42419	7447.375854	441114.457	618605.2891	442783.5156	1972336.563	930921	3049962.281	43732.7793	160545.0869	3656108.375	18739784	348624.1777	59503.66797	 	131169.8867	588212.4375	100339.7393	114614.9902	585436.6406	59586.93164	 	420757.9531	222574.2891
P02452	355582.9954	3398333.75	1330905.047	1911956.088	1395088.875	639031.9102	174024.0391	155603.1934	186291.8255	466110.2633	120218.5508	452333.4219	130355.0234	170574.8672	109551.1697	24301.3728	721979.5859	472282.707	2713071.188	183254.5547	11582.50684	26397.4165	595737.2656	873455.7813	154696.4004	171481.1133	469987.0156	58109.32495	498122.8633	119432.3555	64425.72461
P02458	226676.1797	 	21266.78527	7921.789063	36588.44141	71567.74982	2071.457932	98072.95386	7728.283203	2778.720459	52325.1416	150015.043	38455.1875	105042.4609	32161.70776	4003.323975	226130.2363	194174.0015	178323.3438	59109.20093	440.124527	874.1358452	45805.91797	44850.5625	12182.79932	15557.53729	 	7058.941128	12358.37126	28120.19629	5307.806641
P02461	94352.33464	1810277.75	35889.82666	670860.7578	62031.66406	92840.84619	13065.64209	54110.85156	964950.6777	28218.45215	114279.0742	92086.53125	31310.29004	495156.5938	29182.60498	8363.568359	131419.1641	26185198.09	326312.3359	54650.33496	5367.406982	8066.427246	50382.97461	46640.89648	16863.61084	26189.93066	35364.83691	16293.70728	55670.69336	47195.11719	207600.1289
P02462	22954.03491	 	110044.6219	 	78506.33398	97653.36462	7931.184326	203818.6	4955.781006	2894.694336	172670.5622	261092.0625	124215.4258	469836.875	352959.5824	395.472435	132196.1986	 	3906587.25	126126.9609	2614.998901	251.7588539	257861.6719	66130.53516	21085.15248	13015.11578	99368.55859	118.9998856	90439.15759	32865.35547	 
P02533	266794.5344	9503962	3497.360352	783938.7288	16057.1001	197080.6519	31.13866806	3275.412071	1535.624084	30065.28442	37845.81079	52228.28223	49982.77734	71215.87207	198234.9695	117.7976112	6154.46521	4613549.168	4496187.953	22776.67618	427.5721397	368.4071293	1115.758911	22482.625	23624.51925	12587.81836	323167.5352	49661.75537	4075.954776	9524.970093	32093.74902
P02538	480004.2177	10550584.5	9941.575623	4642764	59917.18359	230338.2314	671.6793518	15365.9201	2354.660726	350491.1226	127850.2117	92861.43164	94745.96289	247458.6875	993080.1157	398.5813446	27248.08032	14218558.66	3960474.813	21473.6134	1265.551376	1275.558319	9205.171631	21806.10303	34484.30933	10560.99115	322334.1289	82721.74463	25064.94137	32806.08447	54483.11719
P02545	115479.7852	9353331.5	9966.914063	4420861.143	127356.3672	103289.9536	888.6147919	28078.16858	2194.335499	192317.6495	23820.42004	31611.62305	36917.64063	138842.7969	42201.69849	449.4729919	52656.80017	1301295.426	434565.8594	15021.47444	2244.223511	2197.349792	40798.54883	71446.9668	19026.20972	16645.59399	150041.1719	24615.77252	18999.75159	54426.30859	70655.99609
P02647	23787868.33	94102700	5240031.625	70541317.63	33973407	34983556.5	1862264.938	4567153.625	1606646.128	9190433.757	5897508.375	6222683	14832648.5	24541569	4157647.625	2028040.813	8904974	17042707.25	32103634	13056156.13	3866208.875	2397737	25795104	17587561.5	12515235.38	9381615.125	15943763.5	6765120.313	7762301	20642666	25095555
P02649	1200179.417	5570924.5	995608.625	4885304.18	1470363.25	2716251.125	304997.625	498470.3125	321144.3281	879769.487	1024005.188	645618.1563	1734833	1273243.313	795558.4219	290421.0156	1225595.25	4534515.219	1802457.813	242047.8477	349106.4375	478457.7969	1230976.969	983671.625	1168148.156	463095.8906	1421781.375	679918.0938	388111.5625	1229289.063	1895110.563
P02652	7756325.063	91005158	1966577.688	43036729.08	2704170.875	8590322.063	787208.5313	3328953.375	816606.0859	4455372.75	4931893.813	1032601.5	663108.9063	2400315.688	2446310.813	9823145.219	946393.7813	25941648.14	20085751.5	1574271.75	4061511.875	1426924.938	1521050.813	989633.4063	3173305	1453849.25	2268062.75	1235335.422	1511296.875	2099780.313	3166466.625
P02654	469706.8464	 	205296.1563	435452.9161	1129577.688	1019318.949	34451.53662	140388.7188	107318.9209	132280.1963	283142.3906	89132.28516	428710.2578	533378.3281	110128.8354	6071.616013	245127.8809	131076.375	1113569	422823.293	236083.8906	125401.8105	789593.9063	317880.5938	677170.2813	167803.1094	974754.0938	195441.3438	216457.8867	606648.2813	622357.8281
P02655	445660.1304	1168047.75	565948.8438	1068154	1032421.969	841670.291	424653.9844	245076.6953	760426.1875	887943.6094	1505453.063	335029.6563	381059.0313	886610.125	832191.6875	614915.625	787024.625	3355661.099	2227770.75	134461.4233	378773.4219	684886.25	533878.7969	259170.9688	697203.0625	469884.1719	860853.6875	507727.4219	365258.1406	610130.9063	403292.5781
P02656	2481645.333	6526631	1361337.875	3124916.5	3089504.875	9854118.5	820009.9688	908591.75	1272079.427	2958562.75	959420.3438	1307604.188	1477356.5	4126692.875	2744252.625	891002.0938	2046567.938	4152835.625	5078641.625	847588.7734	765786.3438	851874.4063	3797866.125	2184556.063	2927380.188	1306243.719	8937028.5	1266598.156	1510276.25	3812796.5	1493710.938
P02671	511366.0938	3077944.75	744772.9688	2521201.17	757703	337901.5547	209562.2266	1020240.875	1308764.839	584874.4375	1408469.438	2701204.25	747263.6875	714786.4688	1660270.75	1424816	3153567.25	201995.7148	669866.2813	1147153.156	444330.0625	331779.5938	488391.0625	479490.3125	765550.7656	750870.0625	1242739.188	428448.2188	590889.7188	315486.6875	707495.0938
P02675	313955.6116	1771925.938	307997.9648	1178499.969	566981.8906	259779.4053	24189.74951	301369.7891	225435.6419	491715.707	964128.1875	2166215.313	1370755.813	1017589.438	245493.8218	101998.1406	415818.6543	1274428.604	1780656.688	184616.6826	102541.9023	30466.89844	468950.0781	1224436.375	719367.6484	916572.2656	1061856.219	292491.6606	1036755.313	248306.4297	410922.3906
P02679	452264.5661	2467151.625	855366.5313	1299883.127	1022933.031	367480.1367	74179.98438	634859.3438	1305976.526	597530.9766	3319333.125	3166279.75	2057476.813	1430008.188	366360.2656	507848.875	844095.6875	1518115.567	1908899.5	603948.6563	332287.1094	115823.5313	718876.7813	1848972	1457598.063	1809196.438	1375473.188	224300.7031	1595609.188	254931.3438	463676.5156
P02689	 	 	 	 	 	 	5.889836788	37.6621933	3.092879653	 	165.1863976	666.4491158	512.6585388	348.427063	12932.22132	242.6377425	548.4085317	 	1085.935211	107.090229	6.538393021	4.184295774	 	10.92473525	10.4319185	4.923039436	 	41.20463872	12.54552186	54.14995193	13.7227149
P02741	 	 	100.941452	 	1050.043564	 	41.29449463	59.21977997	19877.61639	61195.11035	68171.90439	263019.2031	138844.4805	66373.46094	83130.86182	7160.477295	26179.76044	574020.8645	 	11898.86426	31.70671654	10.39258671	 	 	19045.92999	 	 	11242.96484	11237.60125	3836.914795	66124.95117
P02743	3290047.583	45881131	1785806.875	15113039.52	3339456.25	1993939.156	2757802.313	2511795.875	3824483	6184087.25	11819098.13	3686637.375	2532195.75	3963782.125	3516815.75	15530331	18080318.25	23004626	25040162	2801543.875	1560817.188	1404586.063	1484415.75	549922.4375	1723763	1051707.906	9556039	2621347.563	2575881.375	795784.1563	3647716.688
P02745	76378.91406	 	1218350.875	5039814	 	903399.6855	74736.49219	415922.2314	 	2174394.75	283274.5625	 	 	909448.9688	596561.5	281860.125	35566.44141	2523907.621	2600519.125	104858.5078	1322.102417	 	 	 	8585.463867	28611.02539	 	616216.5625	1167157	29816.91992	147758.4844
P02746	287455.8105	2914049.375	323291.8081	1358049.58	563326.6563	260734.7268	12981.74609	215860.5049	9977.242188	675129.7383	110872.2959	269449.6563	386362.2344	501164.3281	142164.152	9634.061523	189708.1348	2069794.957	1418893.313	164773.4707	22057.52148	16602.82056	277040.1094	294945.8047	183676.0518	151424.5264	534187.5156	460454.0051	331495.2803	492277.0938	1426847.813
P02747	239365.0417	3086301.25	152949.3086	1859808.281	1377543.438	380866.7266	135354.0313	140264.8594	224512.5651	638949.0938	56905.10742	405520.8906	693631.0625	318212.8984	161030.4238	168126.9492	285182.0781	1933525	1322890.125	315968.4492	188489.0898	121348.3828	777887.0938	554008.2969	570425.0313	185259.7578	1085307.094	327284.0391	199117.6289	960583.6875	2492248
P02748	5851011.313	4527753.75	878905.9219	14846545.25	963771.25	28481355.5	6626646.625	1795590.5	2737854.332	15155590.01	4183129.813	834522.2188	1399366.313	1653058.625	6821343.313	25207602.5	5531678.063	15195826.63	2271855.5	2652649	5737047.75	3297759.625	779835.1875	447141.0781	3068838.313	2178335.438	519495.9688	2257805.391	2637327.125	1162846.938	2141869.188
P02749	2732274.833	8802363	1979627	4956054.25	2714086.625	3159372.25	1048997.313	1931863.875	733252.6563	1289632.397	1522201.75	2533057.75	2670467.75	7232238.5	3917550.813	1945253.125	3964174.5	3362367.25	4806750.5	3998831.188	1266386.156	616647.9688	3498446.875	4659653.75	3175433.563	1641441.156	4301767	3159590.5	3351150.5	3052508.5	6233173.75
P02750	6207618.208	6782500.25	6466929.938	18731883.56	849167.1875	9681311.875	9411484	4143478.594	14776723.15	4346103.875	17268180.38	2406738.875	3702622.5	2840422.5	11447528.88	39783544	32936396.13	24681905	3373715.375	10139693.94	8236155.5	6634281.75	1337149.688	645442.8438	5100774.938	4955046.875	1116044	2858396.938	5836018.125	1343276.063	2046025.125
P02751	5114246.646	2357016.063	3352279.125	19147556	1080541.719	16793853.78	6339742.25	2813067.031	2456345.323	16646254.57	2669078.188	616023.125	1447720.25	1538611.25	8236944.188	8707166.75	5675820.203	22313875.59	1869866.188	2205481.938	14707054.5	10946298.5	2077275.75	1429927.438	2887929	3824933.531	1554642.875	7876960.875	3807251.313	2861815.25	2645441.125
P02753	529820.6667	4227829.375	1800766.938	3522686.75	1151591.5	240373.7511	2017437.5	3580028.219	1358254.505	752005.3125	2674273.484	587781.25	393571.2813	1776013.438	5817375.125	7593684.938	4329072.5	209393.9761	585106.125	1082662.656	4150509.375	2109486.5	414608.7813	655385.3125	1474820.719	1432066.672	2087224.438	1975894.313	2137768.938	479269.375	1116031.875
P02760	4246925	24452478	2642992	12450109.05	3802702.25	6087326	1822977.625	1630061.375	871418.9714	5004809.615	1653165.125	3351363.75	2200158.375	6381768	3448750.75	2247349	29255484	13604444	15579678	2873635.25	1247592.313	1166718.125	2598009.188	2488187.125	1630550.906	1695743.75	6196419	2317101.125	2656486.438	2678492.625	3746731.375
P02763	11063692.67	35276005	5048498.5	35026396	14603474	18955570	10765498	14906110.5	29538500.5	8659213.17	71549675	16949003.5	18426256	17127636	10684471	111295856	70654724	41448008	32436137	14535772	10582484.5	13512611	8313046.75	8156850.5	15976526.5	5727295	45789412	18048029.5	13182441	14067510.5	34057283
P02765	6351363.5	18858113	7143910.375	10922710.25	8370190.5	14387653	7634770.5	3315088	2064232.792	7886056.417	1334258.25	4091292.25	1728373.875	6307835.75	723258.0625	3483510.813	4438404.625	1373849.309	3366767.375	6709530.5	3575244	5659957	9292596	9464178.5	8628705.75	9760329.5	11549149	8494518.5	5778676.5	7587581.75	13438968.5
P02766	2621386.167	50322220	1374960.594	10917715	5293701	3270219.5	791672.0625	1498822.781	239575.0788	1620206.281	1171178.781	1418154.313	1310519.188	2508940.875	1446422.5	602493.625	1001250.125	4501397.875	11999653	1245941.313	304898.4375	170754.3516	1548048.125	1501855.063	783789.7266	878387.2266	5867122.5	854689.9219	1147646.227	1827869.438	2031323.438
P02768	1136043.25	20531503.5	1548640.219	8376554.575	133143.6172	519005.3828	7672.584717	145308.5459	26691.26204	317161.4419	148590.9609	228640.6484	186714.3516	320109.8281	236524.1953	21172.06886	92176.69141	2253531.708	1962211.063	102085.6445	12164.39844	33988.45703	126822.1172	120779.0352	112404.7549	81598.6084	434504.4922	161821.2754	77350.50732	263173.4844	318539.0156
P02774	14740331.83	86499116	5641095.5	44279804.63	20088408	14203766.75	2332867.125	7122441.125	2187645.505	9109980.833	9655596	16223411.5	12471398.5	22757984	9670417.375	3380779.375	11544451.88	20813042.75	29575951	10459999.5	2215684.688	1670441.5	14047479.5	8963979	8361487.938	6264778	17976043	9334577.75	9502499.313	14414214.5	34369027
P02775	24468.43555	 	10126.72254	383224.25	9455.883789	19381.23047	162.1597099	186068.0723	360228.2799	169709.6911	192103.3379	182067.7813	50140.36328	157582.1602	282513.6426	49677.02441	377662.2148	312833.625	3096421.75	174962.7227	249.7138224	1063.118118	20363.57324	9407.934082	13392.33228	29.67549515	64670.09375	 	6163.792203	17559.36426	3764.373535
P02787	235858.5537	536484.0313	132330.0664	1237616.5	134856.8809	67353.4613	9961.624023	31608.4248	14487.23218	398609.9102	37887.33984	55158.26758	18936.26758	81001.36816	66282.98438	55272.43066	19134.84155	468135.8519	386828.7031	19740.66681	33912.46387	42787.03711	35225.82031	34566.3457	53709.30566	29242.96777	100490.0391	56007.44141	31789.86133	74601.0625	139238.9336
P02788	1197071.678	14403170.5	123661.9082	6212789.918	455385.4219	901915.323	73102.24414	176538.4961	28498.59668	754225.3184	230854.6113	345415.2031	451112.875	1153805.906	606338.6953	71471.25781	290197.1094	9358469.875	9555824	211290.4717	49486.77539	55881.79785	345339	312254.9531	527594.2158	68092.9502	1133009.719	323889.8105	288930.043	438786.5625	712309.0313
P02790	4866134.688	61642682	1766265.184	46228823.88	13712157.5	8054289.766	544931.2656	7041632.438	816913.5013	4365175.729	8314296.563	6899929.75	8129391.75	10898507.25	9922730.656	1141925.219	7929366.5	14872301.86	40657445	6037593.375	603793.25	556056.2031	5581473.313	9970167	2799623.844	2195235.984	22759825	8489190.531	6784312.438	13205871	27748095.5
P02792	10810.47935	 	4442.879425	 	11274.50977	18901.95258	342.6868629	14769.04712	1290.899353	 	27478.22363	9514.061279	19733.95801	10655.48438	27404.09979	1558.330627	105793.9033	129720.4297	188046.1172	3280.32943	1113.640015	337.2431946	71555.16797	44827.75586	5759.978455	4885.564758	14693.68164	2110.264588	4006.065552	8597.609619	6222.893555
P02794	130700.1536	434775.0938	5010.70171	572202.3849	36670.36719	132999.3831	69.97126961	58546.63416	197.5946007	893.7297974	69760.05957	55833.98438	73134.81055	49170.17188	75598.33961	129.9535179	246812.9873	507993.3032	3399058.75	53.07559204	41.49999809	41.26420784	120114.8164	61212.64258	22.39381981	18950.80448	60653.37109	34.833004	74567.74496	31365.31445	19256.68262
P02795	 	 	 	 	 	 	 	41.57975388	 	 	 	28214.48926	 	 	 	 	 	 	 	5274.370117	 	 	 	 	 	 	 	 	 	 	 
P02810	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
P02812	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
P03951	183336.9054	606810	91178.88843	517571.179	302772.0313	177232.7686	9256.912598	16686.97595	6022.847819	97362.55975	13207.78284	114766.6992	51783.75977	143048.4531	89004.42029	1626.352051	21552.45959	99251.84082	213393.9297	28471.34412	13488.90234	5834.878906	156633.5664	111793.8945	121223.7895	139481.0027	122064.2773	140319.8442	101011.6119	197567.5078	351438.9531
P03952	810225.1979	2623781.375	233463.4492	1739766.352	1130464.313	772402.9473	84198.96875	130197.042	40897.28711	425997.832	102548.6323	338254.3125	226869.3438	640563.0625	243872.6992	23762.19727	156928.5898	410151.4355	555611.3125	167455.665	98732.62695	44612.36719	780083.4844	540713.3906	409919.8594	415863.7715	687126.6875	433015.0352	481226.9844	817738.375	1151778.938
P04003	 	 	 	135989.0625	 	6343.712891	67.76567078	20503.31836	 	630.3319702	 	 	13145.02148	 	476.6656494	133.9330606	4760.139473	 	 	 	42190.625	60214.70068	 	4152.717297	16730.5769	 	18923.03906	24700.67188	21.2014389	8213.224121	73075.29883
P04004	7020064.75	37238442	2434681.156	18394432.86	7370713.25	5936060.75	1134734.438	3244056.563	551313.2018	2013638.965	2516279.5	5964755.75	3298688.875	4250252.25	6063818.5	1205011.719	729625.5	2835850.977	4779305.75	4631062.188	522844.2344	639185.25	2126813.563	3763333	2498316.438	1809914.297	7973010.75	2803240.625	2505025.563	4198248.25	8880922.5
P04040	33060.55876	783842.5	3795.097626	1641365	10226.10498	47852.81641	309.6272888	11489.39311	606.2236023	69558.10034	34283.66522	68379.52734	15262.75635	81301.3125	35616.27206	1671.748657	102618.9594	282065.3965	584131.375	10171.59468	545.3730316	156.4275436	59102.74219	47571.32813	4852.166267	10901.37388	4074.267899	60272.45	12759.92918	13017.4707	62721.1875
P04054	46436.19141	 	5626.34082	 	6810.709473	 	14476.34204	8010.281494	11051.54602	 	18707.31445	3759.691925	 	22550.90625	51807.16016	5071.729004	7780.869598	 	 	 	12907.30176	11197.42725	6666.397461	2047.504639	7224.595215	 	11932.05127	4991.730957	5368.846924	6829.989746	10787.78223
P04066	4855.907135	 	2050.057369	 	1514.714111	1810.450928	15.03340197	4536.141688	6.659703493	106.4512405	2673.716309	2033.109253	5554.063477	2141.945801	5234.047173	19.74920416	4406.689722	 	8988.196289	 	15.29122543	8.330635548	2942.256348	522.2159424	992.9699824	1315.394094	6308.076416	2708.458881	596.3798661	3198.752441	804.4395142
P04070	141950.8559	1540095.125	44105.13249	 	130123.8672	78617.60022	1527.707214	37494.24817	224.1174345	787.0220337	31921.5047	88309.16211	38478.02539	51393.57227	32643.06848	393.672226	77038.42494	 	 	93856.9502	1389.897949	1011.173889	56796.16406	46091.71094	36075.41919	44130.3826	102404.3516	36132.0437	22246.90154	75254.125	126657.3594
P04075	159790.0057	2600048.5	30693.43052	1161134.588	77517.92188	174082.2441	369.34375	149549.1367	32726.85856	110995.8925	94055.88194	371336.3438	368713.3125	148683.3594	151155.2695	226012.6953	753688.375	564608.9773	1026186.938	66487.28491	873.6434631	44115.33334	116078.1172	125847.875	58864.70313	94631.13281	76414.12695	152759.3438	130203.6445	140147.2969	221153.5469
P04080	 	 	 	 	 	 	60.53205109	10278.65227	684.2302246	76370.125	33992.75293	49443.16797	18523.62939	52407.60352	86128.36707	3093.160034	92694.75977	511388.5938	1042077.656	20201.46265	 	26.82814026	 	17432.84082	347.1336365	6.032827377	26039.9541	 	8362.920803	 	 
P04083	163088.8542	9049966.125	7778.695145	2623607.212	50180.98047	171726.8484	1212.993134	107276.4297	70549.53906	89042.6167	142651.1445	200391.8516	62033.03906	151814.1875	86758.90625	83293.04492	166684.4766	601927.6719	964131.9063	52661.47656	11175.5083	32520.26855	237871.6094	86498.60547	46916.7207	59125.04688	49881.04883	58797.16406	133093.5889	77295.33984	89291.74219
P04114	869712.2383	2359178.438	802487.3594	1474883.688	2037912.188	853905.3086	170535.6797	159901.8076	27186.41178	851589.8477	102618.5332	201785.6875	250393.7188	939410.7188	652654.3789	15312.10571	69451.67139	2378273.795	618219.5	740689.7832	101277.8955	95680.36328	591641.3438	703261.5938	718812.0918	271795.1885	660693.6563	648306.9355	491881.8555	588697.2188	1988424.625
P04118	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
P04155	 	 	 	 	 	 	 	 	 	 	 	 	 	 	134935.1875	 	51760.27539	 	610783.2656	 	 	 	 	 	 	 	 	 	 	 	 
P04156	 	 	7164.181274	 	44976.4292	 	4219.148804	13437.40778	1553.532715	1319.081543	13004.95691	63799.375	37930.80469	90986.30859	29108.70679	4453.143311	83979.32959	 	192184.5391	11743.25903	 	2715.197216	11497.76758	69297.57617	46722.35547	5077.232178	54193.10352	11543.91452	12940.00977	30383.25977	80661.42188
