Proteinname	B_395	B_401	B_414	B_421	B_439	B_444	B_449	G_12	G_14	G_2	G_39	G_40	G_41	G_42	G_50	G_51	G_52	G_6	G_9	G_92	L_399	L_402	L_403	L_406	L_420	L_431	L_432	L_433	L_434	L_437	L_441
O15031	117777.4495	3087183.5	121485.0732	1213345.564	38859.98242	100797.0386	55485.23472	158917.2236	75059.99023	58495.29486	121220.6182	37857.89453	28130.8877	33203.68652	136791.5332	63410.12415	128162.6758	357764.6558	643877.9375	8889.029903	118693.9531	147180.4766	14920.66895	13995.61523	58817.29395	84910.76953	51862.37305	121980.5039	97460.2334	18815.0293	34685.39746
O15119	 	 	1191.419067	 	5866.143097	 	22669.67871	 	47377.24609	 	35362.51855	291.8166199	5270.150391	 	26588.30859	54544.23584	16503.40283	 	 	20991.63184	20638.12988	35015.34082	19960.73145	 	25382.97461	55937.60742	1248.893066	 	4586.160645	1027.892517	1023.237732
O15335	53452.22689	1318707.938	22406.41211	1425474	295256.8281	53426.95746	81248.1626	87836.34766	23516.0033	223457.4023	94906.05957	154148.4375	195885.8359	286449.2969	181704.6914	265858.1719	32810.99316	1633886.976	798973.7188	37393.15527	164567.2852	131048.2773	28309.90527	83821.08667	22695.86029	98611.875	107057.3281	35654.85254	88821.2168	288247.7109	443851.375
O43166	104131.12	 	59193.71826	 	3288.166626	542344.9994	186033.4375	395633.9765	186119.2188	 	451355.1172	34060.60352	22663.10449	1711.610687	645301.3584	1244414.344	248791.272	 	15511.90527	109032.3586	214192.8281	102429.1836	2022.349548	2165.81781	42395.0882	82125.72668	2002.492493	113324.2754	265830.9414	7744.530273	8903.067139
O43396	374612.0234	9436673.25	41299.61108	3059846.188	137467.2773	335792.8164	12449.98145	73306.42578	221905.5762	451095.6094	112781.4746	144957.0625	140286.5078	264046.8594	228419.0703	33333.69141	71569.11084	1746169.781	1704908.438	66266.57568	6129.287109	7763.653564	123520.0117	86129.60547	30995.4624	41356.8457	159873.1797	66441.4624	58549.72217	141841.2813	104583.1953
O43493	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
O43707	65.30937958	 	 	 	1120.408936	 	 	928.7880058	9.092705011	 	1166.803871	8211.164795	16890.03638	3173.465088	143432.8976	11.10958266	6484.033798	 	75776.39648	186711.6875	6.93999958	4.810248852	605.9570923	1628.016235	141.9271176	3366.507394	 	539.6736526	709.8466568	370.3509521	1265.311829
O43827	11261.35362	 	76.76367188	 	43574.08203	37025.69922	 	12565.62202	223.9164886	84467.18311	13316.40801	79399.375	60965.375	160651.1172	103011.047	104.6047459	23511.13239	430022.5938	415739.0156	50196.75629	56.21964836	15.44015217	2573.124756	 	91828.76952	70.07202148	 	13187.43262	5883.072113	12616.03223	425.4233093
O43866	29022.33127	 	271646.5957	 	107658.0234	39166.60156	60370.19922	93884.3125	570897.6797	748754.1797	385939.9844	203031.25	96227.01953	121877.75	14818.34839	332659.5703	1173485.875	2934.369873	152543.4453	105696.9668	189175.1406	232064.8516	71242.01172	127744.9844	131162.3203	175717.2617	118134.9531	125756.082	137425.0234	95619.15625	131800.6875
O60240	 	 	13065.99707	 	 	 	 	 	27553.84755	 	250457.1826	16718.86328	6457.564941	 	27716.46924	282.3598022	514522.0469	 	544756.8125	 	 	 	47.05107498	2359.655029	 	6.296511173	 	 	 	 	 
O60664	 	 	1134.412393	 	 	5963.476074	 	2158.064453	 	103.6086884	488.2055359	4914.952393	 	1346.734985	14.32392597	10.67969418	4572.801514	 	 	 	799.413383	2538.017334	2103.480713	1698.819519	3325.321045	4432.759644	3239.742401	2763.67572	1037.438843	4442.873535	2445.67627
O60911	179730.3516	2045266.875	19729.91431	1010512.495	28151.20605	140138.6426	5412.731445	48323.84668	256843.4958	122234.0313	32702.19434	68573.37109	51868.70508	100708.4766	95311.70508	8863.361496	24764.77344	312814.1053	647732.8438	29647.89111	9973.235107	11848.05518	42033.56641	28493.85742	18292.37988	32198.3042	45526.6582	32341.03809	24549.00684	51434.51953	58598.51953
O75019	 	 	5416.694332	 	23402.44727	13183.29297	29.9943676	6519.675077	26.46017742	6793.850647	3595.347168	11386.01367	10941.34814	6151.359863	19033.4591	154.6800251	6404.154751	 	21836.23438	4367.687399	28.77697945	27.00876999	23299.02148	16650.99023	8686.886108	6689.031726	31577.96289	5533.26779	9011.884049	34457.72266	60724.8125
O75112	 	 	 	530.4874268	 	 	 	 	8957.707031	171.7374268	1561.908569	283.7325745	 	 	56864.9375	13.39849854	 	 	397425.375	 	 	 	128.3233337	19098.60388	 	 	 	 	 	2335.902344	1661.49118
O75144	18774.79129	 	12214.51338	234.1182861	19092.9502	15124.45067	190.5598946	18845.71724	678.5220594	12322.36985	13439.82053	26997.90625	23834.65332	35445.16992	13374.93832	99.34455681	21920.78009	 	19396.31152	16251.2417	28.38738537	58.80120373	29005.65527	14489.7373	10252.70472	8187.554203	28369.95898	9051.020649	15778.27763	21950.26758	12242.78809
O75173	 	 	 	 	 	 	 	 	 	 	 	46002.65234	 	 	35905.07061	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
O75223	328592.9032	7754561.25	52445.51443	3564914.701	87154.08203	305907.0347	2709.171021	73952.52588	1664.236633	195810.9274	71820.51013	158771.543	127081.7578	207211.8438	174729.4009	3245.370476	64040.18958	960114.4951	1578511	51448.8335	1244.445496	1123.000122	90048.6875	68997.88281	25586.93803	42737.52228	158059.7813	55912.04797	55399.1109	131587.6133	93552.00781
O75339	103473.2288	1055954.063	31692.14746	381361.0191	40164.19531	62429.3147	6033.686035	90731.0459	51121.04102	275842.4479	135285.3652	215871.6875	227614.9297	556157.7188	284965.1953	21756.50781	76336.65381	917677.4512	2144061.625	83815.26074	14263.43604	5330.329346	55144.41602	37183.64063	18591.12671	25880.87695	47977.19141	31108.771	31534.95972	87511.99609	93508.47266
