,B1_99015,B2_99015,B3_99015,B1_99090,B2_99090,B3_99090,B1_99092,B2_99092,B3_99092,B1_999006,B2_999006,B3_999006,B1_999004,B2_999004,B3_999004,B1_999008,B2_999008,B3_999008,B1_999009,B2_999009,B3_999009,B1_999007,B2_999007,B3_999007,B1_999017,B2_999017,B3_999017,B1_999014,B2_999014,B3_999014
P62258,11298.0459,1450.593506,5192.501953,2461.467041,2258.477051,21359.53906,3020.523438,2308.129639,16412.65234,2338.001221,7843.375977,28694.42578,1244.522583,4775.024902,19815.54102,1101.995605,2380.106445,40967.08203,5285.308594,20914.55078,4686.399414,2137.77832,1164.828735,24816.66992,707.0249023,8760.302734,31837.21484,2905.331055,2196.761475,9922.640625
P62269,7469.373047,469.4592285,3899.727783,406.5995483,2092.281738,8370.693359,1590.508301,2419.051025,7096.635742,728.7661743,3908.651855,13333.86426,1510.9375,3393.730957,10582.64453,986.013916,2195.819092,15597.62402,2844.686523,7559.312988,2053.587891,1342.297485,721.8862305,7972.305664,1132.25415,6543.398926,8806.100586,3018.485596,771.6655884,9809.375977
P62318,2521.97998,725.5685425,2231.010254,NA,712.2312012,2767.354736,1420.714478,NA,4693.769043,1377.964844,458.7868347,785.166687,2176.208252,1340.422363,9208.041992,1036.563721,NA,14540.15723,2100.970459,4274.92334,2359.31958,1071.973389,615.3152466,8429.259766,656.5195923,3255.574219,4806.435059,1756.248657,1187.297729,6408.318848
P68032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P62750,2629.998047,455.6023865,1192.380371,647.5917969,2077.414063,2961.0354,1048.648804,NA,2943.090332,NA,989.4902954,2172.565674,911.0214844,782.0064697,3049.170654,586.2939453,NA,4779.035645,474.4820251,269.8471985,1005.827881,508.737854,NA,4718.827148,NA,610.7954102,1683.288086,963.3655396,NA,40143.50781
P62805,153727.1406,39122.88281,92283.28906,20424.70117,109032.9297,370046.25,62509.35156,45055.46875,272636.7813,52800.70313,156785.8438,371354.8125,26987.50781,120261.5547,412353.7188,37225.67188,48834.31641,386185.4063,37044.3125,157201.1406,61584.54688,30127.9707,38439.10156,267681.875,9901.282227,101985.6406,206521.4219,52318.30469,30583.81055,213361.4219
P62826,25839.83789,2533.41748,7599.862793,1413.890869,5874.838867,20059.09766,3018.45874,4306.317871,23028.24219,3930.128662,9087.586914,35163.79688,5952.556641,6910.047852,24992.4375,3343.469971,6191.94043,45894.04688,10171.71484,35725.91406,6367.521484,10365.22363,3175.854248,25148.10938,2999.068848,14381.16113,28033.19336,4684.449707,1972.741089,13630.28906
P62857,3679.493164,3137.910645,1975.777832,2517.928467,2187.536621,4016.923828,2143.237793,3622.374268,4396.750977,1878.940308,1641.829346,4092.043457,6488.475586,2299.436035,5806.388672,1899.981812,NA,6647.719727,4004.974121,2680.007813,2240.47998,4702.916016,1620.355591,8812.884766,2152.132324,3107.958496,3876.162109,1379.961914,NA,3471.752197
P62879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P62913,10442.50195,2039.338379,4682.350098,4802.427246,20264.31055,14336.62109,13968.61523,15053.56738,17459.3457,3660.822266,5619.4375,12664.98828,7614.934082,6585.384766,12213.62305,3964.837891,98618.36719,19730.6875,4511.20459,16084.25098,6212.910645,3569.631104,3982.131348,12280.96387,32884.80859,19063.13281,6250.217285,10369.86719,4134.833984,9733.573242
P62917,20470.05078,5378.811523,15645.66602,3500.533691,4023.649414,33213.25,7302.178711,3833.460938,28395.63867,5620.853516,7238.068359,43849.71484,4856.46582,7426.674316,33970.98438,7254.379883,9577.21875,35073.50781,7291.450684,15144.29883,11329.23145,4679.872559,2627.692139,36948.60547,2578.157715,11194.5498,19497.37695,7970.392578,3200.752197,30555.79688
