,B1_99015,B2_99015,B3_99015,B1_99090,B2_99090,B3_99090,B1_99092,B2_99092,B3_99092,B1_999006,B2_999006,B3_999006,B1_999004,B2_999004,B3_999004,B1_999008,B2_999008,B3_999008,B1_999009,B2_999009,B3_999009,B1_999007,B2_999007,B3_999007,B1_999017,B2_999017,B3_999017,B1_999014,B2_999014,B3_999014
A1L4H1,1429.003174,1735.964355,2459.449707,189.5375519,1326.983032,6881.783203,NA,1826.008423,7147.937988,626.3925171,2028.762939,12482.47949,826.6808472,912.2503052,4299.905273,1116.885498,1560.46814,13823.73633,1482.393677,11323.30371,3077.344727,209.9680939,1778.296509,14463.59863,1736.16748,2188.653809,5621.908203,1283.684082,14460.00391,12384.77246
A5A3E0,NA,4066.057373,1339.11084,NA,NA,2288.163574,NA,1413.548706,758.4865112,615.8883057,NA,259.7452087,580.8919678,NA,2425.179443,NA,NA,2711.702637,NA,NA,701.4118042,811.4876709,832.8411865,NA,NA,2036.206177,925.7732544,NA,4452.15625,1697.5896
A6NMZ7,NA,NA,1593.081299,5338.662598,11105.8418,3497.771973,NA,NA,3826.668945,3451.904297,279.9583435,19068.64453,NA,NA,3297.787842,NA,NA,4409.009766,9365.021484,43481.17578,784.4429932,14048.33008,8066.970215,7341.114258,359.7051697,22045.15039,4355.384766,7442.724609,202.9299774,24338.05469
A8TX70,10100.79004,287554,46009.85156,426415.3125,44606.28125,3323.002441,110780.9219,47412.57813,7550.681641,112336.75,65174.05859,50753.76563,373275.7188,34404.46094,3297.546631,225878.5,73907.26563,8720.682617,45578.11328,12418.98242,37525.24609,102893.9141,70407.74219,3742.551758,63974.59766,11961.61621,7544.39209,48807.95313,206145.0313,5170.957031
O00142,493828.1563,20093.45117,4421.137695,3349.324219,7648.42041,1025.695068,7614.480957,7164.499512,4242.293945,2521.79834,6696.369141,14403.91602,8990.624023,NA,2998.833252,NA,NA,6193.32666,3026.03125,NA,1818.18457,3823.009521,6859.018555,2879.625977,553058.875,193427.3125,50132.86719,6990.595703,NA,5084.119629
O00299,86476.8125,2543.719482,7259.019043,83810.51563,8857.959961,14734.25977,53411.61719,376063.2188,25902.92188,42281.95703,15556.03418,21241.25586,48128.24219,202371.4688,60932.15234,32880.49219,94820.57031,79034.70313,389402.4688,227425.4531,44820.98438,254302.6094,104940.7813,83853.64844,39407.86328,41630.05078,45174.08203,139616.4375,133395.625,44951.47266
O00300,28654.26563,2648.835449,259.2722168,129.0445404,5229.571289,5809.272461,974.4573975,3449.257813,7278.100586,114.6475754,2209.594727,NA,434.9953613,2814.959473,1637.060791,1036.975342,4816.091309,7785.618652,19691.77344,54444.09766,3993.049561,2415.059814,7280.293945,10461.44336,22488.95117,19277.63672,7972.625488,2920.134277,774.6715088,2156.516846
O00339,20028.88086,5367.936523,5559.71875,677.1542969,17154.56836,40867.72656,3880.536621,21106.18359,36681.73438,8608.865234,46165.54297,36611.23047,3152.215088,25989.65234,33163.60156,10646.84277,27967.88477,100817.9297,11220.37988,80750.34375,10319.81055,4403.717773,16753.37891,52929.73438,NA,8702.84082,10058.6748,6339.096191,12907.42578,28030.00781
O00391,7970.980469,2066.380859,570.4317017,5057.110352,10215.49707,4479.469238,2323.499023,7761.63623,3511.26416,1401.124023,3056.321289,2197.432617,944.7451172,2858.144043,6620.886719,1387.785034,2913.111816,6587.556641,3593.518799,7675.599609,1118.506592,2430.292236,5174.444336,2760.232422,8382.696289,14441.23535,9588.825195,2469.300781,843.4194336,2326.911133
O00622,2519.200439,187.7425079,NA,NA,NA,NA,8075.888184,8428.508789,7411.243164,NA,NA,89.62265015,1147.396973,1071.490234,1124.79126,NA,NA,157.0894623,67415.72656,115413.0234,8696.485352,NA,NA,NA,43821.33203,99880.04688,59122.97656,NA,NA,NA
O14791,3585.223633,NA,315.2242432,892.4590454,16307.7793,4833.196289,2562.438477,4742.69873,2520.060303,1008.249268,NA,1575.593872,NA,1521.47583,3589.79834,NA,NA,2345.880371,NA,NA,163.0072479,NA,3417.855469,NA,6880.145508,10994.31055,7964.823242,359.8733826,NA,NA
O14818,NA,NA,312.006897,NA,147.4950867,208.3504486,NA,NA,174.235321,NA,NA,169.4915009,NA,NA,297.648407,NA,NA,NA,NA,NA,182.1432648,NA,NA,NA,NA,474.3876038,148.5689697,NA,NA,NA
P19105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14960,22117.03906,10531.59375,2261.233398,642.4851685,6020.300781,12631.20508,2270.072754,9157.02832,23287.21875,3888.435059,12752.87695,1037.046021,2671.318848,24670.32031,21166.99023,4972.720215,NA,3926.3479,16138.36035,78473.84375,3933.041748,330.8612366,10190.98242,33037.30859,7250.224609,11632.2959,2023.326538,7193.603027,12620.36523,6520.19043
O14974,NA,1657.005127,2322.346924,NA,1657.256348,10275.35059,NA,NA,4709.911621,NA,4399.428711,5607.645508,1093.984009,2246.134277,1235.085571,1206.971069,5078.736816,27529.89258,1260.852905,10948.44043,1721.356689,1757.729248,1418.363525,11584.89746,848.7543945,1460.291138,4410.702637,1103.762329,825.1182251,6157.410645
O15144,2325.529297,1910.90918,867.4315186,NA,793.2989502,2803.832031,1045.871216,1339.387207,3525.933594,877.3476563,1256.308594,2106.437012,465.3205261,1271.256226,3740.312988,NA,NA,3820.158447,1349.478027,734543.375,596.1467285,NA,957.5670776,2892.091309,447.3118591,1347.187744,992.6865234,740.0432739,428.3274536,1167.55957
O15230,2020.605835,1580.51123,3714.587402,7365.007813,11358.82422,10218.31641,5087.029297,8695.480469,7253.109863,2414.253662,11648.59473,10318.01563,1558.139648,894.9723511,8892.4375,916.94104,2268.43457,6383.105957,3282.484375,36107.10938,3064.464355,9417.110352,646.9658203,11396.01563,2495.270508,8794.348633,33472.08594,1809.649536,2225.361084,6046.037598
O15240,99715.60156,47366.09766,15038.97949,12524.5752,136152.7031,40142.30859,57264.23047,170337.125,15027.5293,427509.25,200033.6875,55957.45703,58190.81641,141699.8438,18454.19922,279069.5938,NA,22587.18945,289015.9063,252307.7656,18996.58008,180699.4219,72235.80469,62006.90625,26164.72852,30316.94336,19099.52539,107513.2422,20316.11719,28329.66016
O15335,67715.22656,156176.1094,21681.59375,11108.59277,71782.96875,85115.54688,28118.23633,119640.8906,95842.53906,32349.24609,87927.25781,9868.74707,14332.19629,114961.8906,169593.0938,80619.52344,204540.9375,54382.91797,73817.77344,548618.6875,30795.99219,29069.19922,105977.6797,140425.5,20033.54688,43187.77734,11074.55762,59398.20313,211144.875,120309.6953
O15511,17912.09375,6037.649414,12242.89844,2586.437256,8566.138672,50846.91797,4038.088135,1531.330688,47261.21094,NA,12095.72852,43567.00781,8898.995117,8879.101563,114818.6719,1328.064575,8758.9375,73518.17188,8988.038086,21898.75781,8237.783203,4596.398438,3873.141113,38209.22656,NA,18924.48047,35616.01563,6664.32959,2765.910645,21074.75
O43364,72404,468139.1875,46443.72266,262595.5,18958.83984,7067.923828,133210.0313,31033.92188,3927.313965,215023.25,52346,19448.94922,65948.875,62592.48828,20337.81055,167269.5625,48966.62891,17090.51953,47556.67578,4627.260742,39076.26563,53223.96484,122860.8438,NA,40038.83594,30406.65234,12440.92969,19328.79688,149753.9375,7934.127441
O43488,3747.4375,NA,1936.135864,1609.534424,1412.762817,4262.30957,1039.866699,556.31427,2119.918457,688.4174805,2177.860107,5141.290527,722.6716919,2048.983643,3798.814453,916.4047241,NA,2453.73999,998.1473389,3373.689209,1828.674927,2104.115234,489.8727417,3051.868164,306.587738,280.0298157,2581.666504,1731.05835,1146.444458,3536.149414
O43491,1627.439697,NA,3599.202637,NA,NA,4931.371094,NA,NA,5480.78418,154.2038879,229.5800171,11306.9707,NA,NA,7692.822266,202.9890594,NA,9295.303711,NA,NA,1562.977417,NA,NA,14576.14453,NA,1575.536621,4019.606934,NA,24.52596092,8388.741211
O43586,324595.3438,NA,76217.52344,33535.69531,73139.17969,73716.6875,93542.57031,23483.26758,146010.6094,NA,32987.28125,295639.5938,14021.21484,NA,141784.875,36249.95313,30216.01953,255946.625,13974.32422,39767.70703,36551.62109,23226.51758,24002.75,166510.7969,879020,255272.2656,470977.4375,37847.85156,NA,193408.4844
O43707,2149.100098,1418.837891,7439.116699,NA,502.1673584,12911.87402,NA,NA,9149.521484,228.3013153,755.7496948,28753.375,105.2253418,349.938446,21344.24023,NA,NA,16846.81055,341.5662231,11603.80176,2698.036133,10490.25684,1301.306396,12561.03027,1703.99585,2654.24292,6487.030762,1215.086426,227.9873962,8224.972656
O43827,9929.929688,4091.28418,8421.670898,4755.713867,107300.0469,46533.69141,5390.114258,29554.32617,26612.98047,4655.105469,30470.51172,60476.13281,NA,21327.60938,23939.43945,9138.007813,14065.59375,49192.6875,12986.40332,112618.2813,8594.451172,7595.600098,25633.13086,53901.61719,25657.91016,71016.78906,57883.03516,3478.163086,5687.944336,31671.95313
O43852,5564.87207,930.1332397,5879.5625,NA,676.2304077,9634.693359,708.4105835,647.5512695,9879.494141,597.9384766,1591.414795,13499.07129,1369.117432,2062.276123,8573.957031,1728.195679,NA,11216.93848,NA,2677.553223,2499.896729,NA,364.2170105,7235.713867,2130.66333,3367.6875,13567.36914,2634.91748,1527.304565,7611.325684
O43854,57208.58203,2668.862793,1259.580078,2773.065674,15432.20703,17524.20508,17180.54883,13644.96777,17665.97266,4577.851563,7096.157715,1061.522705,11411.75098,20683.41016,6746.270508,3500.973145,6287.35791,15808.83008,36541.65625,52913.83594,4470.54248,7307.766113,8484.899414,23669.29492,9237.807617,34492.86719,9458.555664,24308.44922,9323.901367,13670.91406
O60565,NA,NA,NA,NA,570.6339111,NA,NA,110.84021,NA,NA,NA,NA,NA,1310.83252,3070.014404,NA,NA,NA,8643.717773,7098.164063,1,NA,NA,NA,NA,NA,NA,1471.064209,1050.758057,2733.478516
O60664,677.2203979,NA,978.8470459,NA,330.1971741,2169.988525,NA,NA,1968.828125,NA,134.7971497,1974.588501,NA,454.1965332,1865.133301,NA,217.2073822,1204.678711,346.5724792,1158.177002,490.2363281,NA,NA,1716.291504,NA,998.5234375,3356.382568,313.8613586,NA,1822.744629
O60687,97574.46875,40041.75391,25231.34766,29242.8418,38747.65234,14072.01953,53194.39063,48663.10156,25084.0625,30545.41211,33464.89844,24786.50781,16145.5127,25921.07813,12209.73828,40276.75391,15569.75391,23275.96875,29240.92578,42135.78906,7803.609863,19856.38672,16659.27734,15022.10059,96246.88281,42707.31641,42072.625,27404.38086,24604.93945,43119.14453
O60701,20070.55859,2026.622925,6735.25293,1647.051392,3196.50293,26449.79102,3427.411621,2998.092773,22701.19922,2384.8479,7061.666016,28793.15625,4963.603027,6895.210449,24606.88281,3322.368896,27511.49414,51317.72266,6045.480957,19520.47461,5948.08252,3631.746826,2369.497803,24944.56445,3003.518066,16226.92773,20995.23828,5930.990234,1529.646118,17448.42578
Q99880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75339,8246818.5,2570738.75,1189279.625,1534303.5,5137368.5,4716846.5,2443184.25,5633305.5,4211993.5,1287179.875,3784322.75,1725287.125,1750850.625,7257681,5312222.5,2608732,5657577.5,4637047.5,4778054,16693237,1142873.875,2824393.25,4087368.5,4652047,982128.75,4299343.5,3351872,3248684.25,3724564.75,2795660.25
O75365,5854.334473,2115.095947,4846.777832,9366.629883,11623.35156,1755.402222,10432.15625,13861.98242,4039.190186,4580.84082,934.1769409,1738.966797,24438.48047,9530.485352,3938.639648,8394.835938,60677.92188,5086.711426,6874.114746,2903.750244,1981.433594,21656.02344,8485.439453,20761.81055,3854.922852,1054.33667,3276.916748,7094.22998,NA,10859.73926
O75368,4671.162109,1045.654419,6186.4375,806.4886475,2228.190918,7281.59668,2256.837158,2116.539307,8110.225098,1559.222656,2960.786621,11962.19727,2979.986084,5351.791016,11243.0332,421.2805176,7128.880859,10232.80664,1080.92041,10213.89453,3786.04834,2382.690186,2012.060303,27404.38281,173.5743256,5217.101074,4848.80957,598.2779541,NA,10739.2627
O75369,556.7388916,NA,6450.821777,NA,NA,5718.161621,NA,NA,6076.689941,NA,307.9532166,8046.849609,NA,NA,11080.62598,NA,NA,8865.342773,NA,480.9241333,3098.088867,NA,NA,10232.9541,NA,1298.302124,4622.456543,NA,738.3305664,6859.463867
O75462,12974.44727,2609.733643,1067.161377,1260.369995,5083.864746,3916.666016,1351.215942,2746.780273,3585.208008,114.6894455,4733.856934,7008.250977,399.526123,874.8128662,579.3532715,137.2155762,NA,143.1521454,2613.714355,4427.737793,1387.188721,1833.370117,2310.0979,2109.555176,10917.3457,19292.55469,19205.90234,2099.473389,915.7615356,932.0968018
O75593,NA,7276.478027,2054.382324,12786.25977,2177.458496,NA,1244.498657,671.2997437,NA,760.0990601,561.8845825,NA,18796.28711,3123.350098,1641.083984,9754.421875,NA,4325.178711,5583.403809,NA,1032.280762,3102.56958,2110.925049,NA,NA,NA,1896.980469,721.0856323,10375.04004,2211.182617
O75874,11837.45996,4169.883301,11387.05664,1553.441772,4597.331055,12672.26172,5206.707031,3264.53418,15365.78906,3126.621094,5951.749023,20970.43359,3342.087891,4975.439453,20834.38086,2322.636719,6731.614258,17957.59961,2816.766113,12618.46582,5009.775879,2812.292236,3365.875488,23913.375,861.362854,10806.13379,20495.17773,4144.600586,4854.776367,27452.25586
O76076,43855.73047,2538.925049,7122.330566,1870.964233,3864.804199,3927.624023,2971.743652,4422.912598,5138.838379,2732.651855,2254.717285,5053.027832,4543.229492,4508.268066,9462.485352,3932.248535,1542.548096,9397.525391,7673.329102,12098.37012,1244.221436,5951.661621,3069.714844,19925.42578,24233.58398,23986.35938,16185.49219,2866.322266,454.2267456,5485.39209
O95631,7721.214844,1015.788879,128.9489288,NA,NA,NA,5702.03125,3622.77832,7174.609863,NA,NA,675.99823,1014.010376,404.8210754,238.787262,NA,NA,1753.970459,15996.20117,13119.15137,5469.741211,NA,NA,689.3397827,13371.88477,20683.87891,16784.04102,1190.983521,NA,2453.421387
O95810,NA,NA,5094.088867,NA,NA,4602.23291,109.5815201,NA,4515.907227,NA,NA,10237.21387,NA,NA,6879.598633,514.7596436,NA,7034.477539,95068.82813,NA,1021.802002,NA,NA,8575.200195,NA,279.2222595,5697.503418,NA,2461.07666,5771.572266
O95843,129080.2969,6721.205078,6803.200195,4075.006104,37935.55078,51979.32813,25807.92773,27729.28125,30466.02148,5920.510742,14855.5918,10997.38086,7929.162109,20767.33789,26183.00781,3615.089844,38247.16016,38475.66406,227532.2188,335249.0625,29894.40234,20852.67773,19728.71289,53276.67188,55398.85156,411639.7188,142718.4219,110135.0313,11232.57715,17910.78125
O95865,1667.203369,708.3047485,4273.408203,231.6465759,1153.724365,8120.859375,220.8963165,146.5779724,5095.302734,281.9175415,1727.194458,14999.68457,439.1095886,NA,9710.270508,153.181366,NA,8862.939453,NA,NA,1464.989502,NA,469.3165283,11701.875,NA,4259.790039,5530.731934,440.2581787,677.223999,6758.704102
P00325,716.5201416,NA,2782.992188,6024.985352,NA,387.1982117,1,NA,518.5353394,NA,NA,3248.512695,NA,NA,2663.294922,NA,NA,133.8699341,666.2598267,NA,4304.14209,NA,NA,3344.256348,299.0848389,2010.44873,4955.970703,NA,295.9855957,978.0979614
P00338,345716.6563,79275.02344,56433.92969,61880.07813,107177.2188,270833.4375,109165,99659.85938,142618.4063,81532.60938,153125.9844,211432.8125,79205.96875,190518.7031,218608.3906,68373.83594,67226.11719,200361.4219,129255.25,335188.7813,77452.01563,99286.46094,93414.40625,230495.125,50375.03125,197180.9219,230124.2188,138422.1719,83122.125,118393.3281
P00352,NA,NA,2426.887939,NA,NA,2238.58667,NA,NA,2765.288818,NA,NA,5300.264648,NA,NA,4207.583984,NA,NA,226.0531158,NA,NA,882.416748,NA,NA,4255.947754,NA,1866.784912,2569.133789,NA,NA,2060.096924
P00367,624.3634033,NA,5147.174316,NA,NA,5555.498047,NA,NA,7710.529785,NA,1030.872559,10947.87891,643.1480103,NA,7783.732422,NA,NA,10734.32422,NA,1508.272583,6995.439941,6408.953613,NA,11725.40527,NA,3144.203125,4697.901367,NA,15167.86523,3573.754639
P00387,971383.5,60177.74609,117044.6406,84590.89063,362948.9375,183459.2656,325845,509460.3438,134659.5469,419070.375,230340.0156,153288.6875,426537.25,752808.5625,138447.0938,578583.875,156388.5625,130695.5156,1445036.5,551364.9375,77596.69531,867743.8125,107926.7266,225475.5156,NA,301024.1875,174345.3906,818986.75,104532.7109,254589.8438
P00441,13712.51172,6871.933105,5110.691895,5095.230469,6702.058594,7197.791504,9678.529297,12905.23242,5680.624512,7866.927246,7300.73877,5583.924316,9848.745117,12594.26074,6800.239746,8003.564453,21905.88281,6029.090332,4141.483398,7573.263184,6431.51709,3548.359131,7103.286621,11844.96484,3252.522461,6826.039063,6062.836914,7821.070313,10742.10156,8704.144531
P00450,32327.21484,5807.658691,13568.59766,19071.61328,35952.61719,12155.60449,39596.45703,42709.92969,20684.14258,20037.24609,11233.07324,26738.68945,37492.15234,33793.24219,35386.24219,24112.86328,12420.85254,16674.69922,27334.26367,8695.129883,5805.989258,29012.96094,17879.73047,23188.84961,70843.75781,60278.66797,60786.51563,24644.98242,6895.321777,24273.43359
P00488,15022.58691,8985.604492,19519.17188,1360.250977,4967.106445,57160.42969,653.4243164,4005.561279,17425.07422,1091.075684,1884.801514,43111.82422,4048.262695,4685.405273,64214.21094,3014.696289,4451.183594,42099.82031,4840.170898,24493.45313,11845.11816,2524.061768,5263.119629,45980.64844,14174.81055,23548.8125,31540.06445,2946.804443,7864.824219,26210.43359
P00505,2851.439453,1350.58606,4756.683594,544.1923218,788.7139893,8571.685547,1134.701416,NA,12292.36523,1202.2146,2355.369141,10410.70313,851.5436401,1461.470825,16409.62305,639.3147583,NA,14459.32422,NA,NA,3372.309814,NA,471.6693115,9730.452148,343.706665,18114.54883,6371.808105,1055.468994,882.2671509,4215.726074
P00558,30304.77148,13233.64941,8721.473633,15121.94238,23756.72656,20358.51563,25581.71094,24241.44141,15597.03711,14939.70898,15972.24805,16493.18359,16596.33594,28985.83398,21946.10156,10219.13281,17593.50586,15776.43652,52254.08203,92346.82031,11282.875,32126.08008,18391.10547,19978.92578,10856.99414,32171.57422,25530.66016,32348.06641,15759.35449,16289.66016
P00568,18796.28711,4341.777832,5097.464355,2659.208984,3652.802734,9692.773438,2556.201416,3245.904541,8845.265625,2989.579346,4949.788086,10049.49512,3113.23291,7157.618164,11568.09668,2700.780029,1116.373047,12192.57227,5528.663086,11638.45313,3577.8125,2949.373047,3191.000244,15790.6709,3366.791016,8905.522461,10263.44727,4435.256348,3799.67334,11403.19043
P00734,11416.60938,2355.256836,3268.959961,15176.43848,24061.83594,7154.516602,24282.33008,19190.68945,10703.87695,5069.541504,5167.395508,3483.210693,13565.48828,13598.47949,6716.474121,9498.869141,5932.541992,6163.680176,14610.91992,10122.42578,2139.131104,22548.30273,13945.5293,10773.94629,14617.47949,11842.26563,7367.950195,10654.4043,3285.731934,13566.27734
P00736,13102.24414,339.739502,2379.529297,20974.5,40047.87109,4969.98291,2917.605225,1759.557861,3679.064453,1845.754028,4517.495605,12090.48145,1777.001221,3645.740967,5925.344727,1184.952148,1050.895142,4247.347656,6309.996094,9630.418945,2787.38916,672.5047607,1286.758301,2824.117432,19940.66797,9867.130859,8105.19043,5641.380859,517.713562,8320.123047
P00738,80670.79688,598565.9375,35609.49219,35113.36719,54700.03906,42408.92188,134272.4375,124783.9844,144713.7344,49468.40625,12691.20508,43176.32813,20845.46289,21388.08789,30250.45117,165408.7656,1296477,5653.550293,69603.88281,5268.020508,2767.962891,74965.74219,95592.11719,11017.72949,202585.9531,248402.9375,481988.5938,36465.51953,26092.19922,33064.23828
P00746,16119.30469,13868.44727,3294.746582,15190.3584,23780.9668,10452.87109,13733.17871,22687.38867,5997.388672,13673.33594,12021.57324,1942.087402,17524.97852,29314.125,6535.892578,25932.34766,11419.52441,7529.060547,19543.70898,25376.77344,7441.223145,10441.63379,14052.66504,9835.797852,18336.49609,9903.591797,6221.493164,18558.5957,25561.81836,9825.123047
P00747,58063.67578,12452.39551,10252.7334,15155.78027,119614.8438,38266.23047,45119.12109,154157.1719,38599.98438,9043.506836,17922.82617,9283.527344,23964.86133,39799.03516,28332.75391,19907.94531,38603.11719,21056.57422,63431.63672,101298.5625,8063.83252,37706.17969,67814.53906,35766.99609,60163.44531,51773.10547,30189.54297,25446.19727,24634.61523,30130.5625
P00751,83233.02344,4343.933105,17126.01563,17980.78516,88213.5,99049.75781,66223.9375,69636.42969,108242.3281,13724.3916,29473.51758,35506.15625,23515.67383,68091.23438,60288.65234,16243.37402,16361.17188,54405.10938,47916.69141,61009.35938,9793.099609,26282.27734,25679.24219,70330.24219,31256.4707,65059.22266,173272.1875,68708.23438,10548.03613,159108.5
P00915,100218.625,8336.078125,17262.49805,463.8911743,1090.425293,10216.0498,1411.486084,NA,4805.388672,20136.81055,19636.03711,53342.13281,4062.04248,3133.246094,17512.96094,1136.25293,NA,7710.053711,NA,NA,9708.356445,NA,90.70375824,40355.63281,9931.128906,48321.35938,134846.4063,5766.702148,1586.129517,11325.12891
P00918,20913.33984,2362.328613,7611.236328,NA,NA,12048.27734,1015.442261,NA,3974.708252,4533.42041,24890.8457,25006.69531,6983.947266,NA,1457.51416,5974.422363,NA,2232.91748,9918.576172,NA,2291.383057,NA,NA,7477.672852,1954.340576,10674.97266,28092.7832,1163.513062,5057.290039,3867.256348
P00966,51295.44922,6762.474121,6702.799316,2291.099609,10992.32813,50360.64063,9137.373047,9112.460938,38302.66406,6597.018555,25333.27734,15418.32715,5842.833008,24963.67578,31344.45117,5838.069336,6555.722656,35264.89063,22109.97266,82996.96094,9540.208008,10113.37891,9883.572266,47514.84375,5341.900391,35215,90583.28906,15954.85938,11761.5957,25767.89844
P01008,53823.5,4209.472656,14978.49023,16952.35156,55174.875,36047.04297,31831.26367,37971.64063,47917.25,11164.18945,30921.3457,30029.18945,14977.04395,40711.92578,37468.54688,23013.88477,28565.5,51229.73828,40808.11328,63181.38281,9788.847656,37697.13672,31368.79688,44494.90234,22360.75977,29320.94141,29684.39453,21317.80859,7655.15332,38253.04297
P01009,207589.2344,13214.4248,89220.25,41988.32031,141386.1094,141008.1875,118438.7656,90228.95313,234928.5781,73956.07031,84172.96875,377878.2813,76535.03125,145166.625,305092.2188,58704.84375,178814.5156,185207.9219,200150.2813,135164.4063,28957.48828,279083.0625,61428.26563,421202.0313,159042.3438,390837.6563,812514.5,80278.57031,12193.35352,424688.2813
P01011,75975.25,7709.688477,19766.98438,32947.34375,72382.38281,30450.08789,41193.98438,37350.875,36738.76563,36146.29688,30824.58203,91121.36719,39194.68359,46985.42969,32100.99609,30575.72266,27187.88281,35093.41406,36607.00781,23783.83594,8717.777344,41839.84375,25311.75977,26532.5625,124525.3906,173788.7031,187578.3594,38038.26953,6749.388672,41580.19531
P01019,6033.956055,1708.657593,2913.402832,4472.951172,4326.966309,2314.809326,8837.878906,6559.63623,5811.893066,5886.904297,4216.548828,14898.71387,5128.416504,3764.359863,3254.957764,4048.019287,86724.70313,5184.829102,4825.77002,2641.762939,1980.398315,6416.147461,3100.159668,4729.844727,13844.38672,10943.99414,14187.02734,3441.781006,1286.275635,3523.581299
P01023,41670.64453,7331.705566,15563.70703,5858.592285,11149.5,9273.910156,5352.185547,4618.592773,20543.75,7821.836914,3041.667236,61623.76563,7646.498047,12023.88672,38270.22656,6484.632324,8020.470703,39364.49219,7908.337402,19075.92773,6448.991211,4283.300781,3891.380859,16512.37305,35545.46094,55690.48438,213988.2344,10433.49609,3982.732178,24561.25391
P01024,100596.7031,13652.40332,40172.74219,122118.5781,169117.5469,68275.34375,143904.1875,176963.3281,131246.5,44356.66406,41147.77344,66303.8125,105216.7188,116133.8203,120550.1328,44954.60547,46962.86719,130771.7031,118505.0156,92056.875,20200.21484,109502.3125,58821.59766,133346.9219,178966.6406,119616.7109,221807.0625,102321.9922,31602.17578,135422.8438
P01033,7589.965332,2012.60376,1372.20105,1412.120361,7840.053711,6604.279297,2982.105713,5194.935547,6895.802246,3666.827637,3817.009766,2787.350098,3213.245117,12645.64648,7270.072266,2910.996094,NA,5711.194336,17337.10547,18232.48047,4777.475586,9365.683594,5382.305664,7779.453125,15314.1543,17418.79297,8188.544434,4545.106445,3645.745605,6832.873535
P01034,13463.80859,3186.186523,2472.308594,3156.811035,4545.195801,5452.008789,3119.473877,6321.229492,6398.675781,1588.650757,4403.234375,8783.366211,3506.19873,12831.50586,13274.25195,2910.804199,1659.637451,6030.151367,11836.97266,17976.07031,2452.992432,2987.35498,3032.505615,5054.404785,10053.13086,16889.02344,29932.43555,4969.066895,3707.894287,10968.72852
P01042,70138.375,7097.361328,41932.75,44585.80469,91650.59375,46215.39844,66335.76563,58212.25,72226.0625,17209.91016,34745,52053.94922,40191.19141,59296.18359,55778.63672,38609.41016,42192.91406,45048.11328,69464.47656,30893.63867,10103.87695,65725.46094,52094.11719,84654.76563,43477.87891,51623.40625,44478.78516,40263.83203,4718.759766,110324.4609
P01591,13169.45898,NA,3880.626465,2897.724121,5756.472656,1990.476196,290.0430908,452.2463379,NA,NA,NA,10205.27148,1040.948975,908.9862671,2479.771729,3781.527588,2542.468994,15620.55469,NA,4650.796875,1814.97998,NA,NA,2198.405518,36965.84375,40199.60156,36856.54688,2517.498291,NA,4136.171875
P01594,NA,NA,NA,NA,1210.814697,43.47052002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P01598,134351.9375,11590.6875,23897.86328,58364.14063,188541.1719,129549.7031,29222.23438,31244.07617,33289.69531,16316.99805,38020.78906,39981.43359,20644.29688,57901.07813,52839.76563,45489.34766,40584.17578,64625.69141,71506.39844,82512.55469,14210.98438,41433.39063,59752.92188,91285.125,389378.6875,539313.375,255804.4688,50963.76172,9482.069336,67817.375
P01605,5973.769043,NA,950.2040405,765.8626099,9646.664063,3969.155029,901.5198364,2003.82019,NA,NA,NA,1544.224121,1154.267944,1871.203003,1809.619995,NA,NA,NA,NA,NA,NA,NA,NA,1344.036621,860.3808594,1202.028076,1357.163574,NA,NA,1092.107666
P01611,24675.44727,1479.84082,4218.402344,2916.675049,17177.7832,21597.85352,9789.733398,13766.10449,13147.75293,1393.963623,4616.820313,18960.03125,4942.686523,12758.93945,16192.57324,2702.975098,16647.25781,7801.078125,19225.71289,22324.02344,1574.947021,5474.237793,5952.476563,4829.704102,5466.845215,17780.70898,10501.81348,6402.259766,1421.244141,10392.19727
P01613,3908.59668,2307.931152,793.3168335,20923.54297,16133.75977,4483.161133,2226.987305,1835.611572,1504.133179,3602.346191,2148.708008,915.4123535,2226.849365,3722.571289,2830.512207,NA,48551.07813,NA,8391.077148,47811.29688,229.0478058,NA,951.7503662,38607.22656,4394.356934,3862.002441,2060.219238,3246.44165,NA,1598.358154
P01617,13398.94629,8236.820313,3645.358154,9096.103516,39759.93359,4424.836426,15214.90137,105884.5156,4847.543457,14437.1748,5542.997559,1274.05896,45054.65234,29420.00195,6171.330078,55466.65234,38157.42969,8821.683594,18202.35156,23304.40039,5684.579102,47833.78516,18129.60156,39958.32813,28260.8418,17379.88086,6551.758789,28905.01953,15359.47266,5084.735352
