proteins;G_12;G_14;G_2;G_39;G_40;G_41;G_42;G_50;G_51;G_52;G_6;G_9;G_92;B_395;B_401;B_414;B_421;B_439;B_444;B_449;L_399;L_402;L_403;L_406;L_420;L_431;L_432;L_433;L_434;L_437;L_441
P05154;52177.4375;31125.98633;118264.6406;12050.55078;25327.74023;16147.41406;103734.6563;31508.83789;29693.77344;22357.04492;120902.7891;116776.0703;61034.11328;81064.74219;319681.3125;68735.07813;96955.32813;69298.70313;101877.4766;77823.29688;65849.60938;34541.80859;52828.26953;60888.79297;36594.9375;38125.76953;59853.90234;72349.39063;55842.12891;66350.41406;80263.10156
P05155;1198076.375;1205312;633625.5;1050704.5;849232.4375;1284208.125;1412436.875;1033933.188;895881.375;1254045.375;1111299.625;968414.125;913805.875;1116273;1420981.625;761196.0625;640882.1875;1021074.625;1018860.438;1162346.25;811287.5625;878124.3125;497481.9375;623940.5625;901319.9375;617519.1875;1950176.25;843188.1875;865361.9375;1044682.688;1819837.875
P05156;459768.625;578348.5625;571641.5;530532.125;472446.4063;481620.8125;526558.25;560443.4375;882901.125;393911.4375;311511.625;275848.2188;620921.8125;626215.125;1313642.5;670748.0625;905427.9375;451980.25;583944.0625;625011.8125;606567.0625;547320.5625;534681.625;506884.0625;570701.75;709785;632965.9375;571331.3125;631844.625;512746.6563;784748.4375
P05160;49269.73438;59194.24219;96665.75;31130.97461;33053.21484;32590.30273;52965.72656;43580.48047;46849.34766;80498.97656;10501.39063;17799.74609;54250.41016;83558.39844;94612.78125;49475.54688;90501.875;51883.37891;72898.26563;50189.28906;58690.35938;47590.87891;44073.53125;46287.20313;44806.34375;54181.78906;64132.80469;58813.89453;33454.80469;59729.88281;47919.58594
P05164;;;;;45614.07813;;;;;;;;;;;;;;;;;;8774.875;2702.297363;;1072.061401;;;4298.041992;;
P05362;15393.25586;13754.69824;18068.49805;14166.72656;31960.75391;21518.58594;12205.36914;10624.6084;16369.29883;25290.92188;47007.19531;20090.47852;12575.11035;14333.44531;33090.13281;29261.43359;6399.479492;20085.20703;21001.82422;16604.96484;15454.18066;17590.75781;20802.32813;23643.05273;16564.73242;25213.00977;19712.60547;10883.98633;12792.33105;21079.17188;11574.05273
P05413;84975.72656;47937.97656;176498.375;142218.4844;120008.9297;116598.5547;94581.70313;994602.75;105609.7266;124399.9922;158322.5;295696.0625;52569.58594;133668.8281;1041700.813;36738.19531;507357.375;34405.98047;143063.2813;45922.96875;45114.62109;31774.63867;52464.98438;44234.29297;34138.01953;53674.27344;51080.94141;44789.01563;40165.87891;65422.79297;50442.81641
P05451;;;;;30348.13867;;;75008.05469;78291.50781;9563.46582;;917162.0625;;;;;;;;37000.11719;;26250.79102;;;;;33085.64063;39009.01563;;44875.16016;
P05452;642771.4375;409649;1610680.875;281826.625;328414.7188;430028.4375;496127.4063;346833.5938;331779.2813;589537.0625;1347858.125;1317618.625;359453.4375;680416.875;3319518.5;361542.5938;2768372.5;286685.25;530322.9375;462067.0313;273056.25;269526.7813;274245.9375;180785.1719;249387.7969;281781.25;313323.8125;363855.25;217163.3594;438009.6563;475422.9688
P05543;158019.0313;203750.0938;94580.0625;97890.15625;90918.8125;111564.8984;210684.6875;98133.57813;163955.2656;225061.4375;320306.4688;214675.2813;100875.3984;148501.4375;397684.5313;77766.29688;202944.3438;71669.55469;145843.7969;58552.82031;40759.14453;50344.60938;72089.54688;79946.21875;50677.73438;103412.125;123507.8906;121729.0469;90895.73438;145349.2656;196285.125
P05546;105331.4844;72130.28906;174965.2031;62661.83594;53675;49152.89844;109062.3906;45142.95313;72098.78125;90063;32177.08008;58854.625;117563.4375;217096.8438;478453.375;112050.2188;141391.9531;190029.4219;212577;167654.6719;120346.2422;129990.0859;110690.1719;135441;127580.0078;113061.5391;246951.8594;258520.7969;156819.375;175631.5625;385184.5313
P05556;11897.85352;5585.285156;22612.98828;6707.082031;6562.63916;8897.09668;9068.242188;10111.98535;7299.575195;7481.601563;35980;36232.83594;4435.594727;18694.41211;139167.9375;15376.15332;78615.71875;7415.121094;27745.58984;8586.99707;10206.79297;6036.166016;10982.69727;7733.237793;6065.894043;8573.322266;12359.73242;5215.60498;5998.399902;7565.252441;4582.724609
P05976;;;;;;;;6042.475586;;;;9771.723633;;;;;;;;;;;;;;;;;;;
P05997;;12291.92383;;;936.8087158;;;1167.838501;2286.275391;;;;5008.105469;;;10150.51563;;7202.77002;;10591.83594;14957.79785;8608.898438;8917.575195;12069.27637;14241.2793;12882.71777;;436.1965332;16485.125;9783.341797;6251.006836
P06276;31719.67188;28258.34375;45069.33984;20923.35156;24312.56836;24299.99609;33334.33203;29458.73047;28420.62305;30071.3125;62375.19922;24413.69531;22200.5957;41228.69141;166885.7656;46743.57422;54386.25391;55405.09766;58462.89063;62987.07031;24745.43164;29389.9043;26967.00977;56207.16797;30824.73438;30079.45703;54635.91797;37005.46484;54370.40234;28963.51563;28307.55469
P06396;2402740.75;1886996.25;2788769.5;1690703.5;2075923.375;1955603.75;2179105.5;1354602.625;1836841;1864777.875;1276319.75;1328379.5;1665800.75;1635118;3081096.25;1481392;1572264.25;842845.625;1580406;1207639.125;1334875.375;1181082.25;1555035.375;927296.875;1184061.875;1495692.125;1049546.375;1595628.25;966120.125;1819355.125;1347727
P06454;2561.274658;946.5250244;;1064.28833;2262.270752;;1833.148071;2038.434082;3579.261719;7552.891602;;9693.624023;455.1229858;;;;;;;;;;815.5862427;467.2771606;;1364.29126;;;;464.6653442;
P06681;123872.0156;116882.9922;236229.75;80196.39063;85323.27344;131820.6406;136550.9531;160089.8281;169692.5938;144790.0938;234398.1563;153364.0781;118126.8203;213861.2031;792899.0625;119462.6328;492484.5313;117975.1953;180384.6094;143588.4531;122852.9063;138506.4375;160915.9375;125600.0234;155062.4063;137279.125;168872.9063;164052.7031;180951.4063;144484.7031;190800.6875
P06702;9405.742188;2354.576172;12305.00586;43805.23438;29492.91016;6644.913086;6098.349121;23438.07813;15726.65918;22663.87305;59592.25;128586.1797;4069.736816;18965.50391;190501.7969;4187.448242;79050.95313;8719.089844;32385.21094;5042.098145;5659.100586;4107.146484;10125.2832;3840.057373;7298.842773;7174.667969;8932.369141;4586.047852;;11092.0791;
P06703;102923.5938;37110.70703;23030.62891;103076.9141;52282.37109;33800.50781;68384.17969;47662.78906;116953.625;197943.8438;172685.7813;503308.4063;13794.97559;27556.42578;42177.35938;6540.22998;91258.875;5851.79248;34956.45313;3169.686279;2260.112549;6142.305176;11929.2168;8805.427734;6565.97168;26619.68555;10523.06738;7365.179199;5023.117676;16102.65527;10012.8418
P06727;7827222;5812198;4573448.5;3441879.75;1976156;2184818.5;4341447.5;4819652;3893674.5;8191631;1712049;3458975.5;7892199;5772079;5045411.5;8452115;2746348.75;6241982;6853528.5;5028563;11313428;7174257;9467410;6806801.5;7268601.5;4923722.5;12270702;4211843.5;3640147.5;8618603;4187873.75
P06732;7735.026367;;44453.30078;;5130.972656;37120.48047;;;;4641.372559;;;6206.109863;;;;;;;;;;;;;;;4187.794922;;;
P06733;42589.03906;48939.81641;25372.57031;111871.0469;100894.8047;47959.99609;59623.24609;23213.77734;74968.25;215363.0625;343721.7188;490975.3125;28743.81641;22279.62109;71756.67969;10468.54785;62876.72266;9909.989258;25287.25977;10526.57129;14860.41211;21274.82422;39065.90234;51610.45313;21437.45703;30979.68164;13037.57422;22778.92969;37294.02734;32959.12109;22874.14063
P06744;3411.803467;6563.815918;4697.77832;14348.57813;16221.82129;10359.6416;9787.154297;3125.516113;8840.018555;40540.60156;38055.57422;110186.8438;767.7283936;;5650.731934;;;;5750.779785;;;1394.401245;2340.753662;4885.241211;2376.435547;4872.932129;;;3165.646484;6763.649414;2066.009766
P06753;15544.7041;6483.718262;;8305.015625;7753.776855;2364.021484;3393.201416;5146.683594;8187.038086;20549.62305;;8137.668457;4861.206055;4255.214355;;2469.809814;;1970.349365;7760.072266;957.8331299;1465.793579;4338.024902;2802.595215;7144.357422;4501.904297;6873.316895;;3470.875244;38.64365387;6198.978516;
P07108;20941.66797;28180.20313;19418.90234;56533.26953;39572.83984;29554.78125;14531.53613;73727.71094;20898.08008;20779.30469;90215.4375;230540;28821.16992;42700.70703;357026.9375;24612.96094;327412.5625;19620.91797;86714.66406;32600.70313;54104.41797;21783.71875;26737.18945;18618.47656;36184.14453;10309.07422;20262.02344;43141.07031;24404.95703;16388.47656;20239.4082
P07148;10748.97461;;20813.19141;66103.14844;39910.87109;4455.851074;10810.4209;82615.67969;127128.1328;36277.35547;10587.65234;727756.8125;31555.15234;;16610.84766;;;;;;;8471.179688;4130.578125;1709.611328;8607.741211;1452.996094;8823.458984;1160.65332;3286.443359;6997.870117;
P07195;15623.8584;17454.73828;34518.26172;28028.66797;37737.73047;16544.18359;18671.96875;9661.672852;24215.74609;181750.6406;127706.5;253697.5781;6030.687988;14824.00195;23679.29102;7464.373535;36652.125;7251.137695;24054.32422;6738.876953;7525.12793;9773.71582;10453.24414;11034.68359;7913.173828;11803.43066;5536.401367;14014.5791;7851.571777;7139.887695;11094.26953
P07225;181330.75;117239.2266;209655.7344;91029.19531;121769.2422;77222;87408.94531;46967.20313;101345.5391;102397.9766;32368.63672;39804.13672;130781.4297;235873.75;401088.1875;212985.3594;370089.5;181658.2344;299892.7813;215974.7813;190077.7188;179644.7813;151547.9375;142390.1563;197960.6875;204340.125;228231.6875;181282.9688;153041.9688;154736.7969;159483.7031
P07311;883219.125;612944.4375;1109335.5;794581.9375;745289.625;1036017.875;838835.3125;1626787.75;1002073.313;777137.25;6276693.5;7011622;553539;2253312.25;14680784;389714.0938;9153441;492868.5313;2654419.5;655891.6875;561108.125;274228.6563;630009.4375;509900.3125;287531.9063;429009.1875;980320;546393.5625;441145.9375;757520;604602.5625
P07327;1055.624634;;;10309.67578;;;;;;5813.385742;;27350.49414;7967.893066;;;;;;;;;;;;;;;;;;
P07333;37094.09375;15804.09473;84711.29688;18940.48828;15573.6123;31571.95117;36889.03516;17511.29688;20883.02539;36939.85938;;;11163.64453;102756.9063;;14191.14551;1805.956055;12598.29688;53469.60547;14192.14844;12377.66016;15223.80566;23399.47656;22588.65234;13777.05078;10058.43359;36609.42188;14536.91602;17518.63867;11267.56348;17218.57422
P07339;78838.6875;35335.91406;241905.375;46016.95313;58060.50781;52386.60156;59103.9375;59497.69922;50082.24609;82356.82813;152848.8594;111083.2656;34338.28906;98217.48438;1275630.625;30523.58594;439197.6875;29236.05273;125335.4531;41457.50391;30251.58203;31208.33203;42710.65625;57717.60938;31176.9707;24415.19922;54267.08984;41407.25391;41745.03516;45347.20703;52002.76172
P07355;134697.5313;65764.74219;218830.1875;64372.07031;92466.82813;112375.2266;129807.6875;135754.2031;84930.03906;101433.2891;504523.3125;491570.9375;59129.83984;211055.625;1318739.25;53745.15625;905460.125;49951.05859;303489.5;58289.95313;68468.63281;26547.31055;75419.36719;49137.85547;22790.41016;32490.0293;48308.32813;41394.58203;46807.5;39268.03516;32352.76563
P07357;271869.9063;403416.25;347811.2813;303725.9063;358545.25;453521.9375;313348.9688;493590.4688;450923.1875;211958.4531;361982.6875;288040.9375;310734.7188;396200.6875;541679.6875;602849.625;530248.9375;530591.1875;500041.2813;453157.6563;557681.1875;547643.6875;448677.0625;325550.75;542977.75;619418.9375;462270.2188;489151.875;340370.0938;497292.6563;545044.75
P07358;98452.27344;141861.4375;78652.51563;81732.57813;101360.4219;121491.75;97917.30469;141122.6094;157722.4219;60909.85156;56647.77344;111791.3203;85174.83594;86676.84375;177228.9844;84035.71094;97660.14063;164462.5;154876.5469;88026.24219;131908.8438;100550.7656;90062.13281;89520.85156;107944.1719;70710.20313;162314.9219;161657.7344;100821.7813;130949.2266;246142.0781
P07359;16465.12891;15422.78516;58351.38672;23419.53711;27494.01367;16556.52344;16352.30078;14398.74414;15429.86719;43401.19141;;22881.21875;9508.692383;22681.05664;;15082.02539;25218.38672;25402.08789;34441.5;10872.26953;8164.833984;7531.571289;24868.67188;16912.10742;12596.10156;15316.60059;51338.82031;7780.697266;20157.11719;20860.86523;12837.62598
P07360;178222.3281;272912.3438;410555.9063;195389.8281;216874.875;301611.4375;216311.7188;294428.75;271802.375;137703.75;288339.7813;201308.8125;172593.1719;383687.25;608735.5625;277693.4688;576210.3125;290348.125;470515;212299.1875;294404.3438;337418.6875;316470.4063;179438.4531;354389.6563;314064.4063;373920.2188;303160.3438;259924.4844;270151.8125;500691.1563
P07438;;;;14753.27051;10547.34277;5604.728516;;10167.01465;5120.186035;5303.95459;;212026.2031;;;;;;;;;;;;;;;;;;;
P07451;29485.31836;8897.376953;338953.4375;302582.8125;162846.5313;964715.0625;95804.98438;1275876.375;24693.91992;269435.625;805291.125;3437193.75;91343.36719;;;12527.57617;;;;;;7765.986328;;8334.594727;;6709.853516;8351.765625;22920.98047;;6011.078125;2061.303711
P07477;33826.47266;13914.66016;131841.4531;23713.06836;26667.29297;28469.72461;36601.82422;112728.8906;19504.95703;27933.04492;426769.8438;126323.3906;9847.299805;45686.78516;493300.4375;22143.91406;322209.75;16549.74219;142245.5;13929.9043;26175.0293;18514.13867;20264.52539;14965.18262;16911.39648;24507.58203;22830.24023;20359.55664;10726.05176;42327.84375;39297.97656
P07478;;;;1793.978394;3923.770996;2691.656494;5182.303223;27428.96289;;8502.435547;26272.36133;45224.63281;;;;;;;;;;1486.25354;;;1342.69458;;14644.35645;;;;
P07585;1469978.375;394156.4375;2249395.25;1229725.75;904222.625;1253135.75;539834.375;1581197.625;1984695.625;2094954.375;1710193.125;4018464;1582071.75;87753.89063;403833.5938;28541.77344;242023.4219;11359.05664;135846.9688;16183.82715;36957.63672;22572.20703;30650.99609;28453.32617;23324.58008;69929.82031;24453.9375;25195.24609;29336.63281;53844.63281;38189.13281
P07602;54495.30859;39422.66797;67124.39844;76056.24219;28031.49219;68550.04688;32570.4043;83597.35938;35866.74219;110983.8359;99104.42188;289105.3125;35255.125;78638.5;293776.1875;26669.23438;316263.375;20655.05078;81602.00781;31796.08594;31270.55078;29286.31641;45467.01563;61765.82031;25785.44922;29279.46875;18658.79883;19203.61719;13921.83203;52342.1875;19542.1543
P07737;61667.42578;65173.50391;123643.4141;88268.38281;150276.3438;54628.47656;37634.07031;40869.14063;92400.66406;136173;189648.4219;154161.5781;41722.44922;45589.06641;104827.6172;10792.89063;116889.1719;11062.33691;40911.80859;9756.913086;12080.30176;18031.90234;26274.86719;38461.77344;19343.25;27011.24219;16390.39063;29769.46289;29036.08398;21331.875;22552.16211
P07858;20704.12891;9608.643555;46759.49219;19077.36914;124214.3984;19156.33984;14420.16797;34993.98047;37562.75781;55696.78516;70084.53125;784967.9375;11542.24414;;11170.98438;13067.1875;19189.27344;11254.37402;6176.584961;15303.90039;25203.59375;35183.76563;50458.85156;51877.01563;35731.35547;31740.78516;18018.81836;13791.93359;16831.51172;18954.46289;8090.847168
P07900;;;;2302.629639;;;;;;15879.43066;;;846.9020386;;;;;;;;;2484.217529;;3828.513184;2554.746338;2213.926758;;2706.23291;;2289.788086;1468.540039
P07996;18454.45703;7881.894531;119871.7578;15451.14648;31266.34766;11937.98242;27113.31641;15954.4209;9989.735352;20385.55664;110960.3594;66888.48438;6700.228516;27014.24805;626456.625;6755.037109;76819.47656;2578.674316;54659.65234;5568.919922;6843.806152;7360.358398;10142.47363;9843.941406;4461.859375;3303.621338;8521.436523;2247.338135;4105.052246;3673.22876;10185.87793
P07998;169610.7188;81220.10938;57277.25781;92160.65625;115287.0391;199068.3594;103885.3594;180579.7969;100501.3438;219959.0313;252618.7813;665202.1875;57234.33594;147335.1875;254651.9688;78670.66406;308060.6875;58805.35156;154920.7813;100898.5938;162603.5938;75662.95313;142072.7656;140716.9063;78013.92969;79172.0625;89731.77344;79052.24219;45147.01563;92008.80469;42938.94531
P08123;15230.23242;18260.25586;14321.32422;8376.657227;16418.07031;4502.668945;2962.737793;144056.875;19107.41406;57814.44922;;92909.71875;8769.013672;10721.63574;38151.94531;12970.48145;16140.87891;7015.570313;18564.85352;59180;219890.4063;10798.53906;43583.0625;9115.707031;11393.65625;22968.0332;10149.50586;3041.099121;22855.77539;13648.12109;1265.939697
P08134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P08174;7600.216309;12455.5332;6617.449707;6838.51123;2734.346191;7623.458008;5087.563477;;9093.541016;13872.3418;6901.833496;22944.92969;5566.003906;;;;;;4366.57959;3844.916504;12387.62012;13273.6709;17505.08984;9204.605469;10951.06445;11991.42383;5874.953613;19285.17969;4641.166992;11326.61914;10897.1123
P08185;29885.68555;20724.47852;47928.50391;21423.58594;20100.0625;22242.46094;64988.78516;32748.05664;70681.45313;69269.40625;158071.9219;80929.70313;24980.13867;74288.14063;170834.3438;17692.06641;38915.66406;16041.96973;7469.045898;29324.36719;18329.25781;19362.16992;20575.63086;18029.86133;14895.8623;15192.06836;33979.51563;23212.05469;16395.63281;50645.63672;107263.7969
P08238;2602.637939;2570.02832;;;8074.851074;;;;;8483.801758;;;;;;;;;;;;;;5363.018066;;;;6018.640625;2913.406006;;
P08253;15244.11523;14482.05078;39986.34766;8401.727539;18022.39453;19873.88086;14145.51758;36953.13281;8956.255859;9897.119141;28011.79102;27015.89648;9176.361328;17512.32031;44116.07813;35941.32813;23617.34961;31678.67188;55471.49609;37029.06641;32223.53125;21751.88672;47021.72266;28824.85938;24953.32813;18809.69531;41711.71875;35217.37891;30264.38672;28816.75586;16186.09961
P08254;10058.54395;8019.918945;23444.85742;6978.423828;23560.85547;6950.87793;47411.73438;24418.94922;5144.725586;6359.358887;36353.4375;34029.35547;585.3231812;5053.574219;29958.26367;57957.35938;16843.51758;55621.01563;13007.67773;158120.5;7287.231445;39883.82813;16366.9043;41335.06641;35248.11328;11511.46191;56871.42578;83605.57813;64835.69141;9998.056641;18233.86719
P08263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P08294;541209.0625;240510.25;362397.1563;1356240.5;314027.0313;573192.0625;528024.6875;2023977.375;597044.25;965464.8125;1477838.125;3661580;405183.0313;150751.4063;253833.5156;63344.33203;136520.7188;62565.58594;206506.3281;86837.49219;114789.7344;104309.5391;90993.08594;74717.09375;90142.46094;67316.48438;125330.5313;30361.49414;38931.03906;135490.6875;31770.55273
P08493;37990.51172;15631.42969;56195.1875;11161.68359;21878.42969;28492.15039;28828.07617;24977.92969;17760.07813;12176.33691;;12545.94043;32233.375;38372.72266;;75659.66406;50125.79688;36832.92969;49355.83984;27159.13477;83580.71094;29033.89844;60567.32813;31839.61133;30014.27148;38911.82031;23087.72266;12945.69141;16573.57422;23003.18164;11148.31641
P08519;12944.47266;11682.79785;6473.473633;4056.951172;;4068.957764;4868.657715;74385.76563;8359.053711;32217.84961;;;4247.056641;;;26389.49609;11198.28418;7804.808594;115165.5234;8045.903809;53357.30469;12926.40137;19973.07422;5163.17627;11532.43164;15336.87598;4047.827881;10755.55762;13068.60059;119271.2266;7803.563477
P08571;180806.375;111769.7344;188722.0156;137810.7344;248147.5156;133801.7344;142381.7344;172793.7656;250552.0625;326692.5625;128131.9219;299962.375;100366.8672;114287.3047;235454.6875;209421.1875;191560.6563;227590.0469;169192.4219;144784.4375;146189.75;173890.2188;254457.6406;174759.2969;165369.6406;183761.9531;232771.5313;142821.4688;125742.6797;199191.6563;198279.2969
P08603;1331540.625;1559470.875;1186848.625;1500273.875;1119443.375;1326975.75;1135987.875;1377706.25;1643925.875;1002394.688;980741.0625;883069.625;1445953;1192288.125;2154990.5;1564895.125;1579960.375;1820634.5;1275044;2034703.625;1735333.25;2032449.625;1800536.5;1958528.125;2038587;2217539.25;1452369;1761717.5;1785323.625;1536808;1932255.75
P08637;9524.112305;6871.315918;;8604.167969;34704.92969;14729.39453;6810.391113;13780.6084;18386.76563;6024.573242;121988.375;;;;;5301.42334;;4036.294922;;8217.15625;;3828.370605;;9667.848633;3184.758057;11798.33496;9149.144531;15825.82324;11032.4541;;
P08670;237230.3438;16633.41602;23840.07031;60598.99219;35815.59375;15988.8125;33056.11328;14277.7832;52094.55078;123036.4375;22795.86133;32767.57031;11540.81348;118437.375;91034.94531;14838.18066;86511.375;9335.022461;90210.78906;3373.203613;47531;36854.87891;23619.48438;49493.49609;39743.48047;89332.07031;6377.66748;44755.25781;8423.688477;70774.75781;45736.58984
P08697;497825.9063;373688.0938;380005.4375;310164.875;300506.8125;415155.25;299503.875;404912.6875;477030.75;359469.6563;267374.4375;280481.125;431368.3438;674117.875;2129860.5;308614.9375;1162735;772671.4375;683634.0625;423712.375;393382.3125;400286.7813;327788.4688;532638.4375;408820.2813;369400.9375;405080.1563;576538.3125;374679.0938;726404.1875;858355.5625
P08758;94222.48438;63492.63281;65245.22656;145641.1563;112151.9844;72302.15625;75317.92969;79936.72656;93923.875;145691.4063;354939.5625;699832.625;35852.44531;156166.5156;659222.875;15807.68848;553639.375;35718.07813;165879.4063;42662.375;36498.52344;27075.97852;70721.94531;46288.55859;26729.9668;47845.24219;39275.66016;34124.35938;46795.30469;54701.33594;51366.55078
P08779;;;13058.27246;17353.79688;11497.58203;2754.076172;;6071.006348;2561.304443;563.3873901;321675.9063;420036.3125;6604.944824;;892307.5625;;40217.49219;1279.085205;11879.65625;744.0183716;;6879.736816;13360.6084;;7096.369629;;33893.88672;2004.733643;5815.220215;;1428.359985
P08833;;;69228.97656;;96513.25;;;141980.375;;49943.70703;;;;;;;;;;;;;965.3463745;;;;6840.87793;1732.214478;;;
P09172;14083.61914;5909.78125;29175.36719;14503.14355;18204.39844;14732.93457;22291.54688;11949.41504;292326.25;19378.70703;21763.37109;11578.1748;17306.95313;23766.6543;48366.85156;27483.52148;7621.680176;30686.41211;43569.125;7543.40332;;25532.7832;7425.979004;46435.375;24418.66602;;17040.34766;14483.18457;18165.71484;13471.43066;14638.95117
P09211;178861.8281;109678.1953;356858.6875;152140.75;144592.7813;134391.3594;132509.6719;273942.375;180356.8594;136373.8438;496412.7188;362658.2813;116489.3203;341429.7188;1802776.75;49270.64844;1129166;87809.51563;382676.3125;81123.5625;86047;65435.57031;82597.75;82623.25;61481.63281;86000.83594;103102.0234;134920.4375;95832.64844;136400.9688;125196.2656
P09228;;;;;;;;12979.27344;;2602.715332;;;1156.975098;;;;;;;;;;;;;;;;;;
P09382;71400.35156;21268.68359;85111;41903.23828;119353.8047;13616.98633;25875.9375;44525.63281;36593.42969;140371.6563;;38501.84375;23138.34375;38628.67188;50233.26953;29312.07813;96081.57813;16562.70117;54573.37109;13549.41406;34143.07813;37341.13281;33617.66016;51340.44141;34953.90625;50294.02734;27183.71094;23429.71094;23240.53516;54779.58984;15425.12109
P09467;33588.67578;17653.74609;38349.69531;30302.27734;10389.73828;20772.00781;10765.02246;4406.734375;16264.19629;45052.64063;136111.1875;38760.84375;10677.95313;21519.13672;79432.64844;3453.974609;;3919.787354;;2781.930908;4214.762207;9470.582031;9658.640625;14131.51758;7871.435059;8000.483398;5577.849121;4832.252441;3471.0625;9057.25293;5180.647949
P09486;11508.08203;17089.625;20261.7832;16248.8584;12924.46387;6796.548828;8475.636719;12901.42188;10018.7207;30804.5;27083.57422;27751.86719;16020.74805;15912.5957;31621.55078;32383.5332;31429.75195;25697.20898;25038.52539;31364.58008;22179.54883;15515.75488;26008.58594;29300.19336;15135.59766;30618.73828;16999.86523;12538.89648;22821.25781;15036.79004;9803.552734
P09488;57128.50391;24390.22461;99339.48438;38355.86719;23037.07422;47990.23828;69934.09375;89447.79688;28457.05664;34451.39453;216949.9688;304442.625;32573.91602;107232.3672;940907.375;10575.25879;422157.9375;20059.90234;148062.3438;17457.10352;20171.81055;16252.76465;18305.35156;23973.75977;15828.1748;14558.3291;35469.14063;34640.44531;20497.61328;51051.6875;86380.20313
P09525;12064.79688;;;6132.811523;;879.8361206;3498.586914;;5392.092773;12097.06836;;29839.99219;;;;;;;;;;;;2949.862061;;;;;;2466.5625;6887.118652
P09603;6969.063477;7815.21582;9054.235352;12831.91016;13432.84668;23686.07813;9977.392578;15789.61914;;21404.50781;;164834.8125;;;;10775.80664;;6331.078125;;8175.856934;;7230.983398;18988.35352;13809.30176;9124.53418;;6855.744629;;6057.73584;;
P09871;560129.5625;293832.4688;681812.0625;175980.5156;294862.0313;539435.6875;360416.0313;243176.0156;392414.375;400937.625;721673.375;649749.4375;395499.4375;525189.4375;581993.1875;970370;511852.7813;765333.375;609649.8125;883867.3125;689593.125;726289.8125;622107.875;429189.1875;747440.625;873165.9375;480433.3438;725417.9375;413291.8438;647666.4375;817758.4375
P09960;4625.094238;6956.765625;11453.91406;6957.652344;6489.670898;5882.23291;5694.630859;;6164.186523;11211.71387;50676.17969;13064.11621;1062.88147;;;1242.786743;;;;1937.665527;;4153.366211;3356.091797;5412.831543;4043.292236;;;2901.253418;3828.994141;3511.307129;6915.037109
P09972;9599.835938;8734.902344;48905.8125;4375.237305;9768.374023;14390.25098;11411.21875;14356.00488;18240.90625;32571.45117;58420.96094;57574.08203;7525.413574;72591.71875;457701.1875;7056.697754;250426.0938;5917.880859;57404.98438;2755.323242;8339.94043;4997.161621;13133.59961;7196.731445;5339.495117;11472.59961;10468.50391;16381.00684;5937.691406;15300.77637;5527.818359
P0C0L4;81205.9375;131225.9688;75201.19531;61966.81641;28985.8125;51670.27734;77689.6875;25570.27539;89902.8125;13113.51074;97806.64844;76103.5625;164968.75;76861.29688;313095.9375;128338.7188;221671.5313;109303.9922;102447.1406;149938.5469;57316.35938;105733.5313;100028.2188;24666.2168;93738.1875;129831.3047;64622.98047;134041.5156;218133.1563;55472.14453;168258.625
P0C0L5;93071.48438;74057.625;90117.14844;105962.1016;77995.75781;60769.28906;148018.2969;53063.82031;126568.3984;92721.39063;81922.8125;101033.8906;115698.9922;73409.99219;329864.625;113248.7969;176785.1563;139869.1406;79429.34375;144459.7969;111276.0859;133496.7969;93424.16406;42393.5625;134407.5313;87940.05469;181978.625;190991.5781;235127.8906;85495.35938;298390.1563
P0CG47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P0DJI8;7390.946289;64468.375;48214.29688;29279.0918;1277642.75;567436.125;84060.3125;20063.30273;55934.58984;9443.964844;217817.2969;44148.22266;7666.251465;;;;108718.5547;3679.24707;;;;17504.00781;;;9575.610352;13155.27344;2221.217773;14252.81348;;;46806.3125
P0DJI9;12821.11328;29012.67383;13051.44727;6971.875977;824019.75;558320.0625;85947.60156;12441.83008;7769.891602;;317647.125;;;;;18127.36328;;;15442.40332;3356.989746;;8187.057129;;2315.854736;8687.829102;28810.04688;11643.92188;13548.64453;;;15238.93945
P0DM35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P0DMV8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P0DP23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P10153;40921.03125;14471.98438;17370.42578;35613.28125;35702.13672;46833.875;17692.70508;62288.12109;28299.2832;57094.42188;44841.71094;119840.1172;18764.92773;;;23098.04297;26966.54688;16914.85742;27704.70313;14949.29199;15144.21875;19541.05859;27743.125;10028.71387;17947.66602;12204.75488;20385.74219;6570.754395;;13735.20898;8903.381836
P10451;12643.43066;10943.27441;12722.87109;7896.833496;40674.72656;5818.276855;11721.47363;24105.92383;5821.758789;64258.68359;33018.875;247344.6563;8701.333008;;9092.217773;8385.080078;3936.807861;5895.25;8287.522461;12186.83203;10309.88184;5704.506836;21840.12891;130260.3516;6168.498535;6594.720703;12345.38184;1014.108093;7896.785156;4412.060547;1315.867676
