proteins;G_12;G_14;G_2;G_39;G_40;G_41;G_42;G_50;G_51;G_52;G_6;G_9;G_92;B_395;B_401;B_414;B_421;B_439;B_444;B_449;L_399;L_402;L_403;L_406;L_420;L_431;L_432;L_433;L_434;L_437;L_441
P02768;92830.32813;36870.94531;125009.9922;121501.5469;55475.60938;45849.82422;68243.52344;58999.32813;57391.99609;39697.19141;230244.5781;122416.2578;41623.86719;358078.5625;723101.125;100679.4063;926997.5625;65639.33594;348973.5;71376.1875;79267.85156;63105.19531;66506.66406;46107.44531;57613.85547;110264.6016;65392.75781;38665.06641;40201.49609;91857.88281;47608.21484
P02774;12229260;10430837;8118535;13225803;10421020;8979206;12315104;9458280;15906369;14809014;16114286;9243985;9689973;10385999;17300454;8683886;12752211;10406200;11201364;10917689;10124540;10071657;9615961;7753663;10249491;10658737;12375367;10973905;7749871.5;13698140;14095782
P02775;193315.25;178208.1719;191231.6406;203021.2813;102085.6094;31502.50391;38889.38672;172721.0469;141826.8438;238640;36580.07031;538051.1875;106089.8359;6003.196777;;10542.2998;20031.16406;8397.157227;4431.659668;10283.28711;7978.447266;9182.057617;9726.186523;10193.08398;9024.451172;3431.468994;27093.92773;3806.329102;2159.055664;13528.32813;
P02787;65255.09375;37646.16406;65975.86719;42651.75391;60986.14063;47210.53906;57632.6875;78384.03906;68932.70313;40808.29688;221471.1563;186975.4531;33114.90234;149460.2344;909184.5625;27548.32031;505660.1563;22075.76367;111109.4219;27386.46484;29567.05859;26583.4668;31487.96484;27357.35156;27894.45703;42518.04688;47084.32813;33018.9375;18457.12305;65099.41016;34232.66797
P02788;343998.875;283046.4375;450903.1563;222390.8906;332874.4375;435894.3125;314368.0313;491503.8125;221445.125;177975.4219;2759062;2242634.75;278428.4375;707036.8125;2670219.5;206215.8125;1606426.75;256117.7188;711941.9375;364799.8438;380068.4688;149982.8125;187063.0938;209771.8438;121139.8203;113126.6875;302944.375;186131.4688;199419.4375;115214.3203;164192.5313
P02790;6179451.5;7988166;6051954;9929480;10228888;8488945;11752290;5828280.5;7739718;5930853.5;8554903;8304304.5;7409907.5;6847388;11425810;8923185;10963740;5305677.5;6030557;10181093;6865046.5;6487116;12243193;5266759;6721204.5;10666286;9320952;4855148;7297129;5260449;9830706
P02792;13835.43164;6812.34082;;38428.55078;5965.256836;9387.016602;5054.538574;24923.07422;5268.442871;86971.78125;69688.80469;92710.33594;3033.59375;18985.19531;;3552.287598;;6651.693848;24368.36914;11005.92578;8534.045898;5071.108887;48100.92578;25992.36914;4810.339844;5017.135742;7591.876953;1759.696533;2849.516357;3296.945313;3195.911621
P02794;17402.48633;8138.054199;10316.28418;45547.875;9606.115234;14111.36914;6311.287109;20113.42383;17811.26758;125413.1016;63160.26563;228417;4000.822266;29502.62695;49557.66797;6807.197754;103586.6406;5191.098145;22863.25781;9896.145508;7156.132813;5848.585938;37205.04688;13624.17383;3911.471436;11199.75293;11298.01074;3134.827881;2875.840332;6030.293457;6247.023438
P02795;3205.400879;2303.018799;3282.316162;17258.41602;8044.023438;3402.611328;3074.290039;9465.537109;4987.163086;7884.420898;17944.04102;155773.5938;2855.810059;12606.79199;;3298.174561;;;;3074.057129;980.1166992;3904.759277;;2213.553711;1217.147461;467.91922;2861.780762;458.530304;;5042.211914;736.5657349
P02810;1520.366699;;2453.692627;1941.248657;;11536.28711;345.8541565;11202.20215;1814.98584;33970.625;4425.698242;90147.99219;30537.14453;13893.55762;140774.4688;;16117.94531;;4255.341797;3108.91626;;1181.132568;;;886.5755615;;4548.95166;3521.259766;;;849.3892212
P02812;;;;;;;;9154.698242;;35090.62891;;;8449.013672;;;;;;;;;;;;;;;;;;
P03950;24204.35938;12420.64063;35942.25391;14721.0166;18919.60938;20184.27539;40455.67578;8756.009766;14322.66797;20732.33008;39280.87109;50939.875;7503.09375;10883.59961;;2441.171387;;6846.242188;7597.727539;13201.2002;15875.24805;10058.1084;14383.12402;9242.695313;10309.31934;17729.29883;13853.45996;7607.404785;13550.03516;13839.95996;17696.61914
P03951;13567.22852;19414.21484;40143.71875;10705.12402;27307.02539;16032.14258;27644.2207;40640.47656;18603.4375;14473.89941;46633.05859;48939.14063;14624.06152;62499.46094;111328.6953;38428.87891;86323.86719;59803.55078;68406.1875;48633.78906;59237.50781;43070.03125;52365.60547;39957.05859;38797.86719;81193.54688;25667.69727;57925.45313;36420.25781;61994.55859;54868.78516
P03952;213946.5938;348657.375;477083.125;195509.2188;295185.4375;200081.2969;335253.9688;294940.625;237748.6875;219500.7813;353075;249061.4688;206028.8906;645050.375;1286104.125;363599.3438;928726.375;858574.0625;930415.5625;693298.75;593914.125;489502.7188;656159.5625;497060.7188;521344.25;760100.6875;512995.3438;587535.875;593707.25;637000.1875;666474.375
P04004;2934257.25;1869684.125;1189709;1859793.75;1941720.5;1507354.5;1300030.125;3205477;1759371.25;393041.2813;585043.8125;640280.1875;3356239;2555549.25;2806420.25;2254894.5;2735508.5;2932059.75;2685577;2412584;1191176.875;1670538.25;912522.625;1551160.25;1711134.875;1296025.625;2117397.25;1410663.375;1563468.25;1632913.5;1948499
P04040;8254.178711;12924.40527;28328.12891;37375.76563;33418.61328;8967.955078;26721.72461;25944.04883;37647.65625;93969.0625;127813.625;162144.9219;5193.34375;11916.27539;76129.09375;5319.029297;50624.21875;6127.598633;13241.44434;5059.066406;11072.72656;9951.625977;27075.49414;24505.82617;7127.464355;15234.26953;2215.719727;43827.89844;7497.754395;9414.129883;23534.04297
P04054;;;;;;;;36813.02734;;;;;;;;;;;;;;310.6242676;;;;;;;;;
P04070;16058.67871;4125.704102;5934.149414;10731.7168;5787.410156;3853.215576;5646.984375;4751.39209;4318.744629;19806.83008;;;28415.10352;16954.83789;39916.52734;19647.5;23819.87305;15932.29492;23664.68164;7971.40332;12520.0752;11043.81543;8367.326172;7036.172852;10829.25586;23643.41602;8294.726563;9947.527344;6754.629883;11181.63281;13472.29785
P04075;66545.24219;33311.27734;65140.22266;70404.875;92154.70313;113919.7656;32724.31836;39756.64844;76012.89063;192799.9375;141998.375;149872.0156;33792.73828;61451.29688;326146.375;20976.16797;166923.5781;23254.24219;79269.10938;22165.59766;30436.95703;26377.44727;40194.80078;56472.66016;26832.83789;44380.55078;35080.80469;44839.44141;37105.13672;50125.30078;45459.19141
P04080;6951.47998;4207.1875;5747.82959;17336.48828;17544.9707;7987.074707;7466.194336;23663.41602;14264.38867;50483.33203;55876.02344;130662.1563;2932.711426;;34812.51953;;;1013.195251;;1221.507446;;1951.504272;;5105.518555;845.1761475;1205.349121;3376.422607;;1857.93042;3026.441162;2959.319336
P04083;113486.2813;61370.00391;89509.25781;90082.125;78574.15625;66423.33594;79593.94531;118040.5703;101449.7031;102974.1484;208776.2969;361755.7188;44783.75;209744.5469;1138293.625;39620.89453;617506.25;38883.76172;204821.8281;35986.85156;52205.01953;26668.03125;47723.98438;42343.54297;24520.57031;47075.73438;63121.71875;34784.21484;29206.74609;66552.21094;37721.17969
P04114;371049.75;397084.2813;1353522.25;275458.375;186890.2969;225371.1719;630804.625;733646.5625;459478.4375;142390.125;1312277;188457.875;845363.8125;909838.3125;779659.6875;1952372.875;567590.875;1497360.875;833206.4375;1648293.25;651780.8125;1900646.375;500272.3125;929727.3125;1891778.5;714794.125;501703.1563;819535.9375;756374.5625;607614.625;965503.125
P04118;;;;1114.477539;;;;24674.74219;;;;;;;;;;;;;;;;;;;;;;;
P04155;5605.435059;;;;5785.259766;6450.676758;;30074.85547;5491.768555;22939.90625;;148218.125;4712.041016;;;2590.197754;;;;3253.952393;;;2460.983887;1687.590332;1094.299194;;;;;;
P04156;83635.60156;41762.48828;9896.488281;22068.27734;28087.20117;39913.08984;47076.91016;50352.36328;4103.413086;41112.29297;;58092.02344;49131.46875;;;;;44233.38281;;1491.324097;;2428.988037;58278.90234;2424.276123;63202.23438;;9556.141602;14641.56543;39421.65234;;
P04180;32283.13672;22183.91406;30991.82813;27535.85938;21761.21484;20149.0625;14534.86816;20751.67969;37640.67969;26487.23438;;;27801.77734;30256.01953;45926.71094;24087.99414;34176.125;46456.45313;61783.26563;24234.20703;31516.2832;24899.50781;31914.0332;35529.99219;21881.35742;35599;45554.28906;35608.51953;34960.35156;45120.75781;65584.20313
