,OA_002,OA_003,OA_004,Acute_002,Acute_003,Acute_004
Q5KU26,37920,43120,44675,42740,27875,35280
P49747,20170,31215,15067,36540,31470,34070
P31146,101730,7550,14730,15820,27640,20760
P00450,26890,17500,36739,44288,33530,23390
Q96IY4,28705,33328,43148,38882,32102,25632
P15169,20835,25430,23182,35585,18648,24538
P22792,58265,56050,111525,166650,93515,71825
P54108,159600,178800,163000,300200,129000,147500
P02741,54000,34310,87770,324600,30995,24300
Q9NQ79,32020,43650,35650,36270,17910,23612
P07333,30965,26110,24170,39660,27885,48465
P01034,35390,50918,71035,43650,35582,34285
Q01459,27280,58970,6860,6254,4253,15850
Q9GZU7,38500,40840,66610,71770,48790,53340
P29279,26830,38905,49545,46805,24045,26685
P07858,79840,61420,68410,164800,122715,108240
P07339,4420,2888,3266,5698,6099,2879
P07711,21620,24310,22620,70340,123300,73250
Q9UBR2,20760,40120,42100,53500,35310,35650
Q14118,23250,23885,34830,25235,19155,18670
P09172,15670,19650,29760,43880,21410,14310
P81605,8750,89840,12410,12310,5281,16080
P07585,10650,8248,14490,36430,25800,11060
P30046,3432,2625,9645,12625,7852,6408
P59665,169805,39715,71390,67032,39852,74650
Q9UBP4,4697,9588,6891,8198,7600,5196
Q8TDJ6,15985,15830,26840,33710,27440,29830
Q8TE73,1801,6172,5474,5595,4842,4841
Q9NYC9,16005,14160,22645,28315,26180,18075
Q9Y6K1,190900,132600,646700,185500,184600,140800
Q08554,8364,11560,32250,16980,16310,13660
Q02487,36460,63170,57260,34710,22730,56440
Q02413,6989,11742,8247,22288,11739,17708
Q14126,7009,7512,15565,18010,13512,9624
P15924,10720,24810,14950,22310,10860,19690
Q03001,2182,1998,4521,8294,4717,4468
Q8TEA8,11560,13790,14450,11810,10050,7210
Q16610,35572,39350,52130,63498,35648,38795
Q8IY85,6146,6108,7498,5526,4460,8196
Q12805,24822,28965,39930,32230,18300,26342
Q14152,22240,23130,26010,27070,17730,28290
P17813,54360,62490,67850,86010,59130,69020
P06733,40730,35535,38210,47740,44330,34800
Q13822,22365,25110,39115,54490,38180,27990
Q14674,17290,16580,21980,30140,17690,21120
Q5T1H1,1423400,989250,1719950,1728250,1977500,1054400
P00742,38680,40680,76430,66680,62602,34470
P03951,33840,37435,23025,30000,26420,28635
P00748,54770,133800,75610,91080,77100,101900
P00488,10246,10964,18070,23102,19580,9233
P05160,40410,48685,71800,65005,55300,39665
P00734,39995,28730,55750,65245,49850,38982
P12259,29332,23062,49998,85010,78885,33198
P08709,11090,6293,15480,18430,17460,9903
P00740,41460,34210,45795,56960,71875,27630
P16930,6229,6753,7790,8237,4500,6058
Q8IXL6,2555,4416,3368,3772,3170,2918
Q92520,6102,5615,11426,11364,7608,6588
Q12884,4009,7664,4014,7381,2542,5465
P23142,15600,22185,25318,44740,29058,33035
P35555,27374,25982,50054,61245,51937,63548
O75015,6479,9318,17600,50320,6474,10128
O75636,26112,47140,48078,63665,40855,43588
Q9UGM5,41202,57050,52700,91320,62260,46870
P02671,27180,25495,40765,46840,42825,30898
P02675,22170,22646,33955,88825,78055,41130
Q9BYJ0,22180,20175,25860,46830,25680,26890
P11362,11410,12010,17790,15670,15490,11350
P02679,29318,22680,42902,156825,156582,60730
Q14314,2934,3228,4090,6460,7034,5608
A5D6W6,37905,53880,64800,74150,67380,30215
Q13451,154800,135600,132500,89500,49950,157900
Q06828,7963,7074,8032,19950,14480,10289
P02751,31320,36658,26360,42250,22752,31680
P85037,NA,3534,2981,3919,3429,2395
Q5SYB0,63415,97560,94470,202600,121300,105435
Q12841,74330,80990,79560,122550,97695,87735
P02794,20120,30152,22726,37855,22711,55935
P02792,27400,23740,47920,70310,23240,62550
P04406,20860,13300,20255,47380,32875,31125
P02774,36422,41960,48425,54780,33320,27270
Q92820,29385,19630,39005,47570,38945,21805
Q9HC38,9270,19025,9862,8324,5960,8716
P17900,4574,1776,3424,5553,3870,1983
Q9UJJ9,4892,4098,7796,8220,8462,5313
Q8NBJ4,43600,65060,84010,69000,31425,40440
P07359,59918,62750,168200,152958,103588,128668
P80108,21025,17736,27235,31915,44675,21725
P22352,49955,47430,60960,90570,79030,46920
P06396,31918,46035,43340,45865,46970,34832
P48637,6574,7830,6970,5679,2904,9983
P09211,11851,5602,11280,16150,9907,8124
P33402,10330,20460,24920,16850,21520,18590
Q02846,NA,NA,2693,2963,4021,NA
P84243,11590,16690,20960,15230,21940,12650
Q14520,18870,25980,38990,55790,51570,26740
P10915,14310,44760,15580,73445,14050,44610
Q96S86,23050,34320,26440,37150,20830,34510
P69905,6408,12969,11762,70165,56280,50195
P68871,12829,19068,29295,249550,123800,236250
P02042,10743,16680,35250,148080,83195,137300
Q9ULI3,4718,4947,9882,8746,8328,5436
O95714,21330,37130,90430,67270,31800,38550
Q04756,50752,39488,94200,46935,62132,40548
P04908,4948,5496,8626,12380,24195,5191
P62805,87485,73170,179950,136650,492100,63120
P22626,6865,5174,2575,NA,1705,1862
P00738,23050,53060,187800,51310,62210,25990
P02790,82160,72850,119500,103800,79715,68920
P04196,11475,10276,24810,29450,52980,17810
Q86YZ3,3158,9248,5893,8740,3778,6206
P14625,39230,36560,72580,61310,73230,45020
P0DMV8,51910,37710,60590,67720,80920,51940
P11142,29710,35000,37410,26770,20320,27520
P98160,21170,25720,29495,48280,29550,34445
Q92743,5342,10172,15650,14168,24810,16252
P83105,20760,17570,27530,53070,27900,30250
P05362,27900,22178,42450,41608,25622,34842
P13598,11005,8494,21520,17435,15375,9638
O75144,84900,65990,105100,126300,85810,122700
P05019,32105,43880,58010,50100,43055,47610
P01344,169615,156530,356685,240810,211170,233075
P11717,14890,17190,11920,13130,12750,14570
P35858,52370,48598,78292,79185,65005,66590
P18065,23822,37145,78670,53435,35050,27078
P17936,20430,24310,37480,29000,30960,39790
P22692,10870,28650,24085,14790,7870,19880
P24592,16814,46178,40498,24970,15342,21985
P01876,7510,15740,16450,21200,32700,23820
P01857,8080,10470,16745,25685,20390,14615
P01860,6573,7772,15935,11076,14734,13055
P01871,23920,33685,56405,58405,64655,72965
P01834,9760,14520,21250,24190,20622,20045
Q9NPH3,55170,39565,75170,93850,114900,65325
P55103,35965,30650,49460,40450,76010,33615
O14498,12000,7777,15270,20990,16260,11260
P19827,23820,19860,41685,62152,25675,24248
P19823,33175,29770,59565,69685,46210,40400
Q06033,20890,18240,33535,70010,32355,34570
Q14624,24375,32350,44450,60325,23095,29060
